"";"trial_index";"task";"subject";"type";"category";"response";"rt";"cs_selected"
"33";32;"direct";"85s4w6t4d0";"CS";1;0;"3938.320000001113";"1_3/CS9"
"34";33;"direct";"85s4w6t4d0";"GS";3;0;"1205.4400000051828";"3_3/CS9_GS9"
"35";34;"direct";"85s4w6t4d0";"CS";1;0;"1294.7949999943376";"1_3/CS2"
"36";35;"direct";"85s4w6t4d0";"GS";4;0;"3661.3500000094064";"4_3/CS9_GS9"
"37";36;"direct";"85s4w6t4d0";"GS";4;0;"1173.9699999889126";"4_3/CS5_GS5"
"38";37;"direct";"85s4w6t4d0";"CS";3;0;"1597.8049999976065";"3_3/CS2"
"39";38;"direct";"85s4w6t4d0";"GS";4;0;"1374.824999991688";"4_3/CS7_GS7"
"40";39;"direct";"85s4w6t4d0";"CS";1;0;"1420.7549999991897";"1_3/CS7"
"41";40;"direct";"85s4w6t4d0";"GS";3;0;"1150.63000000373";"3_3/CS5_GS5"
"42";41;"direct";"85s4w6t4d0";"CS";4;0;"1317.5149999879068";"4_3/CS1"
"43";42;"direct";"85s4w6t4d0";"GS";3;0;"1190.2550000086194";"3_3/CS1_GS1"
"44";43;"direct";"85s4w6t4d0";"GS";3;0;"1157.809999989695";"3_3/CS3_GS3"
"45";44;"direct";"85s4w6t4d0";"CS";2;0;"1125.9750000026543";"2_3/CS2"
"46";45;"direct";"85s4w6t4d0";"CS";3;0;"1126.6400000022259";"3_3/CS6"
"47";46;"direct";"85s4w6t4d0";"GS";4;0;"1308.6999999941327";"4_3/CS3_GS3"
"48";47;"direct";"85s4w6t4d0";"GS";1;0;"1654.5599999953993";"1_3/CS9_GS9"
"49";48;"direct";"85s4w6t4d0";"GS";3;0;"1246.6500000009546";"3_3/CS7_GS7"
"50";49;"direct";"85s4w6t4d0";"GS";2;0;"1237.055000005057";"2_3/CS9_GS9"
"51";50;"direct";"85s4w6t4d0";"GS";2;0;"1133.6949999968056";"2_3/CS5_GS5"
"52";51;"direct";"85s4w6t4d0";"CS";4;0;"1205.9450000087963";"4_3/CS9"
"53";52;"direct";"85s4w6t4d0";"CS";4;0;"1078.9400000066962";"4_3/CS2"
"54";53;"direct";"85s4w6t4d0";"CS";4;0;"1109.809999994468";"4_3/CS6"
"55";54;"direct";"85s4w6t4d0";"GS";2;0;"1150.0300000043353";"2_3/CS10_GS10"
"56";55;"direct";"85s4w6t4d0";"GS";2;0;"1053.9600000047358";"2_3/CS3_GS3"
"57";56;"direct";"85s4w6t4d0";"GS";1;0;"1125.6949999951757";"1_3/CS1_GS1"
"58";57;"direct";"85s4w6t4d0";"CS";2;0;"1014.0099999989616";"2_3/CS3"
"59";58;"direct";"85s4w6t4d0";"GS";4;0;"965.9799999935785";"4_3/CS8_GS8"
"60";59;"direct";"85s4w6t4d0";"CS";3;0;"1165.9849999996368";"3_3/CS9"
"61";60;"direct";"85s4w6t4d0";"CS";2;0;"973.7399999867193";"2_3/CS10"
"62";61;"direct";"85s4w6t4d0";"GS";1;0;"1062.8349999897182";"1_3/CS10_GS10"
"63";62;"direct";"85s4w6t4d0";"CS";4;0;"1260.2550000010524";"4_3/CS4"
"64";63;"direct";"85s4w6t4d0";"GS";1;0;"951.2050000048475";"1_3/CS2_GS2"
"65";64;"direct";"85s4w6t4d0";"GS";2;0;"1069.7999999974854";"2_3/CS8_GS8"
"66";65;"direct";"85s4w6t4d0";"CS";3;0;"989.8600000014994";"3_3/CS1"
"67";66;"direct";"85s4w6t4d0";"CS";2;0;"1238.949999999022";"2_3/CS7"
"68";67;"direct";"85s4w6t4d0";"CS";1;0;"1029.869999998482";"1_3/CS3"
"69";68;"direct";"85s4w6t4d0";"CS";2;0;"1452.739999993355";"2_3/CS8"
"70";69;"direct";"85s4w6t4d0";"CS";3;0;"949.914999990142";"3_3/CS7"
"71";70;"direct";"85s4w6t4d0";"GS";1;0;"998.7949999922421";"1_3/CS5_GS5"
"72";71;"direct";"85s4w6t4d0";"CS";1;0;"2997.7250000083586";"1_3/CS8"
