"";"trial_index";"task";"subject";"condition1";"type";"category";"rt";"timeout";"memory";"memoryResp";"nr_pres";"memoryCorrect";"cs_selected"
"75";74;"memory1";"85s4w6t4d0";"one_one";"distractor";NA;"1387.220000004163";"false";"new";0;0;"correct";"distractor_1/dis1"
"78";77;"memory1";"85s4w6t4d0";"one_one";"CSpred";NA;"2309.0400000073714";"false";"new";0;1;"correct";"4_1/CS2_pred"
"81";80;"memory1";"85s4w6t4d0";"one_one";"GSnew";3;"1610.3149999980815";"false";"new";0;2;"correct";"3_1/GS1"
"84";83;"memory1";"85s4w6t4d0";"one_one";"CS";3;"1566.8900000018766";"false";"old";1;3;"correct";"3_1/CS10"
"87";86;"memory1";"85s4w6t4d0";"one_one";"distractor";NA;"893.2950000016717";"false";"new";0;4;"correct";"distractor_1/dis3"
"90";89;"memory1";"85s4w6t4d0";"one_one";"GSold";1;"1609.7550000122283";"false";"old";1;5;"incorrect";"1_1/CS5"
"93";92;"memory1";"85s4w6t4d0";"one_one";"CSpred";NA;"1317.1650000003865";"false";"new";0;6;"correct";"4_1/CS10_pred"
"96";95;"memory1";"85s4w6t4d0";"one_one";"CSnonpred";NA;"2491.8800000014016";"false";"new";0;7;"correct";"4_1/CS4_unpred"
"99";98;"memory1";"85s4w6t4d0";"one_one";"GSold";2;"1712.4049999983981";"false";"new";0;8;"correct";"2_1/CS8"
"102";101;"memory1";"85s4w6t4d0";"one_one";"distractor";NA;"906.7000000068219";"false";"new";0;9;"correct";"distractor_1/dis2"
"105";104;"memory1";"85s4w6t4d0";"one_one";"CSnonpred";NA;"1144.6850000065751";"false";"new";0;10;"correct";"4_1/CS3_unpred"
"108";107;"memory1";"85s4w6t4d0";"one_one";"CSpred";NA;"1432.5799999933224";"false";"old";1;11;"incorrect";"4_1/CS3_pred"
"111";110;"memory1";"85s4w6t4d0";"one_one";"GSnew";4;"885.0300000049174";"false";"new";0;12;"correct";"4_1/GS1"
"114";113;"memory1";"85s4w6t4d0";"one_one";"CSnonpred";NA;"1236.095000000205";"false";"new";0;13;"correct";"4_1/CS2_unpred"
"117";116;"memory1";"85s4w6t4d0";"one_one";"GSold";3;"1701.3499999884516";"false";"old";1;14;"incorrect";"3_1/CS3"
"120";119;"memory1";"85s4w6t4d0";"one_one";"CS";1;"1968.670000002021";"false";"new";0;15;"incorrect";"1_1/CS3"
"123";122;"memory1";"85s4w6t4d0";"one_one";"GSnew";2;"2764.584999997169";"false";"new";0;16;"correct";"2_1/GS1"
"126";125;"memory1";"85s4w6t4d0";"one_one";"GSold";4;"1820.7450000045355";"false";"old";1;17;"incorrect";"4_1/CS9"
"129";128;"memory1";"85s4w6t4d0";"one_one";"CS";2;"1450.95999998739";"false";"old";1;18;"correct";"2_1/CS4"
"132";131;"memory1";"85s4w6t4d0";"one_one";"GSnew";1;"1011.3500000006752";"false";"new";0;19;"correct";"1_1/GS1"
"135";134;"memory1";"85s4w6t4d0";"one_one";"CS";4;"1671.4800000045216";"false";"old";1;20;"correct";"4_1/CS2"
"138";137;"memory1";"85s4w6t4d0";"one_one";"CSnonpred";NA;"1776.624999998603";"false";"new";0;21;"correct";"4_1/CS10_unpred"
"141";140;"memory1";"85s4w6t4d0";"one_one";"distractor";NA;"3117.6500000001397";"false";"new";0;22;"correct";"distractor_1/dis4"
"144";143;"memory1";"85s4w6t4d0";"one_one";"CSpred";NA;"1347.2550000005867";"false";"new";0;23;"correct";"4_1/CS4_pred"
