"";"trial_index";"task";"subject";"type";"category";"response";"rt";"cs_selected"
"176";175;"direct";"04ty3gjk9u";"CS";"1";-40;"6368.795000002137";"1_3/CS8"
"177";176;"direct";"04ty3gjk9u";"CS";"1";22;"6350.525000001653";"1_3/CS9"
"178";177;"direct";"04ty3gjk9u";"CS";"1";-44;"6404.280000002473";"1_3/CS11"
"179";178;"direct";"04ty3gjk9u";"CS";"2";-77;"4449.145000005956";"2_3/CS8"
"180";179;"direct";"04ty3gjk9u";"CS";"3";-43;"4143.7650000007125";"3_3/CS7"
"181";180;"direct";"04ty3gjk9u";"CS";"3";-35;"5619.584999993094";"3_3/CS5"
"182";181;"direct";"04ty3gjk9u";"CS";"1";-40;"4271.480000010342";"1_3/CS3"
"183";182;"direct";"04ty3gjk9u";"CS";"3";-39;"4340.109999990091";"3_3/CS10"
"184";183;"direct";"04ty3gjk9u";"CS";"3";-30;"4124.4299999962095";"3_3/CS6"
"185";184;"direct";"04ty3gjk9u";"CS";"4";-100;"3706.934999994701";"4_3/CS11"
"186";185;"direct";"04ty3gjk9u";"CS";"4";-100;"4561.220000003232";"4_3/CS12"
"187";186;"direct";"04ty3gjk9u";"CS";"1";-59;"2740.415000007488";"1_3/CS2"
"188";187;"direct";"04ty3gjk9u";"CS";"2";13;"4742.144999996526";"2_3/CS5"
"189";188;"direct";"04ty3gjk9u";"CS";"2";-100;"2585.435000000871";"2_3/CS3"
"190";189;"direct";"04ty3gjk9u";"CS";"2";-100;"2966.4499999926193";"2_3/CS7"
"191";190;"direct";"04ty3gjk9u";"CS";"3";-57;"4077.7600000001257";"3_3/CS9"
"192";191;"direct";"04ty3gjk9u";"CS";"2";-100;"3390.5050000030315";"2_3/CS10"
"193";192;"direct";"04ty3gjk9u";"CS";"1";27;"3905.8700000023236";"1_3/CS7"
"194";193;"direct";"04ty3gjk9u";"CS";"2";-100;"2609.5449999993434";"2_3/CS4"
"195";194;"direct";"04ty3gjk9u";"CS";"4";-100;"5079.039999996894";"4_3/CS9"
"196";195;"direct";"04ty3gjk9u";"CS";"4";-100;"3667.6799999986542";"4_3/CS1"
"197";196;"direct";"04ty3gjk9u";"CS";"3";-100;"2693.809999997029";"3_3/CS3"
