"";"trial_index";"task";"subject";"condition1";"type";"category";"rt";"timeout";"memory";"memoryResp";"nr_pres";"memoryCorrect";"cs_selected"
"218";217;"memory1";"04ty3gjk9u";"many_fill";"GSold";"2";"2936.649999988731";"false";"new";0;"0";"correct";"2_1/CS7"
"221";220;"memory1";"04ty3gjk9u";"many_fill";"distractor";NA;"1728.739999991376";"false";"new";0;"1";"correct";"distractor_1/dis1"
"224";223;"memory1";"04ty3gjk9u";"many_fill";"GSold";"1";"1240.7600000005914";"false";"old";1;"2";"incorrect";"1_1/CS9"
"227";226;"memory1";"04ty3gjk9u";"many_fill";"CSpred";"2";"1351.3200000015786";"false";"old";1;"3";"incorrect";"2_1/CS8_pred"
"230";229;"memory1";"04ty3gjk9u";"many_fill";"CS";"3";"1479.6349999960512";"false";"new";0;"4";"incorrect";"3_1/CS2"
"233";232;"memory1";"04ty3gjk9u";"many_fill";"distractor";NA;"1029.1250000009313";"false";"new";0;"5";"correct";"distractor_1/dis3"
"236";235;"memory1";"04ty3gjk9u";"many_fill";"GSnew";"4";"1036.2349999923026";"false";"old";1;"6";"incorrect";"4_1/GS1"
"239";238;"memory1";"04ty3gjk9u";"many_fill";"CSpred";"4";"1490.3750000084983";"false";"old";1;"7";"incorrect";"4_1/CS8_pred"
"242";241;"memory1";"04ty3gjk9u";"many_fill";"GSnew";"3";"947.4999999947613";"false";"old";1;"8";"incorrect";"3_1/GS1"
"245";244;"memory1";"04ty3gjk9u";"many_fill";"CSnonpred";"4";"856.5850000013597";"false";"old";1;"9";"incorrect";"4_1/CS8_unpred"
"248";247;"memory1";"04ty3gjk9u";"many_fill";"CSnonpred";"1";"796.184999999241";"false";"old";1;"10";"incorrect";"1_1/CS10_unpred"
"251";250;"memory1";"04ty3gjk9u";"many_fill";"CSpred";"1";"656.7349999968428";"false";"new";0;"11";"correct";"1_1/CS10_pred"
"254";253;"memory1";"04ty3gjk9u";"many_fill";"GSold";"3";"788.990000000922";"false";"old";1;"12";"incorrect";"3_1/CS9"
"257";256;"memory1";"04ty3gjk9u";"many_fill";"distractor";NA;"919.7850000055041";"false";"new";0;"13";"correct";"distractor_1/dis2"
"260";259;"memory1";"04ty3gjk9u";"many_fill";"CSpred";"3";"1174.42999999912";"false";"old";1;"14";"incorrect";"3_1/CS2_pred"
"263";262;"memory1";"04ty3gjk9u";"many_fill";"distractor";NA;"801.9350000104168";"false";"old";1;"15";"incorrect";"distractor_1/dis4"
"266";265;"memory1";"04ty3gjk9u";"many_fill";"CS";"2";"1251.4049999881536";"false";"new";0;"16";"incorrect";"2_1/CS8"
"269";268;"memory1";"04ty3gjk9u";"many_fill";"CSnonpred";"3";"1101.3650000095367";"false";"old";1;"17";"incorrect";"3_1/CS2_unpred"
"272";271;"memory1";"04ty3gjk9u";"many_fill";"CS";"4";"773.5300000058487";"false";"new";0;"18";"incorrect";"4_1/CS8"
"275";274;"memory1";"04ty3gjk9u";"many_fill";"CS";"1";"1023.6949999962235";"false";"new";0;"19";"incorrect";"1_1/CS10"
"278";277;"memory1";"04ty3gjk9u";"many_fill";"GSnew";"1";"1187.7800000074785";"false";"old";1;"20";"incorrect";"1_1/GS1"
"281";280;"memory1";"04ty3gjk9u";"many_fill";"GSnew";"2";"1624.565000005532";"false";"new";0;"21";"correct";"2_1/GS1"
"284";283;"memory1";"04ty3gjk9u";"many_fill";"CSnonpred";"2";"823.9150000008522";"false";"new";0;"22";"correct";"2_1/CS8_unpred"
"287";286;"memory1";"04ty3gjk9u";"many_fill";"GSold";"4";"1078.0399999930523";"false";"old";1;"23";"incorrect";"4_1/CS2"
"920";217;"memory1";"0zq54143a6";"many_fill";"GSold";"2";"null";"true";"miss";NA;"0";"miss";"2_1/CS6"
"923";220;"memory1";"0zq54143a6";"many_fill";"CSpred";"2";"3780";"false";"old";1;"1";"incorrect";"2_1/CS7_pred"
"926";223;"memory1";"0zq54143a6";"many_fill";"GSnew";"4";"1236";"false";"old";1;"2";"incorrect";"4_1/GS1"
"929";226;"memory1";"0zq54143a6";"many_fill";"CS";"3";"1004";"false";"old";1;"3";"correct";"3_1/CS4"
"932";229;"memory1";"0zq54143a6";"many_fill";"distractor";NA;"901";"false";"new";0;"4";"correct";"distractor_1/dis2"
"935";232;"memory1";"0zq54143a6";"many_fill";"GSnew";"3";"881";"false";"new";0;"5";"correct";"3_1/GS1"
"938";235;"memory1";"0zq54143a6";"many_fill";"GSold";"1";"1525";"false";"new";0;"6";"correct";"1_1/CS9"
"941";238;"memory1";"0zq54143a6";"many_fill";"CSnonpred";"2";"1343";"false";"new";0;"7";"correct";"2_1/CS7_unpred"
"944";241;"memory1";"0zq54143a6";"many_fill";"CSpred";"3";"1197";"false";"old";1;"8";"incorrect";"3_1/CS4_pred"
"947";244;"memory1";"0zq54143a6";"many_fill";"distractor";NA;"1333";"false";"new";0;"9";"correct";"distractor_1/dis1"
"950";247;"memory1";"0zq54143a6";"many_fill";"CSpred";"1";"917";"false";"new";0;"10";"correct";"1_1/CS4_pred"
"953";250;"memory1";"0zq54143a6";"many_fill";"CSpred";"4";"895";"false";"old";1;"11";"incorrect";"4_1/CS2_pred"
"956";253;"memory1";"0zq54143a6";"many_fill";"distractor";NA;"1239";"false";"new";0;"12";"correct";"distractor_1/dis4"
"959";256;"memory1";"0zq54143a6";"many_fill";"GSold";"3";"828";"false";"new";0;"13";"correct";"3_1/CS1"
"962";259;"memory1";"0zq54143a6";"many_fill";"GSnew";"2";"1156";"false";"old";1;"14";"incorrect";"2_1/GS1"
"965";262;"memory1";"0zq54143a6";"many_fill";"CSnonpred";"3";"1003";"false";"old";1;"15";"incorrect";"3_1/CS4_unpred"
"968";265;"memory1";"0zq54143a6";"many_fill";"CSnonpred";"1";"1227";"false";"old";1;"16";"incorrect";"1_1/CS4_unpred"
"971";268;"memory1";"0zq54143a6";"many_fill";"CSnonpred";"4";"759";"false";"old";1;"17";"incorrect";"4_1/CS2_unpred"
"974";271;"memory1";"0zq54143a6";"many_fill";"CS";"2";"1050";"false";"old";1;"18";"correct";"2_1/CS7"
"977";274;"memory1";"0zq54143a6";"many_fill";"CS";"4";"667";"false";"old";1;"19";"correct";"4_1/CS2"
"980";277;"memory1";"0zq54143a6";"many_fill";"distractor";NA;"819";"false";"new";0;"20";"correct";"distractor_1/dis3"
"983";280;"memory1";"0zq54143a6";"many_fill";"GSold";"4";"990";"false";"new";0;"21";"correct";"4_1/CS8"
"986";283;"memory1";"0zq54143a6";"many_fill";"CS";"1";"1117";"false";"old";1;"22";"correct";"1_1/CS4"
"989";286;"memory1";"0zq54143a6";"many_fill";"GSnew";"1";"1643";"false";"new";0;"23";"correct";"1_1/GS1"
"1271";217;"memory1";"19k5554njc";"many_fill";"GSold";"4";"113";"false";"new";0;"0";"correct";"4_1/CS3"
"1274";220;"memory1";"19k5554njc";"many_fill";"distractor";NA;"1077";"false";"new";0;"1";"correct";"distractor_1/dis2"
"1277";223;"memory1";"19k5554njc";"many_fill";"CSpred";"1";"1017";"false";"old";1;"2";"incorrect";"1_1/CS4_pred"
"1280";226;"memory1";"19k5554njc";"many_fill";"distractor";NA;"711";"false";"old";1;"3";"incorrect";"distractor_1/dis1"
"1283";229;"memory1";"19k5554njc";"many_fill";"distractor";NA;"707";"false";"new";0;"4";"correct";"distractor_1/dis4"
"1286";232;"memory1";"19k5554njc";"many_fill";"CS";"4";"756";"false";"old";1;"5";"correct";"4_1/CS10"
"1289";235;"memory1";"19k5554njc";"many_fill";"GSold";"1";"1121";"false";"new";0;"6";"correct";"1_1/CS8"
"1292";238;"memory1";"19k5554njc";"many_fill";"CSnonpred";"1";"964";"false";"old";1;"7";"incorrect";"1_1/CS4_unpred"
"1295";241;"memory1";"19k5554njc";"many_fill";"CS";"1";"1022";"false";"old";1;"8";"correct";"1_1/CS4"
"1298";244;"memory1";"19k5554njc";"many_fill";"CS";"3";"771";"false";"old";1;"9";"correct";"3_1/CS4"
"1301";247;"memory1";"19k5554njc";"many_fill";"CSnonpred";"4";"826";"false";"old";1;"10";"incorrect";"4_1/CS10_unpred"
"1304";250;"memory1";"19k5554njc";"many_fill";"CSnonpred";"3";"838";"false";"old";1;"11";"incorrect";"3_1/CS4_unpred"
"1307";253;"memory1";"19k5554njc";"many_fill";"GSnew";"1";"928";"false";"new";0;"12";"correct";"1_1/GS1"
"1310";256;"memory1";"19k5554njc";"many_fill";"GSold";"3";"798";"false";"new";0;"13";"correct";"3_1/CS10"
"1313";259;"memory1";"19k5554njc";"many_fill";"CSnonpred";"2";"739";"false";"old";1;"14";"incorrect";"2_1/CS2_unpred"
"1316";262;"memory1";"19k5554njc";"many_fill";"CSpred";"3";"792";"false";"old";1;"15";"incorrect";"3_1/CS4_pred"
"1319";265;"memory1";"19k5554njc";"many_fill";"GSnew";"3";"1000";"false";"new";0;"16";"correct";"3_1/GS1"
"1322";268;"memory1";"19k5554njc";"many_fill";"CS";"2";"1030";"false";"old";1;"17";"correct";"2_1/CS2"
"1325";271;"memory1";"19k5554njc";"many_fill";"GSnew";"4";"1404";"false";"new";0;"18";"correct";"4_1/GS1"
"1328";274;"memory1";"19k5554njc";"many_fill";"distractor";NA;"930";"false";"new";0;"19";"correct";"distractor_1/dis3"
"1331";277;"memory1";"19k5554njc";"many_fill";"CSpred";"2";"1176";"false";"new";0;"20";"correct";"2_1/CS2_pred"
"1334";280;"memory1";"19k5554njc";"many_fill";"GSold";"2";"1358";"false";"new";0;"21";"correct";"2_1/CS6"
"1337";283;"memory1";"19k5554njc";"many_fill";"CSpred";"4";"772";"false";"old";1;"22";"incorrect";"4_1/CS10_pred"
"1340";286;"memory1";"19k5554njc";"many_fill";"GSnew";"2";"1150";"false";"new";0;"23";"correct";"2_1/GS1"
"1622";217;"memory1";"1kkguek4q5";"one_one";"CSpred";"2";"841";"false";"new";0;"0";"correct";"2_1/CS9_pred"
"1625";220;"memory1";"1kkguek4q5";"one_one";"CS";"2";"null";"true";"miss";NA;"1";"miss";"2_1/CS9"
"1628";223;"memory1";"1kkguek4q5";"one_one";"CS";"4";"1887";"false";"old";1;"2";"correct";"4_1/CS9"
"1631";226;"memory1";"1kkguek4q5";"one_one";"GSold";"2";"832";"false";"old";1;"3";"incorrect";"2_1/CS5"
"1634";229;"memory1";"1kkguek4q5";"one_one";"CS";"3";"1574";"false";"old";1;"4";"correct";"3_1/CS6"
"1637";232;"memory1";"1kkguek4q5";"one_one";"CS";"1";"1265";"false";"new";0;"5";"incorrect";"1_1/CS2"
