Name;Nr;Pleasure;V4;Arousal;V6;Dominance;V8;V9;V10;V11;Gruppe_P;filter_$;val;old_new
SickKitty;9561;2,68;1,92;4,79;2,29;4,53;2,36; ; ;10;0;1;neg;old
Rat;1280;3,66;1,75;4,93;2,01;5,05;2,2; ; ;4;0; ;neg;old
Hospital;2205;1,95;1,58;4,53;2,23;3,22;2,13; ; ;6;0; ;neg;old
Bum;2750;2,56;1,32;4,31;1,81;4,48;2,16; ; ;6;0;1;neg;old
CryingBoy;2900;2,45;1,42;5,09;2,15;3,64;1,7; ; ;5;0;1;neg;old
EyeDisease;3160;2,63;1,23;5,35;1,79;4,08;1,88; ; ;3;0;1;neg;old
BatteredFem;3181;2,3;1,43;5,06;2,11;4,31;2,32; ; ;11;0;1;neg;old
DisabledChild;3300;2,74;1,56;4,55;2,06;4,64;1,97; ; ;6;0;1;neg;old
ElectricChair;6020;3,41;1,98;5,58;2,01;4,07;2,43; ; ;4;0;1;neg;old
Suicide;6570,1;2,54;1,76;6,12;2,17;3,46;2,36; ; ;12; ;1;neg;old
RoachOnPizza;7380;2,46;1,42;5,88;2,44;4,49;2,18; ; ;6;0;1;neg;old
Fire;8485;2,73;1,62;6,46;2,1;3,25;2,2;Mrz 25;20. Feb;14;0;1;neg;old
Cemetery;9000;2,55;1,55;4,06;2,25;3,25;2,13; ; ;2;0;1;neg;old
ScaredChild;9041;2,98;1,58;4,64;2,26;4,38;2,34; ; ;9;0;1;neg;old
PlaneCrash;9050;2,43;1,61;6,36;1,97;3,27;2,06; ; ;2; ;1;neg;old
Seal;9180;2,99;1,61;5,02;2,09;4,52;2,09; ; ;2;0;1;neg;old
DeadCows;9181;2,26;1,85;5,39;2,41;4,04;2,27; ; ;8; ; ;neg;old
Horses;9182;3,52;2,04;4,98;2,07;4,97;2,32;Apr 45;Jan 80;7; ;1;neg;old
Cemetery;9220;2,06;1,54;4;2,09;3,13;1,97; ; ;6;0;1;neg;old
Smoke;9280;2,8;1,54;4,26;2,44;4,1;2,54; ; ;9;0;1;neg;old
