"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","47800","0.0-0.0","0l6bvae9bs","one_one","1","indirect_first","0","TZ05ER25","1","28","1","1","1","1","Ich bin zwar nicht ausreichend qualifiziert für eine Einschätzung, jedoch habe ich den Eindruck, dass das ""Priming"" durch etwaige Zeichenelemente sehr opulent war. ","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","59025","0.0-1.0","0l6bvae9bs","one_one","1","indirect_first","0","TZ05ER25","1","28","1","1","1","1","Ich bin zwar nicht ausreichend qualifiziert für eine Einschätzung, jedoch habe ich den Eindruck, dass das ""Priming"" durch etwaige Zeichenelemente sehr opulent war. ","0","1","0","11131","text/information.html","","","","","","","","","","","","",""
"","external-html","2","70077","0.0-2.0","0l6bvae9bs","one_one","1","indirect_first","0","TZ05ER25","1","28","1","1","1","1","Ich bin zwar nicht ausreichend qualifiziert für eine Einschätzung, jedoch habe ich den Eindruck, dass das ""Priming"" durch etwaige Zeichenelemente sehr opulent war. ","0","1","0","10769","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","122580","0.0-3.0","0l6bvae9bs","one_one","1","indirect_first","0","TZ05ER25","1","28","1","1","1","1","Ich bin zwar nicht ausreichend qualifiziert für eine Einschätzung, jedoch habe ich den Eindruck, dass das ""Priming"" durch etwaige Zeichenelemente sehr opulent war. ","0","1","0","52498","","{""codeword_enter"":""TZ05ER25""}","","","","","","","","","","","",""
"","survey-html-form","4","137552","0.0-4.0","0l6bvae9bs","one_one","1","indirect_first","0","TZ05ER25","1","28","1","1","1","1","Ich bin zwar nicht ausreichend qualifiziert für eine Einschätzung, jedoch habe ich den Eindruck, dass das ""Priming"" durch etwaige Zeichenelemente sehr opulent war. ","0","1","0","14965","","{""age"":""28"",""education"":""1"",""subject"":""1"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","150145","0.0-5.0","0l6bvae9bs","one_one","1","indirect_first","0","TZ05ER25","1","28","1","1","1","1","Ich bin zwar nicht ausreichend qualifiziert für eine Einschätzung, jedoch habe ich den Eindruck, dass das ""Priming"" durch etwaige Zeichenelemente sehr opulent war. ","0","1","0","12589","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","154172","0.0-6.0-0.0-0.0","0l6bvae9bs","one_one","1","indirect_first","0","TZ05ER25","1","28","1","1","1","1","Ich bin zwar nicht ausreichend qualifiziert für eine Einschätzung, jedoch habe ich den Eindruck, dass das ""Priming"" durch etwaige Zeichenelemente sehr opulent war. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","7","156711","0.0-6.0-0.0-0.1","0l6bvae9bs","one_one","1","indirect_first","0","TZ05ER25","1","28","1","1","1","1","Ich bin zwar nicht ausreichend qualifiziert für eine Einschätzung, jedoch habe ich den Eindruck, dass das ""Priming"" durch etwaige Zeichenelemente sehr opulent war. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5700.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","8","159251","0.0-6.0-0.0-0.2","0l6bvae9bs","one_one","1","indirect_first","0","TZ05ER25","1","28","1","1","1","1","Ich bin zwar nicht ausreichend qualifiziert für eine Einschätzung, jedoch habe ich den Eindruck, dass das ""Priming"" durch etwaige Zeichenelemente sehr opulent war. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","9","161782","0.0-6.0-0.0-0.3","0l6bvae9bs","one_one","1","indirect_first","0","TZ05ER25","1","28","1","1","1","1","Ich bin zwar nicht ausreichend qualifiziert für eine Einschätzung, jedoch habe ich den Eindruck, dass das ""Priming"" durch etwaige Zeichenelemente sehr opulent war. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5700.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS4.png","","","","",""
