"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","5561","0.0-0.0","0x60m0jfpm","one_one","1","direct_first","1","er05lf09","1","23","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","8513","0.0-1.0","0x60m0jfpm","one_one","1","direct_first","1","er05lf09","1","23","1","1","3","1","","0","1","0","2841","text/information.html","","","","","","","","","","","","",""
"","external-html","2","16959","0.0-2.0","0x60m0jfpm","one_one","1","direct_first","1","er05lf09","1","23","1","1","3","1","","0","1","0","8419","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","62920","0.0-3.0","0x60m0jfpm","one_one","1","direct_first","1","er05lf09","1","23","1","1","3","1","","0","1","0","45958","","{""codeword_enter"":""er05lf09""}","","","","","","","","","","","",""
"","survey-html-form","4","77987","0.0-4.0","0x60m0jfpm","one_one","1","direct_first","1","er05lf09","1","23","1","1","3","1","","0","1","0","15064","","{""age"":""23"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","79322","0.0-5.0","0x60m0jfpm","one_one","1","direct_first","1","er05lf09","1","23","1","1","3","1","","0","1","0","1335","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","83343","0.0-6.0-0.0-0.0","0x60m0jfpm","one_one","1","direct_first","1","er05lf09","1","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1710.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","7","85877","0.0-6.0-0.0-0.1","0x60m0jfpm","one_one","1","direct_first","1","er05lf09","1","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8190.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS1.png","","","","",""
"","html-keyboard-response","8","88406","0.0-6.0-0.0-0.2","0x60m0jfpm","one_one","1","direct_first","1","er05lf09","1","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2205.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","9","90937","0.0-6.0-0.0-0.3","0x60m0jfpm","one_one","1","direct_first","1","er05lf09","1","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","10","93446","0.0-6.0-0.0-0.4","0x60m0jfpm","one_one","1","direct_first","1","er05lf09","1","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8190.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS1.png","","","","",""
"","html-keyboard-response","11","95986","0.0-6.0-0.0-0.5","0x60m0jfpm","one_one","1","direct_first","1","er05lf09","1","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","12","98511","0.0-6.0-0.0-0.6","0x60m0jfpm","one_one","1","direct_first","1","er05lf09","1","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8190.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS1.png","","","","",""
