"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","3958","0.0-0.0","0xo6h201o3","one_one","1","direct_first","1","io08pe23","0","28","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","21690","0.0-1.0","0xo6h201o3","one_one","1","direct_first","1","io08pe23","0","28","1","1","3","1","","0","1","0","17683.16000001505","text/information.html","","","","","","","","","","","","",""
"","external-html","2","35165","0.0-2.0","0xo6h201o3","one_one","1","direct_first","1","io08pe23","0","28","1","1","3","1","","0","1","0","13359.599999850616","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","106913","0.0-3.0","0xo6h201o3","one_one","1","direct_first","1","io08pe23","0","28","1","1","3","1","","0","1","0","71740.46500003897","","{""codeword_enter"":""io08pe23""}","","","","","","","","","","","",""
"","survey-html-form","4","128081","0.0-4.0","0xo6h201o3","one_one","1","direct_first","1","io08pe23","0","28","1","1","3","1","","0","1","0","21157.92499994859","","{""age"":""28"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","147988","0.0-5.0","0xo6h201o3","one_one","1","direct_first","1","io08pe23","0","28","1","1","3","1","","0","1","0","19898.03500007838","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","152001","0.0-6.0-0.0-0.0","0xo6h201o3","one_one","1","direct_first","1","io08pe23","0","28","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2160.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","7","154518","0.0-6.0-0.0-0.1","0xo6h201o3","one_one","1","direct_first","1","io08pe23","0","28","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2058.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","8","157036","0.0-6.0-0.0-0.2","0xo6h201o3","one_one","1","direct_first","1","io08pe23","0","28","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2160.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","9","159562","0.0-6.0-0.0-0.3","0xo6h201o3","one_one","1","direct_first","1","io08pe23","0","28","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","10","162087","0.0-6.0-0.0-0.4","0xo6h201o3","one_one","1","direct_first","1","io08pe23","0","28","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","11","164601","0.0-6.0-0.0-0.5","0xo6h201o3","one_one","1","direct_first","1","io08pe23","0","28","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2160.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","12","167116","0.0-6.0-0.0-0.6","0xo6h201o3","one_one","1","direct_first","1","io08pe23","0","28","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","13","169641","0.0-6.0-0.0-0.7","0xo6h201o3","one_one","1","direct_first","1","io08pe23","0","28","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","14","172160","0.0-6.0-0.0-0.8","0xo6h201o3","one_one","1","direct_first","1","io08pe23","0","28","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2058.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","15","174673","0.0-6.0-0.0-0.9","0xo6h201o3","one_one","1","direct_first","1","io08pe23","0","28","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2160.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","16","177193","0.0-6.0-0.0-0.10","0xo6h201o3","one_one","1","direct_first","1","io08pe23","0","28","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2058.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
