"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","8712","0.0-0.0","1px6htx436","one_one","1","direct_first","1","le07es21","1","25","1","1","3","1","Nach Teilnahme würde mich interessieren, was genau untersucht wird ;)","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","179546","0.0-1.0","1px6htx436","one_one","1","direct_first","1","le07es21","1","25","1","1","3","1","Nach Teilnahme würde mich interessieren, was genau untersucht wird ;)","0","1","0","170786.1050000065","text/information.html","","","","","","","","","","","","",""
"","external-html","2","194932","0.0-2.0","1px6htx436","one_one","1","direct_first","1","le07es21","1","25","1","1","3","1","Nach Teilnahme würde mich interessieren, was genau untersucht wird ;)","0","1","0","15317.479999997886","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","265663","0.0-3.0","1px6htx436","one_one","1","direct_first","1","le07es21","1","25","1","1","3","1","Nach Teilnahme würde mich interessieren, was genau untersucht wird ;)","0","1","0","70729.01500000444","","{""codeword_enter"":""le07es21""}","","","","","","","","","","","",""
"","survey-html-form","4","284837","0.0-4.0","1px6htx436","one_one","1","direct_first","1","le07es21","1","25","1","1","3","1","Nach Teilnahme würde mich interessieren, was genau untersucht wird ;)","0","1","0","19171.965000001364","","{""age"":""25"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","303840","0.0-5.0","1px6htx436","one_one","1","direct_first","1","le07es21","1","25","1","1","3","1","Nach Teilnahme würde mich interessieren, was genau untersucht wird ;)","0","1","0","19002.28000000061","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","307848","0.0-6.0-0.0-0.0","1px6htx436","one_one","1","direct_first","1","le07es21","1","25","1","1","3","1","Nach Teilnahme würde mich interessieren, was genau untersucht wird ;)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1710.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","7","310355","0.0-6.0-0.0-0.1","1px6htx436","one_one","1","direct_first","1","le07es21","1","25","1","1","3","1","Nach Teilnahme würde mich interessieren, was genau untersucht wird ;)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/4599.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","8","312861","0.0-6.0-0.0-0.2","1px6htx436","one_one","1","direct_first","1","le07es21","1","25","1","1","3","1","Nach Teilnahme würde mich interessieren, was genau untersucht wird ;)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9180.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","9","315367","0.0-6.0-0.0-0.3","1px6htx436","one_one","1","direct_first","1","le07es21","1","25","1","1","3","1","Nach Teilnahme würde mich interessieren, was genau untersucht wird ;)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1710.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","10","317872","0.0-6.0-0.0-0.4","1px6htx436","one_one","1","direct_first","1","le07es21","1","25","1","1","3","1","Nach Teilnahme würde mich interessieren, was genau untersucht wird ;)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9180.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","11","320377","0.0-6.0-0.0-0.5","1px6htx436","one_one","1","direct_first","1","le07es21","1","25","1","1","3","1","Nach Teilnahme würde mich interessieren, was genau untersucht wird ;)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1710.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","12","322883","0.0-6.0-0.0-0.6","1px6htx436","one_one","1","direct_first","1","le07es21","1","25","1","1","3","1","Nach Teilnahme würde mich interessieren, was genau untersucht wird ;)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9180.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","13","325389","0.0-6.0-0.0-0.7","1px6htx436","one_one","1","direct_first","1","le07es21","1","25","1","1","3","1","Nach Teilnahme würde mich interessieren, was genau untersucht wird ;)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","14","327894","0.0-6.0-0.0-0.8","1px6htx436","one_one","1","direct_first","1","le07es21","1","25","1","1","3","1","Nach Teilnahme würde mich interessieren, was genau untersucht wird ;)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9180.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","15","330399","0.0-6.0-0.0-0.9","1px6htx436","one_one","1","direct_first","1","le07es21","1","25","1","1","3","1","Nach Teilnahme würde mich interessieren, was genau untersucht wird ;)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","16","332905","0.0-6.0-0.0-0.10","1px6htx436","one_one","1","direct_first","1","le07es21","1","25","1","1","3","1","Nach Teilnahme würde mich interessieren, was genau untersucht wird ;)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/4599.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","17","335410","0.0-6.0-0.0-0.11","1px6htx436","one_one","1","direct_first","1","le07es21","1","25","1","1","3","1","Nach Teilnahme würde mich interessieren, was genau untersucht wird ;)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1710.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","18","337917","0.0-6.0-0.0-0.12","1px6htx436","one_one","1","direct_first","1","le07es21","1","25","1","1","3","1","Nach Teilnahme würde mich interessieren, was genau untersucht wird ;)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/4599.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","19","340421","0.0-6.0-0.0-0.13","1px6htx436","one_one","1","direct_first","1","le07es21","1","25","1","1","3","1","Nach Teilnahme würde mich interessieren, was genau untersucht wird ;)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","20","342927","0.0-6.0-0.0-0.14","1px6htx436","one_one","1","direct_first","1","le07es21","1","25","1","1","3","1","Nach Teilnahme würde mich interessieren, was genau untersucht wird ;)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9180.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
