"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","5492","0.0-0.0","2aj9uo7pfl","many_one","0","indirect_first","0","er05ns23","1","69","1","1","3","1","teilnahme war o.k. ich ging davon aus, dass manche zeichen-bestandteile eine positive oder negative bedeutung hatten.","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","43862","0.0-1.0","2aj9uo7pfl","many_one","0","indirect_first","0","er05ns23","1","69","1","1","3","1","teilnahme war o.k. ich ging davon aus, dass manche zeichen-bestandteile eine positive oder negative bedeutung hatten.","0","1","0","38244.17000007816","text/information.html","","","","","","","","","","","","",""
"","external-html","2","56454","0.0-2.0","2aj9uo7pfl","many_one","0","indirect_first","0","er05ns23","1","69","1","1","3","1","teilnahme war o.k. ich ging davon aus, dass manche zeichen-bestandteile eine positive oder negative bedeutung hatten.","0","1","0","12534.070000052452","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","124006","0.0-3.0","2aj9uo7pfl","many_one","0","indirect_first","0","er05ns23","1","69","1","1","3","1","teilnahme war o.k. ich ging davon aus, dass manche zeichen-bestandteile eine positive oder negative bedeutung hatten.","0","1","0","67549.9950000085","","{""codeword_enter"":""er05ns23""}","","","","","","","","","","","",""
"","survey-html-form","4","157815","0.0-4.0","2aj9uo7pfl","many_one","0","indirect_first","0","er05ns23","1","69","1","1","3","1","teilnahme war o.k. ich ging davon aus, dass manche zeichen-bestandteile eine positive oder negative bedeutung hatten.","0","1","0","33804.4350000564","","{""age"":""69"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","170104","0.0-5.0","2aj9uo7pfl","many_one","0","indirect_first","0","er05ns23","1","69","1","1","3","1","teilnahme war o.k. ich ging davon aus, dass manche zeichen-bestandteile eine positive oder negative bedeutung hatten.","0","1","0","12289.154999889433","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","174124","0.0-6.0-0.0-0.0","2aj9uo7pfl","many_one","0","indirect_first","0","er05ns23","1","69","1","1","3","1","teilnahme war o.k. ich ging davon aus, dass manche zeichen-bestandteile eine positive oder negative bedeutung hatten.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS3.png","","","","",""
"","html-keyboard-response","7","176651","0.0-6.0-0.0-0.1","2aj9uo7pfl","many_one","0","indirect_first","0","er05ns23","1","69","1","1","3","1","teilnahme war o.k. ich ging davon aus, dass manche zeichen-bestandteile eine positive oder negative bedeutung hatten.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6212.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","8","179168","0.0-6.0-0.0-0.2","2aj9uo7pfl","many_one","0","indirect_first","0","er05ns23","1","69","1","1","3","1","teilnahme war o.k. ich ging davon aus, dass manche zeichen-bestandteile eine positive oder negative bedeutung hatten.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1710.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","9","181687","0.0-6.0-0.0-0.3","2aj9uo7pfl","many_one","0","indirect_first","0","er05ns23","1","69","1","1","3","1","teilnahme war o.k. ich ging davon aus, dass manche zeichen-bestandteile eine positive oder negative bedeutung hatten.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8461.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
