"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","2727","0.0-0.0","2mqu8k2r76","many_one","0","indirect_first","0","ns04en29","1","26","1","1","3","2","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","26382","0.0-1.0","2mqu8k2r76","many_one","0","indirect_first","0","ns04en29","1","26","1","1","3","2","","0","1","0","23612","text/information.html","","","","","","","","","","","","",""
"","external-html","2","41210","0.0-2.0","2mqu8k2r76","many_one","0","indirect_first","0","ns04en29","1","26","1","1","3","2","","0","1","0","14748","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","84304","0.0-3.0","2mqu8k2r76","many_one","0","indirect_first","0","ns04en29","1","26","1","1","3","2","","0","1","0","43091","","{""codeword_enter"":""ns04en29""}","","","","","","","","","","","",""
"","survey-html-form","4","105370","0.0-4.0","2mqu8k2r76","many_one","0","indirect_first","0","ns04en29","1","26","1","1","3","2","","0","1","0","21063","","{""age"":""26"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""2"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","115305","0.0-5.0","2mqu8k2r76","many_one","0","indirect_first","0","ns04en29","1","26","1","1","3","2","","0","1","0","9933","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","119325","0.0-6.0-0.0-0.0","2mqu8k2r76","many_one","0","indirect_first","0","ns04en29","1","26","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9000.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","7","121841","0.0-6.0-0.0-0.1","2mqu8k2r76","many_one","0","indirect_first","0","ns04en29","1","26","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2150.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","8","124358","0.0-6.0-0.0-0.2","2mqu8k2r76","many_one","0","indirect_first","0","ns04en29","1","26","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","9","126882","0.0-6.0-0.0-0.3","2mqu8k2r76","many_one","0","indirect_first","0","ns04en29","1","26","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS4.png","","","","",""
