"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","6187","0.0-0.0","2o9l663odr","one_one","1","indirect_first","0","un07us23","0","20","1","2","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","54912","0.0-1.0","2o9l663odr","one_one","1","indirect_first","0","un07us23","0","20","1","2","3","1","","0","1","0","47652","text/information.html","","","","","","","","","","","","",""
"","external-html","2","75099","0.0-2.0","2o9l663odr","one_one","1","indirect_first","0","un07us23","0","20","1","2","3","1","","0","1","0","19955","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","126180","0.0-3.0","2o9l663odr","one_one","1","indirect_first","0","un07us23","0","20","1","2","3","1","","0","1","0","51075","","{""codeword_enter"":""un07us23""}","","","","","","","","","","","",""
"","survey-html-form","4","165073","0.0-4.0","2o9l663odr","one_one","1","indirect_first","0","un07us23","0","20","1","2","3","1","","0","1","0","38887","","{""age"":""20"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""2""}","","","","","","","","","","","",""
"","survey-html-form","5","178494","0.0-5.0","2o9l663odr","one_one","1","indirect_first","0","un07us23","0","20","1","2","3","1","","0","1","0","13415","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","182524","0.0-6.0-0.0-0.0","2o9l663odr","one_one","1","indirect_first","0","un07us23","0","20","1","2","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","7","185063","0.0-6.0-0.0-0.1","2o9l663odr","one_one","1","indirect_first","0","un07us23","0","20","1","2","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","8","187593","0.0-6.0-0.0-0.2","2o9l663odr","one_one","1","indirect_first","0","un07us23","0","20","1","2","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","9","190133","0.0-6.0-0.0-0.3","2o9l663odr","one_one","1","indirect_first","0","un07us23","0","20","1","2","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS7.png","","","","",""
