"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","5359","0.0-0.0","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","59678","0.0-1.0","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","54287","text/information.html","","","","","","","","","","","","",""
"","external-html","2","95025","0.0-2.0","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","35288","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","165723","0.0-3.0","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","70696","","{""codeword_enter"":""Ll06rt20""}","","","","","","","","","","","",""
"","survey-html-form","4","185095","0.0-4.0","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","19370","","{""age"":""23"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","198661","0.0-5.0","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","13566","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","202686","0.0-6.0-0.0-0.0","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","7","205201","0.0-6.0-0.0-0.1","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1440.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","8","207725","0.0-6.0-0.0-0.2","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","9","210245","0.0-6.0-0.0-0.3","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2205.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","10","212772","0.0-6.0-0.0-0.4","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1440.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","11","215297","0.0-6.0-0.0-0.5","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","12","217811","0.0-6.0-0.0-0.6","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","13","220325","0.0-6.0-0.0-0.7","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2205.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","14","222842","0.0-6.0-0.0-0.8","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1440.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","15","225364","0.0-6.0-0.0-0.9","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","16","227890","0.0-6.0-0.0-0.10","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2205.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","17","230419","0.0-6.0-0.0-0.11","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","18","232947","0.0-6.0-0.0-0.12","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","19","235475","0.0-6.0-0.0-0.13","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1440.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","20","237999","0.0-6.0-0.0-0.14","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","21","240522","0.0-6.0-0.0-0.15","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2205.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","22","243043","0.0-6.0-0.0-0.16","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","23","245568","0.0-6.0-0.0-0.17","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1440.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","24","248086","0.0-6.0-0.0-0.18","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","25","250603","0.0-6.0-0.0-0.19","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2205.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS9.png","","","","",""
"","survey-html-form","26","258406","0.0-6.0-1.0","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","7294","","{}","","","","","","","","","","","",""
"","html-keyboard-response","27","262419","0.0-6.0-2.0-0.0","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","28","264946","0.0-6.0-2.0-0.1","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2205.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","29","267460","0.0-6.0-2.0-0.2","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","30","269988","0.0-6.0-2.0-0.3","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","31","272499","0.0-6.0-2.0-0.4","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2205.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","32","275023","0.0-6.0-2.0-0.5","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1440.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","33","277550","0.0-6.0-2.0-0.6","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2205.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","34","280065","0.0-6.0-2.0-0.7","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","35","282591","0.0-6.0-2.0-0.8","30ff3wxhcw","one_one","1","direct_first","1","Ll06rt20","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
