"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","11611","0.0-0.0","3knv5n39nn","one_one","1","indirect_first","0","in06rg08","1","21","1","1","3","1","Mir selber ist aufgefallen, dass rundliche Symbole eher angenehm sind und eckige eher unangenehm sind.","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","36817","0.0-1.0","3knv5n39nn","one_one","1","indirect_first","0","in06rg08","1","21","1","1","3","1","Mir selber ist aufgefallen, dass rundliche Symbole eher angenehm sind und eckige eher unangenehm sind.","0","1","0","24967.320000054315","text/information.html","","","","","","","","","","","","",""
"","external-html","2","58905","0.0-2.0","3knv5n39nn","one_one","1","indirect_first","0","in06rg08","1","21","1","1","3","1","Mir selber ist aufgefallen, dass rundliche Symbole eher angenehm sind und eckige eher unangenehm sind.","0","1","0","21967.30999997817","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","139410","0.0-3.0","3knv5n39nn","one_one","1","indirect_first","0","in06rg08","1","21","1","1","3","1","Mir selber ist aufgefallen, dass rundliche Symbole eher angenehm sind und eckige eher unangenehm sind.","0","1","0","80504.27999999374","","{""codeword_enter"":""in06rg08""}","","","","","","","","","","","",""
"","survey-html-form","4","162363","0.0-4.0","3knv5n39nn","one_one","1","indirect_first","0","in06rg08","1","21","1","1","3","1","Mir selber ist aufgefallen, dass rundliche Symbole eher angenehm sind und eckige eher unangenehm sind.","0","1","0","22948.164999950677","","{""age"":""21"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","176214","0.0-5.0","3knv5n39nn","one_one","1","indirect_first","0","in06rg08","1","21","1","1","3","1","Mir selber ist aufgefallen, dass rundliche Symbole eher angenehm sind und eckige eher unangenehm sind.","0","1","0","13845.84499988705","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","180219","0.0-6.0-0.0-0.0","3knv5n39nn","one_one","1","indirect_first","0","in06rg08","1","21","1","1","3","1","Mir selber ist aufgefallen, dass rundliche Symbole eher angenehm sind und eckige eher unangenehm sind.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","7","182722","0.0-6.0-0.0-0.1","3knv5n39nn","one_one","1","indirect_first","0","in06rg08","1","21","1","1","3","1","Mir selber ist aufgefallen, dass rundliche Symbole eher angenehm sind und eckige eher unangenehm sind.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","8","185224","0.0-6.0-0.0-0.2","3knv5n39nn","one_one","1","indirect_first","0","in06rg08","1","21","1","1","3","1","Mir selber ist aufgefallen, dass rundliche Symbole eher angenehm sind und eckige eher unangenehm sind.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","9","187726","0.0-6.0-0.0-0.3","3knv5n39nn","one_one","1","indirect_first","0","in06rg08","1","21","1","1","3","1","Mir selber ist aufgefallen, dass rundliche Symbole eher angenehm sind und eckige eher unangenehm sind.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","10","190230","0.0-6.0-0.0-0.4","3knv5n39nn","one_one","1","indirect_first","0","in06rg08","1","21","1","1","3","1","Mir selber ist aufgefallen, dass rundliche Symbole eher angenehm sind und eckige eher unangenehm sind.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","11","192733","0.0-6.0-0.0-0.5","3knv5n39nn","one_one","1","indirect_first","0","in06rg08","1","21","1","1","3","1","Mir selber ist aufgefallen, dass rundliche Symbole eher angenehm sind und eckige eher unangenehm sind.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","12","195235","0.0-6.0-0.0-0.6","3knv5n39nn","one_one","1","indirect_first","0","in06rg08","1","21","1","1","3","1","Mir selber ist aufgefallen, dass rundliche Symbole eher angenehm sind und eckige eher unangenehm sind.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9180.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","13","197738","0.0-6.0-0.0-0.7","3knv5n39nn","one_one","1","indirect_first","0","in06rg08","1","21","1","1","3","1","Mir selber ist aufgefallen, dass rundliche Symbole eher angenehm sind und eckige eher unangenehm sind.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","14","200242","0.0-6.0-0.0-0.8","3knv5n39nn","one_one","1","indirect_first","0","in06rg08","1","21","1","1","3","1","Mir selber ist aufgefallen, dass rundliche Symbole eher angenehm sind und eckige eher unangenehm sind.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9180.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","15","202745","0.0-6.0-0.0-0.9","3knv5n39nn","one_one","1","indirect_first","0","in06rg08","1","21","1","1","3","1","Mir selber ist aufgefallen, dass rundliche Symbole eher angenehm sind und eckige eher unangenehm sind.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","16","205247","0.0-6.0-0.0-0.10","3knv5n39nn","one_one","1","indirect_first","0","in06rg08","1","21","1","1","3","1","Mir selber ist aufgefallen, dass rundliche Symbole eher angenehm sind und eckige eher unangenehm sind.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9180.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","17","207748","0.0-6.0-0.0-0.11","3knv5n39nn","one_one","1","indirect_first","0","in06rg08","1","21","1","1","3","1","Mir selber ist aufgefallen, dass rundliche Symbole eher angenehm sind und eckige eher unangenehm sind.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","18","210253","0.0-6.0-0.0-0.12","3knv5n39nn","one_one","1","indirect_first","0","in06rg08","1","21","1","1","3","1","Mir selber ist aufgefallen, dass rundliche Symbole eher angenehm sind und eckige eher unangenehm sind.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","19","212756","0.0-6.0-0.0-0.13","3knv5n39nn","one_one","1","indirect_first","0","in06rg08","1","21","1","1","3","1","Mir selber ist aufgefallen, dass rundliche Symbole eher angenehm sind und eckige eher unangenehm sind.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9180.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","20","215259","0.0-6.0-0.0-0.14","3knv5n39nn","one_one","1","indirect_first","0","in06rg08","1","21","1","1","3","1","Mir selber ist aufgefallen, dass rundliche Symbole eher angenehm sind und eckige eher unangenehm sind.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","21","217762","0.0-6.0-0.0-0.15","3knv5n39nn","one_one","1","indirect_first","0","in06rg08","1","21","1","1","3","1","Mir selber ist aufgefallen, dass rundliche Symbole eher angenehm sind und eckige eher unangenehm sind.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","22","220265","0.0-6.0-0.0-0.16","3knv5n39nn","one_one","1","indirect_first","0","in06rg08","1","21","1","1","3","1","Mir selber ist aufgefallen, dass rundliche Symbole eher angenehm sind und eckige eher unangenehm sind.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","23","222769","0.0-6.0-0.0-0.17","3knv5n39nn","one_one","1","indirect_first","0","in06rg08","1","21","1","1","3","1","Mir selber ist aufgefallen, dass rundliche Symbole eher angenehm sind und eckige eher unangenehm sind.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS8.png","","","","",""
