"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","4161","0.0-0.0","3vfjglht24","many_one","0","direct_first","1","ak04et12","1","24","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","30336","0.0-1.0","3vfjglht24","many_one","0","direct_first","1","ak04et12","1","24","1","1","3","1","","0","1","0","26139.700000174344","text/information.html","","","","","","","","","","","","",""
"","external-html","2","44246","0.0-2.0","3vfjglht24","many_one","0","direct_first","1","ak04et12","1","24","1","1","3","1","","0","1","0","13782.100000185892","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","95012","0.0-3.0","3vfjglht24","many_one","0","direct_first","1","ak04et12","1","24","1","1","3","1","","0","1","0","50762.03000009991","","{""codeword_enter"":""ak04et12""}","","","","","","","","","","","",""
"","survey-html-form","4","111557","0.0-4.0","3vfjglht24","many_one","0","direct_first","1","ak04et12","1","24","1","1","3","1","","0","1","0","16539.094999898225","","{""age"":""24"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","113120","0.0-5.0","3vfjglht24","many_one","0","direct_first","1","ak04et12","1","24","1","1","3","1","","0","1","0","1559.7149999812245","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","117137","0.0-6.0-0.0-0.0","3vfjglht24","many_one","0","direct_first","1","ak04et12","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5700.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS3.png","","","","",""
"","html-keyboard-response","7","119658","0.0-6.0-0.0-0.1","3vfjglht24","many_one","0","direct_first","1","ak04et12","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","8","122173","0.0-6.0-0.0-0.2","3vfjglht24","many_one","0","direct_first","1","ak04et12","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8350.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","9","124696","0.0-6.0-0.0-0.3","3vfjglht24","many_one","0","direct_first","1","ak04et12","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1710.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","10","127222","0.0-6.0-0.0-0.4","3vfjglht24","many_one","0","direct_first","1","ak04et12","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/8485.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","11","129741","0.0-6.0-0.0-0.5","3vfjglht24","many_one","0","direct_first","1","ak04et12","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","12","132264","0.0-6.0-0.0-0.6","3vfjglht24","many_one","0","direct_first","1","ak04et12","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","13","134790","0.0-6.0-0.0-0.7","3vfjglht24","many_one","0","direct_first","1","ak04et12","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9180.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","14","137297","0.0-6.0-0.0-0.8","3vfjglht24","many_one","0","direct_first","1","ak04et12","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9415.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","15","139810","0.0-6.0-0.0-0.9","3vfjglht24","many_one","0","direct_first","1","ak04et12","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9041.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","16","142340","0.0-6.0-0.0-0.10","3vfjglht24","many_one","0","direct_first","1","ak04et12","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/4599.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","17","144860","0.0-6.0-0.0-0.11","3vfjglht24","many_one","0","direct_first","1","ak04et12","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","18","147383","0.0-6.0-0.0-0.12","3vfjglht24","many_one","0","direct_first","1","ak04et12","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2150.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","19","149923","0.0-6.0-0.0-0.13","3vfjglht24","many_one","0","direct_first","1","ak04et12","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
