"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","6343","0.0-0.0","4dg21jcf26","many_one","0","direct_first","1","CH08RD30","0","23","1","1","1","1","Mir ist bei den Paaren von Bildern und chinesischen Zeichen ziemlich schnell aufgefallen, welche Komponente der Zeichen mit welcher Art von Bildern gekoppelt sind (Bei meiner Condition z.B.: Baum-Radikal = positiv). Ich habe keine Erfahrung mit der chinesischen Sprache, jedoch mit der Japanischen, wo auch die Kanji stark auf den chinesischen Zeichen beruhen. Daher viel es mir recht leicht die Radikale mit den Bildern zu verbinden. Aber somit fiel es mir schwer spontan zu antworten, wenn nach meinem Empfinden gefragt wurde.   
","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","69229","0.0-1.0","4dg21jcf26","many_one","0","direct_first","1","CH08RD30","0","23","1","1","1","1","Mir ist bei den Paaren von Bildern und chinesischen Zeichen ziemlich schnell aufgefallen, welche Komponente der Zeichen mit welcher Art von Bildern gekoppelt sind (Bei meiner Condition z.B.: Baum-Radikal = positiv). Ich habe keine Erfahrung mit der chinesischen Sprache, jedoch mit der Japanischen, wo auch die Kanji stark auf den chinesischen Zeichen beruhen. Daher viel es mir recht leicht die Radikale mit den Bildern zu verbinden. Aber somit fiel es mir schwer spontan zu antworten, wenn nach meinem Empfinden gefragt wurde.   
","0","1","0","62767","text/information.html","","","","","","","","","","","","",""
"","external-html","2","76250","0.0-2.0","4dg21jcf26","many_one","0","direct_first","1","CH08RD30","0","23","1","1","1","1","Mir ist bei den Paaren von Bildern und chinesischen Zeichen ziemlich schnell aufgefallen, welche Komponente der Zeichen mit welcher Art von Bildern gekoppelt sind (Bei meiner Condition z.B.: Baum-Radikal = positiv). Ich habe keine Erfahrung mit der chinesischen Sprache, jedoch mit der Japanischen, wo auch die Kanji stark auf den chinesischen Zeichen beruhen. Daher viel es mir recht leicht die Radikale mit den Bildern zu verbinden. Aber somit fiel es mir schwer spontan zu antworten, wenn nach meinem Empfinden gefragt wurde.   
","0","1","0","6823","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","110671","0.0-3.0","4dg21jcf26","many_one","0","direct_first","1","CH08RD30","0","23","1","1","1","1","Mir ist bei den Paaren von Bildern und chinesischen Zeichen ziemlich schnell aufgefallen, welche Komponente der Zeichen mit welcher Art von Bildern gekoppelt sind (Bei meiner Condition z.B.: Baum-Radikal = positiv). Ich habe keine Erfahrung mit der chinesischen Sprache, jedoch mit der Japanischen, wo auch die Kanji stark auf den chinesischen Zeichen beruhen. Daher viel es mir recht leicht die Radikale mit den Bildern zu verbinden. Aber somit fiel es mir schwer spontan zu antworten, wenn nach meinem Empfinden gefragt wurde.   
","0","1","0","34416","","{""codeword_enter"":""CH08RD30""}","","","","","","","","","","","",""
"","survey-html-form","4","142092","0.0-4.0","4dg21jcf26","many_one","0","direct_first","1","CH08RD30","0","23","1","1","1","1","Mir ist bei den Paaren von Bildern und chinesischen Zeichen ziemlich schnell aufgefallen, welche Komponente der Zeichen mit welcher Art von Bildern gekoppelt sind (Bei meiner Condition z.B.: Baum-Radikal = positiv). Ich habe keine Erfahrung mit der chinesischen Sprache, jedoch mit der Japanischen, wo auch die Kanji stark auf den chinesischen Zeichen beruhen. Daher viel es mir recht leicht die Radikale mit den Bildern zu verbinden. Aber somit fiel es mir schwer spontan zu antworten, wenn nach meinem Empfinden gefragt wurde.   
","0","1","0","31415","","{""age"":""23"",""education"":""1"",""subject"":""1"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","161864","0.0-5.0","4dg21jcf26","many_one","0","direct_first","1","CH08RD30","0","23","1","1","1","1","Mir ist bei den Paaren von Bildern und chinesischen Zeichen ziemlich schnell aufgefallen, welche Komponente der Zeichen mit welcher Art von Bildern gekoppelt sind (Bei meiner Condition z.B.: Baum-Radikal = positiv). Ich habe keine Erfahrung mit der chinesischen Sprache, jedoch mit der Japanischen, wo auch die Kanji stark auf den chinesischen Zeichen beruhen. Daher viel es mir recht leicht die Radikale mit den Bildern zu verbinden. Aber somit fiel es mir schwer spontan zu antworten, wenn nach meinem Empfinden gefragt wurde.   
","0","1","0","19767","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","165885","0.0-6.0-0.0-0.0","4dg21jcf26","many_one","0","direct_first","1","CH08RD30","0","23","1","1","1","1","Mir ist bei den Paaren von Bildern und chinesischen Zeichen ziemlich schnell aufgefallen, welche Komponente der Zeichen mit welcher Art von Bildern gekoppelt sind (Bei meiner Condition z.B.: Baum-Radikal = positiv). Ich habe keine Erfahrung mit der chinesischen Sprache, jedoch mit der Japanischen, wo auch die Kanji stark auf den chinesischen Zeichen beruhen. Daher viel es mir recht leicht die Radikale mit den Bildern zu verbinden. Aber somit fiel es mir schwer spontan zu antworten, wenn nach meinem Empfinden gefragt wurde.   
","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9000.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","7","168413","0.0-6.0-0.0-0.1","4dg21jcf26","many_one","0","direct_first","1","CH08RD30","0","23","1","1","1","1","Mir ist bei den Paaren von Bildern und chinesischen Zeichen ziemlich schnell aufgefallen, welche Komponente der Zeichen mit welcher Art von Bildern gekoppelt sind (Bei meiner Condition z.B.: Baum-Radikal = positiv). Ich habe keine Erfahrung mit der chinesischen Sprache, jedoch mit der Japanischen, wo auch die Kanji stark auf den chinesischen Zeichen beruhen. Daher viel es mir recht leicht die Radikale mit den Bildern zu verbinden. Aber somit fiel es mir schwer spontan zu antworten, wenn nach meinem Empfinden gefragt wurde.   
","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2205.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","8","170943","0.0-6.0-0.0-0.2","4dg21jcf26","many_one","0","direct_first","1","CH08RD30","0","23","1","1","1","1","Mir ist bei den Paaren von Bildern und chinesischen Zeichen ziemlich schnell aufgefallen, welche Komponente der Zeichen mit welcher Art von Bildern gekoppelt sind (Bei meiner Condition z.B.: Baum-Radikal = positiv). Ich habe keine Erfahrung mit der chinesischen Sprache, jedoch mit der Japanischen, wo auch die Kanji stark auf den chinesischen Zeichen beruhen. Daher viel es mir recht leicht die Radikale mit den Bildern zu verbinden. Aber somit fiel es mir schwer spontan zu antworten, wenn nach meinem Empfinden gefragt wurde.   
","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2040.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","9","173473","0.0-6.0-0.0-0.3","4dg21jcf26","many_one","0","direct_first","1","CH08RD30","0","23","1","1","1","1","Mir ist bei den Paaren von Bildern und chinesischen Zeichen ziemlich schnell aufgefallen, welche Komponente der Zeichen mit welcher Art von Bildern gekoppelt sind (Bei meiner Condition z.B.: Baum-Radikal = positiv). Ich habe keine Erfahrung mit der chinesischen Sprache, jedoch mit der Japanischen, wo auch die Kanji stark auf den chinesischen Zeichen beruhen. Daher viel es mir recht leicht die Radikale mit den Bildern zu verbinden. Aber somit fiel es mir schwer spontan zu antworten, wenn nach meinem Empfinden gefragt wurde.   
","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS4.png","","","","",""
