"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","29383","0.0-0.0","4ep2ondcw3","one_one","1","indirect_first","0","nz06ch20","0","19","1","1","3","1","einfache Zeichen = angenehme Zeichen","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","51505","0.0-1.0","4ep2ondcw3","one_one","1","indirect_first","0","nz06ch20","0","19","1","1","3","1","einfache Zeichen = angenehme Zeichen","0","1","0","22043","text/information.html","","","","","","","","","","","","",""
"","external-html","2","58243","0.0-2.0","4ep2ondcw3","one_one","1","indirect_first","0","nz06ch20","0","19","1","1","3","1","einfache Zeichen = angenehme Zeichen","0","1","0","6409","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","97388","0.0-3.0","4ep2ondcw3","one_one","1","indirect_first","0","nz06ch20","0","19","1","1","3","1","einfache Zeichen = angenehme Zeichen","0","1","0","39144","","{""codeword_enter"":""nz06ch20""}","","","","","","","","","","","",""
"","survey-html-form","4","113947","0.0-4.0","4ep2ondcw3","one_one","1","indirect_first","0","nz06ch20","0","19","1","1","3","1","einfache Zeichen = angenehme Zeichen","0","1","0","16557","","{""age"":""19"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","121403","0.0-5.0","4ep2ondcw3","one_one","1","indirect_first","0","nz06ch20","0","19","1","1","3","1","einfache Zeichen = angenehme Zeichen","0","1","0","7453","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","125443","0.0-6.0-0.0-0.0","4ep2ondcw3","one_one","1","indirect_first","0","nz06ch20","0","19","1","1","3","1","einfache Zeichen = angenehme Zeichen","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","7","127963","0.0-6.0-0.0-0.1","4ep2ondcw3","one_one","1","indirect_first","0","nz06ch20","0","19","1","1","3","1","einfache Zeichen = angenehme Zeichen","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5831.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","8","130498","0.0-6.0-0.0-0.2","4ep2ondcw3","one_one","1","indirect_first","0","nz06ch20","0","19","1","1","3","1","einfache Zeichen = angenehme Zeichen","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","9","133008","0.0-6.0-0.0-0.3","4ep2ondcw3","one_one","1","indirect_first","0","nz06ch20","0","19","1","1","3","1","einfache Zeichen = angenehme Zeichen","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","10","135531","0.0-6.0-0.0-0.4","4ep2ondcw3","one_one","1","indirect_first","0","nz06ch20","0","19","1","1","3","1","einfache Zeichen = angenehme Zeichen","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","11","138047","0.0-6.0-0.0-0.5","4ep2ondcw3","one_one","1","indirect_first","0","nz06ch20","0","19","1","1","3","1","einfache Zeichen = angenehme Zeichen","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5831.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","12","140554","0.0-6.0-0.0-0.6","4ep2ondcw3","one_one","1","indirect_first","0","nz06ch20","0","19","1","1","3","1","einfache Zeichen = angenehme Zeichen","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","13","143064","0.0-6.0-0.0-0.7","4ep2ondcw3","one_one","1","indirect_first","0","nz06ch20","0","19","1","1","3","1","einfache Zeichen = angenehme Zeichen","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","14","145583","0.0-6.0-0.0-0.8","4ep2ondcw3","one_one","1","indirect_first","0","nz06ch20","0","19","1","1","3","1","einfache Zeichen = angenehme Zeichen","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5831.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","15","148113","0.0-6.0-0.0-0.9","4ep2ondcw3","one_one","1","indirect_first","0","nz06ch20","0","19","1","1","3","1","einfache Zeichen = angenehme Zeichen","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
