"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","307753","0.0-0.0","4l4yq4n0oe","one_one","1","direct_first","1","ÖB08RT30","0","23","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","335806","0.0-1.0","4l4yq4n0oe","one_one","1","direct_first","1","ÖB08RT30","0","23","1","1","3","1","","0","1","0","27703.4549999953","text/information.html","","","","","","","","","","","","",""
"","external-html","2","351453","0.0-2.0","4l4yq4n0oe","one_one","1","direct_first","1","ÖB08RT30","0","23","1","1","3","1","","0","1","0","15523.170000000391","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","384968","0.0-3.0","4l4yq4n0oe","one_one","1","direct_first","1","ÖB08RT30","0","23","1","1","3","1","","0","1","0","33508.34499999473","","{""codeword_enter"":""ÖB08RT30""}","","","","","","","","","","","",""
"","survey-html-form","4","402211","0.0-4.0","4l4yq4n0oe","one_one","1","direct_first","1","ÖB08RT30","0","23","1","1","3","1","","0","1","0","17239.36500000127","","{""age"":""23"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","417395","0.0-5.0","4l4yq4n0oe","one_one","1","direct_first","1","ÖB08RT30","0","23","1","1","3","1","","0","1","0","15181.010000000242","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","421413","0.0-6.0-0.0-0.0","4l4yq4n0oe","one_one","1","direct_first","1","ÖB08RT30","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/4599.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","7","423916","0.0-6.0-0.0-0.1","4l4yq4n0oe","one_one","1","direct_first","1","ÖB08RT30","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","8","426432","0.0-6.0-0.0-0.2","4l4yq4n0oe","one_one","1","direct_first","1","ÖB08RT30","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8461.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","9","428942","0.0-6.0-0.0-0.3","4l4yq4n0oe","one_one","1","direct_first","1","ÖB08RT30","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3160.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","10","431465","0.0-6.0-0.0-0.4","4l4yq4n0oe","one_one","1","direct_first","1","ÖB08RT30","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8461.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
