"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","3323","0.0-0.0","56k89e4p6w","many_one","0","direct_first","1","an06ex11","0","24","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","18703","0.0-1.0","56k89e4p6w","many_one","0","direct_first","1","an06ex11","0","24","1","1","3","1","","0","1","0","15342.104999996081","text/information.html","","","","","","","","","","","","",""
"","external-html","2","31088","0.0-2.0","56k89e4p6w","many_one","0","direct_first","1","an06ex11","0","24","1","1","3","1","","0","1","0","12327.140000001236","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","66216","0.0-3.0","56k89e4p6w","many_one","0","direct_first","1","an06ex11","0","24","1","1","3","1","","0","1","0","35125.5949999977","","{""codeword_enter"":""an06ex11""}","","","","","","","","","","","",""
"","survey-html-form","4","81126","0.0-4.0","56k89e4p6w","many_one","0","direct_first","1","an06ex11","0","24","1","1","3","1","","0","1","0","14906.880000002275","","{""age"":""24"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","94215","0.0-5.0","56k89e4p6w","many_one","0","direct_first","1","an06ex11","0","24","1","1","3","1","","0","1","0","13087.200000001758","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","98224","0.0-6.0-0.0-0.0","56k89e4p6w","many_one","0","direct_first","1","an06ex11","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2900.2.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","7","100734","0.0-6.0-0.0-0.1","56k89e4p6w","many_one","0","direct_first","1","an06ex11","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","8","103246","0.0-6.0-0.0-0.2","56k89e4p6w","many_one","0","direct_first","1","an06ex11","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1463.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS5.png","","","","",""
"","html-keyboard-response","9","105754","0.0-6.0-0.0-0.3","56k89e4p6w","many_one","0","direct_first","1","an06ex11","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","10","108263","0.0-6.0-0.0-0.4","56k89e4p6w","many_one","0","direct_first","1","an06ex11","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/8485.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","11","110775","0.0-6.0-0.0-0.5","56k89e4p6w","many_one","0","direct_first","1","an06ex11","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","12","113288","0.0-6.0-0.0-0.6","56k89e4p6w","many_one","0","direct_first","1","an06ex11","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9415.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS10.png","","","","",""
