"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","15426","0.0-0.0","5m1wbc1kns","one_one","1","indirect_first","0","il07en26","0","27","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","34870","0.0-1.0","5m1wbc1kns","one_one","1","indirect_first","0","il07en26","0","27","1","1","3","1","","0","1","0","19360","text/information.html","","","","","","","","","","","","",""
"","external-html","2","50593","0.0-2.0","5m1wbc1kns","one_one","1","indirect_first","0","il07en26","0","27","1","1","3","1","","0","1","0","15599","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","100819","0.0-3.0","5m1wbc1kns","one_one","1","indirect_first","0","il07en26","0","27","1","1","3","1","","0","1","0","50218","","{""codeword_enter"":""il07en26""}","","","","","","","","","","","",""
"","survey-html-form","4","123963","0.0-4.0","5m1wbc1kns","one_one","1","indirect_first","0","il07en26","0","27","1","1","3","1","","0","1","0","23136","","{""age"":""27"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","144120","0.0-5.0","5m1wbc1kns","one_one","1","indirect_first","0","il07en26","0","27","1","1","3","1","","0","1","0","20154","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","148158","0.0-6.0-0.0-0.0","5m1wbc1kns","one_one","1","indirect_first","0","il07en26","0","27","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","7","150696","0.0-6.0-0.0-0.1","5m1wbc1kns","one_one","1","indirect_first","0","il07en26","0","27","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/8485.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","8","153216","0.0-6.0-0.0-0.2","5m1wbc1kns","one_one","1","indirect_first","0","il07en26","0","27","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","9","155736","0.0-6.0-0.0-0.3","5m1wbc1kns","one_one","1","indirect_first","0","il07en26","0","27","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2900.2.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS1.png","","","","",""
