"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","8012","0.0-0.0","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","12307","0.0-1.0","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","4258","text/information.html","","","","","","","","","","","","",""
"","external-html","2","52901","0.0-2.0","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","40559","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","123718","0.0-3.0","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","70814","","{""codeword_enter"":""er05if08""}","","","","","","","","","","","",""
"","survey-html-form","4","145703","0.0-4.0","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","21983","","{""age"":""38"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","148513","0.0-5.0","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","2806","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","152518","0.0-6.0-0.0-0.0","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2040.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","7","155023","0.0-6.0-0.0-0.1","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9520.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","8","157531","0.0-6.0-0.0-0.2","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","9","160035","0.0-6.0-0.0-0.3","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2040.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","10","162539","0.0-6.0-0.0-0.4","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","11","165042","0.0-6.0-0.0-0.5","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2040.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","12","167545","0.0-6.0-0.0-0.6","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9520.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","13","170049","0.0-6.0-0.0-0.7","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","14","172553","0.0-6.0-0.0-0.8","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","15","175057","0.0-6.0-0.0-0.9","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9520.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","16","177561","0.0-6.0-0.0-0.10","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1340.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","17","180064","0.0-6.0-0.0-0.11","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","18","182568","0.0-6.0-0.0-0.12","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9520.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","19","185072","0.0-6.0-0.0-0.13","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","20","187576","0.0-6.0-0.0-0.14","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2040.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","21","190082","0.0-6.0-0.0-0.15","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","22","192586","0.0-6.0-0.0-0.16","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9520.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","23","195090","0.0-6.0-0.0-0.17","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1340.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","24","197594","0.0-6.0-0.0-0.18","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","25","200096","0.0-6.0-0.0-0.19","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2040.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","survey-html-form","26","214120","0.0-6.0-1.0","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","13520.99999999997","","{}","","","","","","","","","","","",""
"","html-keyboard-response","27","218124","0.0-6.0-2.0-0.0","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","28","220628","0.0-6.0-2.0-0.1","659u5pb0vr","one_one","1","direct_first","1","er05if08","1","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9520.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS3.png","","","","",""
