"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","7080","0.0-0.0","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","18211","0.0-1.0","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","11093","text/information.html","","","","","","","","","","","","",""
"","external-html","2","29435","0.0-2.0","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","11163","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","78892","0.0-3.0","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","49449","","{""codeword_enter"":""CH06LD04""}","","","","","","","","","","","",""
"","survey-html-form","4","105670","0.0-4.0","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","26773","","{""age"":""25"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","122805","0.0-5.0","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","17133","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","126811","0.0-6.0-0.0-0.0","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","7","129315","0.0-6.0-0.0-0.1","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8490.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS5.png","","","","",""
"","html-keyboard-response","8","131821","0.0-6.0-0.0-0.2","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9330.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","9","134325","0.0-6.0-0.0-0.3","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2530.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","10","136829","0.0-6.0-0.0-0.4","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS3.png","","","","",""
"","html-keyboard-response","11","139333","0.0-6.0-0.0-0.5","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9041.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","12","141836","0.0-6.0-0.0-0.6","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","13","144340","0.0-6.0-0.0-0.7","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5831.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","14","146844","0.0-6.0-0.0-0.8","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9920.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","15","149351","0.0-6.0-0.0-0.9","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2341.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","16","151855","0.0-6.0-0.0-0.10","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","17","154358","0.0-6.0-0.0-0.11","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2165.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","18","156862","0.0-6.0-0.0-0.12","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3300.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","19","159366","0.0-6.0-0.0-0.13","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2205.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","20","161870","0.0-6.0-0.0-0.14","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9182.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","21","164374","0.0-6.0-0.0-0.15","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","22","166878","0.0-6.0-0.0-0.16","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3181.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","23","169381","0.0-6.0-0.0-0.17","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9520.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","24","171885","0.0-6.0-0.0-0.18","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8080.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","25","174393","0.0-6.0-0.0-0.19","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/7580.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS8.png","","","","",""
"","survey-html-form","26","181196","0.0-6.0-1.0","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","6301.000000000029","","{}","","","","","","","","","","","",""
"","html-keyboard-response","27","185200","0.0-6.0-2.0-0.0","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","28","187704","0.0-6.0-2.0-0.1","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9520.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","29","190207","0.0-6.0-2.0-0.2","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5831.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","30","192713","0.0-6.0-2.0-0.3","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","31","195217","0.0-6.0-2.0-0.4","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2341.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","32","197721","0.0-6.0-2.0-0.5","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9041.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","33","200225","0.0-6.0-2.0-0.6","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2165.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","34","202730","0.0-6.0-2.0-0.7","68jqpf555d","many_one","0","indirect_first","0","CH06LD04","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3181.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS5.png","","","","",""
