"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","4162","0.0-0.0","6q8ehgwt7z","many_one","0","direct_first","1","er06rl21","1","18","1","1","3","1","Ich hätte es hilfreich gefunden, wenn die Aussprache der Silben nicht nur sichtbar, sondern auch hörbar gewesen wäre.","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","129849","0.0-1.0","6q8ehgwt7z","many_one","0","direct_first","1","er06rl21","1","18","1","1","3","1","Ich hätte es hilfreich gefunden, wenn die Aussprache der Silben nicht nur sichtbar, sondern auch hörbar gewesen wäre.","0","1","0","125648","text/information.html","","","","","","","","","","","","",""
"","external-html","2","184518","0.0-2.0","6q8ehgwt7z","many_one","0","direct_first","1","er06rl21","1","18","1","1","3","1","Ich hätte es hilfreich gefunden, wenn die Aussprache der Silben nicht nur sichtbar, sondern auch hörbar gewesen wäre.","0","1","0","54609","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","367517","0.0-3.0","6q8ehgwt7z","many_one","0","direct_first","1","er06rl21","1","18","1","1","3","1","Ich hätte es hilfreich gefunden, wenn die Aussprache der Silben nicht nur sichtbar, sondern auch hörbar gewesen wäre.","0","1","0","182997","","{""codeword_enter"":""er06rl21""}","","","","","","","","","","","",""
"","survey-html-form","4","396388","0.0-4.0","6q8ehgwt7z","many_one","0","direct_first","1","er06rl21","1","18","1","1","3","1","Ich hätte es hilfreich gefunden, wenn die Aussprache der Silben nicht nur sichtbar, sondern auch hörbar gewesen wäre.","0","1","0","28867","","{""age"":""18"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","407617","0.0-5.0","6q8ehgwt7z","many_one","0","direct_first","1","er06rl21","1","18","1","1","3","1","Ich hätte es hilfreich gefunden, wenn die Aussprache der Silben nicht nur sichtbar, sondern auch hörbar gewesen wäre.","0","1","0","11227","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","411626","0.0-6.0-0.0-0.0","6q8ehgwt7z","many_one","0","direct_first","1","er06rl21","1","18","1","1","3","1","Ich hätte es hilfreich gefunden, wenn die Aussprache der Silben nicht nur sichtbar, sondern auch hörbar gewesen wäre.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9520.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","7","414158","0.0-6.0-0.0-0.1","6q8ehgwt7z","many_one","0","direct_first","1","er06rl21","1","18","1","1","3","1","Ich hätte es hilfreich gefunden, wenn die Aussprache der Silben nicht nur sichtbar, sondern auch hörbar gewesen wäre.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9180.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","8","416680","0.0-6.0-0.0-0.2","6q8ehgwt7z","many_one","0","direct_first","1","er06rl21","1","18","1","1","3","1","Ich hätte es hilfreich gefunden, wenn die Aussprache der Silben nicht nur sichtbar, sondern auch hörbar gewesen wäre.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9041.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","9","419187","0.0-6.0-0.0-0.3","6q8ehgwt7z","many_one","0","direct_first","1","er06rl21","1","18","1","1","3","1","Ich hätte es hilfreich gefunden, wenn die Aussprache der Silben nicht nur sichtbar, sondern auch hörbar gewesen wäre.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS8.png","","","","",""
