"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","710124","0.0-0.0","7ljncbzlhh","one_one","1","direct_first","1","ss06an10","0","20","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","816202","0.0-1.0","7ljncbzlhh","one_one","1","direct_first","1","ss06an10","0","20","1","1","3","1","","0","1","0","105986","text/information.html","","","","","","","","","","","","",""
"","external-html","2","827356","0.0-2.0","7ljncbzlhh","one_one","1","direct_first","1","ss06an10","0","20","1","1","3","1","","0","1","0","11066","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","954389","0.0-3.0","7ljncbzlhh","one_one","1","direct_first","1","ss06an10","0","20","1","1","3","1","","0","1","0","127029","","{""codeword_enter"":""ss06an10""}","","","","","","","","","","","",""
"","survey-html-form","4","983157","0.0-4.0","7ljncbzlhh","one_one","1","direct_first","1","ss06an10","0","20","1","1","3","1","","0","1","0","28765","","{""age"":""20"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","1011106","0.0-5.0","7ljncbzlhh","one_one","1","direct_first","1","ss06an10","0","20","1","1","3","1","","0","1","0","27949","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","1015111","0.0-6.0-0.0-0.0","7ljncbzlhh","one_one","1","direct_first","1","ss06an10","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","7","1017616","0.0-6.0-0.0-0.1","7ljncbzlhh","one_one","1","direct_first","1","ss06an10","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1440.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","8","1020127","0.0-6.0-0.0-0.2","7ljncbzlhh","one_one","1","direct_first","1","ss06an10","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","9","1022631","0.0-6.0-0.0-0.3","7ljncbzlhh","one_one","1","direct_first","1","ss06an10","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1440.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","10","1025136","0.0-6.0-0.0-0.4","7ljncbzlhh","one_one","1","direct_first","1","ss06an10","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","11","1027644","0.0-6.0-0.0-0.5","7ljncbzlhh","one_one","1","direct_first","1","ss06an10","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9415.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","12","1030154","0.0-6.0-0.0-0.6","7ljncbzlhh","one_one","1","direct_first","1","ss06an10","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1440.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","13","1032665","0.0-6.0-0.0-0.7","7ljncbzlhh","one_one","1","direct_first","1","ss06an10","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9220.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","14","1035175","0.0-6.0-0.0-0.8","7ljncbzlhh","one_one","1","direct_first","1","ss06an10","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9415.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","15","1037686","0.0-6.0-0.0-0.9","7ljncbzlhh","one_one","1","direct_first","1","ss06an10","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","16","1040198","0.0-6.0-0.0-0.10","7ljncbzlhh","one_one","1","direct_first","1","ss06an10","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9415.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","17","1042702","0.0-6.0-0.0-0.11","7ljncbzlhh","one_one","1","direct_first","1","ss06an10","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9220.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","18","1045207","0.0-6.0-0.0-0.12","7ljncbzlhh","one_one","1","direct_first","1","ss06an10","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9415.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","19","1047710","0.0-6.0-0.0-0.13","7ljncbzlhh","one_one","1","direct_first","1","ss06an10","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9220.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","20","1050222","0.0-6.0-0.0-0.14","7ljncbzlhh","one_one","1","direct_first","1","ss06an10","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","21","1052732","0.0-6.0-0.0-0.15","7ljncbzlhh","one_one","1","direct_first","1","ss06an10","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1440.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","22","1055241","0.0-6.0-0.0-0.16","7ljncbzlhh","one_one","1","direct_first","1","ss06an10","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9415.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","23","1057746","0.0-6.0-0.0-0.17","7ljncbzlhh","one_one","1","direct_first","1","ss06an10","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9220.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","24","1060248","0.0-6.0-0.0-0.18","7ljncbzlhh","one_one","1","direct_first","1","ss06an10","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1440.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","25","1062752","0.0-6.0-0.0-0.19","7ljncbzlhh","one_one","1","direct_first","1","ss06an10","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9220.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
"","survey-html-form","26","1071143","0.0-6.0-1.0","7ljncbzlhh","one_one","1","direct_first","1","ss06an10","0","20","1","1","3","1","","0","1","0","7889","","{}","","","","","","","","","","","",""
