"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","4470","0.0-0.0","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","","","","","","","","","","","","","","",""
"","external-html","1","30226","0.0-1.0","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","25530.55999999924","text/information.html","","","","","","","","","","","","",""
"","external-html","2","62724","0.0-2.0","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","32074.250000005122","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","80010","0.0-3.0","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","17278.96499999042","","{""codeword_enter"":""slsb17W3""}","","","","","","","","","","","",""
"","survey-html-form","4","112484","0.0-4.0","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","32471.615000002203","","{""age"":""20"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","122203","0.0-5.0","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","9715.595000001485","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","126226","0.0-6.0-0.0-0.0","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","7","128742","0.0-6.0-0.0-0.1","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","8","131259","0.0-6.0-0.0-0.2","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","9","133771","0.0-6.0-0.0-0.3","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","10","136293","0.0-6.0-0.0-0.4","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8350.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","11","138808","0.0-6.0-0.0-0.5","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","12","141313","0.0-6.0-0.0-0.6","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","13","143829","0.0-6.0-0.0-0.7","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9182.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","14","146342","0.0-6.0-0.0-0.8","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9342.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","15","148856","0.0-6.0-0.0-0.9","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9584.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","16","151365","0.0-6.0-0.0-0.10","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/7325.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","17","153877","0.0-6.0-0.0-0.11","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2150.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","18","156384","0.0-6.0-0.0-0.12","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","19","158902","0.0-6.0-0.0-0.13","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6212.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","20","161415","0.0-6.0-0.0-0.14","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2160.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","21","163926","0.0-6.0-0.0-0.15","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2341.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","22","166445","0.0-6.0-0.0-0.16","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3160.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","23","168961","0.0-6.0-0.0-0.17","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","24","171480","0.0-6.0-0.0-0.18","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9520.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","25","173991","0.0-6.0-0.0-0.19","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1463.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS10.png","","","","",""
"","survey-html-form","26","177406","0.0-6.0-1.0","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","2912.575000009383","","{}","","","","","","","","","","","",""
"","html-keyboard-response","27","181415","0.0-6.0-2.0-0.0","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","28","183922","0.0-6.0-2.0-0.1","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9520.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","29","186429","0.0-6.0-2.0-0.2","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2160.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","30","188935","0.0-6.0-2.0-0.3","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","31","191449","0.0-6.0-2.0-0.4","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","32","193963","0.0-6.0-2.0-0.5","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2150.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","33","196476","0.0-6.0-2.0-0.6","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6212.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","34","198998","0.0-6.0-2.0-0.7","8hm2c2gukk","many_one","0","direct_first","1","slsb17W3","0","20","1","1","3","1","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
