"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","3761","0.0-0.0","9k8axbesz8","one_one","1","direct_first","1","er06ge10","0","27","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","63898","0.0-1.0","9k8axbesz8","one_one","1","direct_first","1","er06ge10","0","27","1","1","3","1","","0","1","0","60076","text/information.html","","","","","","","","","","","","",""
"","external-html","2","101455","0.0-2.0","9k8axbesz8","one_one","1","direct_first","1","er06ge10","0","27","1","1","3","1","","0","1","0","37442","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","147828","0.0-3.0","9k8axbesz8","one_one","1","direct_first","1","er06ge10","0","27","1","1","3","1","","0","1","0","46364","","{""codeword_enter"":""er06ge10""}","","","","","","","","","","","",""
"","survey-html-form","4","170018","0.0-4.0","9k8axbesz8","one_one","1","direct_first","1","er06ge10","0","27","1","1","3","1","","0","1","0","22182","","{""age"":""27"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","182296","0.0-5.0","9k8axbesz8","one_one","1","direct_first","1","er06ge10","0","27","1","1","3","1","","0","1","0","12275","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","186305","0.0-6.0-0.0-0.0","9k8axbesz8","one_one","1","direct_first","1","er06ge10","0","27","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9342.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","7","188809","0.0-6.0-0.0-0.1","9k8axbesz8","one_one","1","direct_first","1","er06ge10","0","27","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","8","191313","0.0-6.0-0.0-0.2","9k8axbesz8","one_one","1","direct_first","1","er06ge10","0","27","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2165.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","9","193816","0.0-6.0-0.0-0.3","9k8axbesz8","one_one","1","direct_first","1","er06ge10","0","27","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9342.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS8.png","","","","",""
