"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","5239","0.0-0.0","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","32313","0.0-1.0","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","26990.36499997601","text/information.html","","","","","","","","","","","","",""
"","external-html","2","51739","0.0-2.0","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","19364.33000024408","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","95713","0.0-3.0","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","43968.88000005856","","{""codeword_enter"":""lt06no05""}","","","","","","","","","","","",""
"","survey-html-form","4","119530","0.0-4.0","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","23803.234999999404","","{""age"":""21"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","127685","0.0-5.0","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","8149.445000104606","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","131703","0.0-6.0-0.0-0.0","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5830.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","7","134223","0.0-6.0-0.0-0.1","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6570.1.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","8","136728","0.0-6.0-0.0-0.2","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS3.png","","","","",""
"","html-keyboard-response","9","139234","0.0-6.0-0.0-0.3","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/4625.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","10","141742","0.0-6.0-0.0-0.4","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5700.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","11","144248","0.0-6.0-0.0-0.5","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2058.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","12","146763","0.0-6.0-0.0-0.6","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","13","149272","0.0-6.0-0.0-0.7","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6838.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","14","151792","0.0-6.0-0.0-0.8","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/8485.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","15","154303","0.0-6.0-0.0-0.9","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8190.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","16","156816","0.0-6.0-0.0-0.10","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","17","159322","0.0-6.0-0.0-0.11","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","18","161828","0.0-6.0-0.0-0.12","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","19","164342","0.0-6.0-0.0-0.13","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3300.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS5.png","","","","",""
"","html-keyboard-response","20","166847","0.0-6.0-0.0-0.14","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1710.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","21","169357","0.0-6.0-0.0-0.15","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","22","171872","0.0-6.0-0.0-0.16","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2341.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","23","174378","0.0-6.0-0.0-0.17","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9584.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","24","176883","0.0-6.0-0.0-0.18","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","25","179393","0.0-6.0-0.0-0.19","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9920.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS4.png","","","","",""
"","survey-html-form","26","183255","0.0-6.0-1.0","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","3359.259999822825","","{}","","","","","","","","","","","",""
"","html-keyboard-response","27","187268","0.0-6.0-2.0-0.0","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8190.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","28","189782","0.0-6.0-2.0-0.1","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/4625.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","29","192293","0.0-6.0-2.0-0.2","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","30","194797","0.0-6.0-2.0-0.3","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS3.png","","","","",""
"","html-keyboard-response","31","197303","0.0-6.0-2.0-0.4","9nay5s46ya","many_one","0","direct_first","1","lt06no05","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9584.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS6.png","","","","",""
