"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","4740","0.0-0.0","9oyt0u1h1a","one_one","1","direct_first","1","ll09af28","0","21","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","9994","0.0-1.0","9oyt0u1h1a","one_one","1","direct_first","1","ll09af28","0","21","1","1","3","1","","0","1","0","5201.020000036806","text/information.html","","","","","","","","","","","","",""
"","external-html","2","21537","0.0-2.0","9oyt0u1h1a","one_one","1","direct_first","1","ll09af28","0","21","1","1","3","1","","0","1","0","11490.0899999775","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","63833","0.0-3.0","9oyt0u1h1a","one_one","1","direct_first","1","ll09af28","0","21","1","1","3","1","","0","1","0","42290.92499986291","","{""codeword_enter"":""ll09af28""}","","","","","","","","","","","",""
"","survey-html-form","4","84349","0.0-4.0","9oyt0u1h1a","one_one","1","direct_first","1","ll09af28","0","21","1","1","3","1","","0","1","0","20508.72000027448","","{""age"":""21"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","87012","0.0-5.0","9oyt0u1h1a","one_one","1","direct_first","1","ll09af28","0","21","1","1","3","1","","0","1","0","2659.264999907464","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","91024","0.0-6.0-0.0-0.0","9oyt0u1h1a","one_one","1","direct_first","1","ll09af28","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS5.png","","","","",""
"","html-keyboard-response","7","93543","0.0-6.0-0.0-0.1","9oyt0u1h1a","one_one","1","direct_first","1","ll09af28","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","8","96063","0.0-6.0-0.0-0.2","9oyt0u1h1a","one_one","1","direct_first","1","ll09af28","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS5.png","","","","",""
"","html-keyboard-response","9","98589","0.0-6.0-0.0-0.3","9oyt0u1h1a","one_one","1","direct_first","1","ll09af28","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","10","101109","0.0-6.0-0.0-0.4","9oyt0u1h1a","one_one","1","direct_first","1","ll09af28","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","11","103640","0.0-6.0-0.0-0.5","9oyt0u1h1a","one_one","1","direct_first","1","ll09af28","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","12","106166","0.0-6.0-0.0-0.6","9oyt0u1h1a","one_one","1","direct_first","1","ll09af28","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","13","108689","0.0-6.0-0.0-0.7","9oyt0u1h1a","one_one","1","direct_first","1","ll09af28","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS5.png","","","","",""
"","html-keyboard-response","14","111210","0.0-6.0-0.0-0.8","9oyt0u1h1a","one_one","1","direct_first","1","ll09af28","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","15","113721","0.0-6.0-0.0-0.9","9oyt0u1h1a","one_one","1","direct_first","1","ll09af28","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","16","116242","0.0-6.0-0.0-0.10","9oyt0u1h1a","one_one","1","direct_first","1","ll09af28","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","17","118748","0.0-6.0-0.0-0.11","9oyt0u1h1a","one_one","1","direct_first","1","ll09af28","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","18","121265","0.0-6.0-0.0-0.12","9oyt0u1h1a","one_one","1","direct_first","1","ll09af28","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS10.png","","","","",""
