"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","1091018","0.0-0.0","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","1131214","0.0-1.0","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","39744","text/information.html","","","","","","","","","","","","",""
"","external-html","2","1150598","0.0-2.0","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","19085","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","1227458","0.0-3.0","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","76856","","{""codeword_enter"":""er07es16""}","","","","","","","","","","","",""
"","survey-html-form","4","1256135","0.0-4.0","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","28669","","{""age"":""22"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","1267309","0.0-5.0","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","11170","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","1271337","0.0-6.0-0.0-0.0","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9920.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","7","1273880","0.0-6.0-0.0-0.1","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","8","1276418","0.0-6.0-0.0-0.2","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9180.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","9","1278958","0.0-6.0-0.0-0.3","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","10","1281499","0.0-6.0-0.0-0.4","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/7580.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","11","1284028","0.0-6.0-0.0-0.5","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","12","1286568","0.0-6.0-0.0-0.6","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1463.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","13","1289099","0.0-6.0-0.0-0.7","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","14","1291638","0.0-6.0-0.0-0.8","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1440.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","15","1294179","0.0-6.0-0.0-0.9","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9830.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS5.png","","","","",""
"","html-keyboard-response","16","1296719","0.0-6.0-0.0-0.10","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/4599.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","17","1299248","0.0-6.0-0.0-0.11","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5621.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","18","1301788","0.0-6.0-0.0-0.12","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6212.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","19","1304328","0.0-6.0-0.0-0.13","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2058.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","20","1306868","0.0-6.0-0.0-0.14","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","21","1309399","0.0-6.0-0.0-0.15","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/1280.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","22","1311938","0.0-6.0-0.0-0.16","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3181.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","23","1314478","0.0-6.0-0.0-0.17","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9520.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","24","1317018","0.0-6.0-0.0-0.18","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5831.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","25","1319558","0.0-6.0-0.0-0.19","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9342.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS8.png","","","","",""
"","survey-html-form","26","1372546","0.0-6.0-1.0","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","52467","","{}","","","","","","","","","","","",""
"","html-keyboard-response","27","1376568","0.0-6.0-2.0-0.0","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","28","1379107","0.0-6.0-2.0-0.1","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6212.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","29","1381648","0.0-6.0-2.0-0.2","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5621.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","30","1384177","0.0-6.0-2.0-0.3","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3181.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","31","1386717","0.0-6.0-2.0-0.4","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","32","1389251","0.0-6.0-2.0-0.5","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1440.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","33","1391786","0.0-6.0-2.0-0.6","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9520.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","34","1394326","0.0-6.0-2.0-0.7","aplzn2l594","many_one","0","indirect_first","0","er07es16","1","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5831.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS3.png","","","","",""
