"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","52447","0.0-0.0","b1exvcf50o","one_one","1","indirect_first","0","rt06rd12","0","23","1","1","3","1","Ich fand die ganze Umfrage sehr random. Wirkliche Empfindungen gegenüber den Schriftzeichen habe ich gar nicht. Also bin ich mir auch nicht sicher, wie belastbar meine Antworten sind, wenn ich ""gezwungen"" werde, einzustufen, wie ich die Zeichen finde.
In Summe eine sehr komische Umfrage...","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","56756","0.0-1.0","b1exvcf50o","one_one","1","indirect_first","0","rt06rd12","0","23","1","1","3","1","Ich fand die ganze Umfrage sehr random. Wirkliche Empfindungen gegenüber den Schriftzeichen habe ich gar nicht. Also bin ich mir auch nicht sicher, wie belastbar meine Antworten sind, wenn ich ""gezwungen"" werde, einzustufen, wie ich die Zeichen finde.
In Summe eine sehr komische Umfrage...","0","1","0","4193","text/information.html","","","","","","","","","","","","",""
"","external-html","2","75891","0.0-2.0","b1exvcf50o","one_one","1","indirect_first","0","rt06rd12","0","23","1","1","3","1","Ich fand die ganze Umfrage sehr random. Wirkliche Empfindungen gegenüber den Schriftzeichen habe ich gar nicht. Also bin ich mir auch nicht sicher, wie belastbar meine Antworten sind, wenn ich ""gezwungen"" werde, einzustufen, wie ich die Zeichen finde.
In Summe eine sehr komische Umfrage...","0","1","0","19083","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","127603","0.0-3.0","b1exvcf50o","one_one","1","indirect_first","0","rt06rd12","0","23","1","1","3","1","Ich fand die ganze Umfrage sehr random. Wirkliche Empfindungen gegenüber den Schriftzeichen habe ich gar nicht. Also bin ich mir auch nicht sicher, wie belastbar meine Antworten sind, wenn ich ""gezwungen"" werde, einzustufen, wie ich die Zeichen finde.
In Summe eine sehr komische Umfrage...","0","1","0","51708","","{""codeword_enter"":""rt06rd12""}","","","","","","","","","","","",""
"","survey-html-form","4","139782","0.0-4.0","b1exvcf50o","one_one","1","indirect_first","0","rt06rd12","0","23","1","1","3","1","Ich fand die ganze Umfrage sehr random. Wirkliche Empfindungen gegenüber den Schriftzeichen habe ich gar nicht. Also bin ich mir auch nicht sicher, wie belastbar meine Antworten sind, wenn ich ""gezwungen"" werde, einzustufen, wie ich die Zeichen finde.
In Summe eine sehr komische Umfrage...","0","1","0","12174","","{""age"":""23"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","140907","0.0-5.0","b1exvcf50o","one_one","1","indirect_first","0","rt06rd12","0","23","1","1","3","1","Ich fand die ganze Umfrage sehr random. Wirkliche Empfindungen gegenüber den Schriftzeichen habe ich gar nicht. Also bin ich mir auch nicht sicher, wie belastbar meine Antworten sind, wenn ich ""gezwungen"" werde, einzustufen, wie ich die Zeichen finde.
In Summe eine sehr komische Umfrage...","0","1","0","1124","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","144922","0.0-6.0-0.0-0.0","b1exvcf50o","one_one","1","indirect_first","0","rt06rd12","0","23","1","1","3","1","Ich fand die ganze Umfrage sehr random. Wirkliche Empfindungen gegenüber den Schriftzeichen habe ich gar nicht. Also bin ich mir auch nicht sicher, wie belastbar meine Antworten sind, wenn ich ""gezwungen"" werde, einzustufen, wie ich die Zeichen finde.
In Summe eine sehr komische Umfrage...","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9830.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","7","147445","0.0-6.0-0.0-0.1","b1exvcf50o","one_one","1","indirect_first","0","rt06rd12","0","23","1","1","3","1","Ich fand die ganze Umfrage sehr random. Wirkliche Empfindungen gegenüber den Schriftzeichen habe ich gar nicht. Also bin ich mir auch nicht sicher, wie belastbar meine Antworten sind, wenn ich ""gezwungen"" werde, einzustufen, wie ich die Zeichen finde.
In Summe eine sehr komische Umfrage...","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","8","149980","0.0-6.0-0.0-0.2","b1exvcf50o","one_one","1","indirect_first","0","rt06rd12","0","23","1","1","3","1","Ich fand die ganze Umfrage sehr random. Wirkliche Empfindungen gegenüber den Schriftzeichen habe ich gar nicht. Also bin ich mir auch nicht sicher, wie belastbar meine Antworten sind, wenn ich ""gezwungen"" werde, einzustufen, wie ich die Zeichen finde.
In Summe eine sehr komische Umfrage...","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","9","152493","0.0-6.0-0.0-0.3","b1exvcf50o","one_one","1","indirect_first","0","rt06rd12","0","23","1","1","3","1","Ich fand die ganze Umfrage sehr random. Wirkliche Empfindungen gegenüber den Schriftzeichen habe ich gar nicht. Also bin ich mir auch nicht sicher, wie belastbar meine Antworten sind, wenn ich ""gezwungen"" werde, einzustufen, wie ich die Zeichen finde.
In Summe eine sehr komische Umfrage...","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS3.png","","","","",""
