"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","6356","0.0-0.0","b9msj7882x","one_one","1","indirect_first","0","ac06un17","0","19","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","67952","0.0-1.0","b9msj7882x","one_one","1","indirect_first","0","ac06un17","0","19","1","1","3","1","","0","1","0","61561","text/information.html","","","","","","","","","","","","",""
"","external-html","2","86432","0.0-2.0","b9msj7882x","one_one","1","indirect_first","0","ac06un17","0","19","1","1","3","1","","0","1","0","18424","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","147473","0.0-3.0","b9msj7882x","one_one","1","indirect_first","0","ac06un17","0","19","1","1","3","1","","0","1","0","61036","","{""codeword_enter"":""ac06un17""}","","","","","","","","","","","",""
"","survey-html-form","4","165914","0.0-4.0","b9msj7882x","one_one","1","indirect_first","0","ac06un17","0","19","1","1","3","1","","0","1","0","18437","","{""age"":""19"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","173971","0.0-5.0","b9msj7882x","one_one","1","indirect_first","0","ac06un17","0","19","1","1","3","1","","0","1","0","8054","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","177976","0.0-6.0-0.0-0.0","b9msj7882x","one_one","1","indirect_first","0","ac06un17","0","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8490.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","7","180481","0.0-6.0-0.0-0.1","b9msj7882x","one_one","1","indirect_first","0","ac06un17","0","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6212.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","8","182984","0.0-6.0-0.0-0.2","b9msj7882x","one_one","1","indirect_first","0","ac06un17","0","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2341.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","9","185489","0.0-6.0-0.0-0.3","b9msj7882x","one_one","1","indirect_first","0","ac06un17","0","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS5.png","","","","",""
