"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","4900","0.0-0.0","bgz1uj2y37","many_one","0","indirect_first","0","ER05AS01","0","22","1","1","3","1","Ich hatte das Gefühl, dass gerade Linien eher etwas negatives bedeuten und geschwungene Linien etwas positives. ","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","31581","0.0-1.0","bgz1uj2y37","many_one","0","indirect_first","0","ER05AS01","0","22","1","1","3","1","Ich hatte das Gefühl, dass gerade Linien eher etwas negatives bedeuten und geschwungene Linien etwas positives. ","0","1","0","26617.785000009462","text/information.html","","","","","","","","","","","","",""
"","external-html","2","46200","0.0-2.0","bgz1uj2y37","many_one","0","indirect_first","0","ER05AS01","0","22","1","1","3","1","Ich hatte das Gefühl, dass gerade Linien eher etwas negatives bedeuten und geschwungene Linien etwas positives. ","0","1","0","14364.825000055134","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","88414","0.0-3.0","bgz1uj2y37","many_one","0","indirect_first","0","ER05AS01","0","22","1","1","3","1","Ich hatte das Gefühl, dass gerade Linien eher etwas negatives bedeuten und geschwungene Linien etwas positives. ","0","1","0","42195.1649999246","","{""codeword_enter"":""ER05AS01""}","","","","","","","","","","","",""
"","survey-html-form","4","114019","0.0-4.0","bgz1uj2y37","many_one","0","indirect_first","0","ER05AS01","0","22","1","1","3","1","Ich hatte das Gefühl, dass gerade Linien eher etwas negatives bedeuten und geschwungene Linien etwas positives. ","0","1","0","25567.07500014454","","{""age"":""22"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","119236","0.0-5.0","bgz1uj2y37","many_one","0","indirect_first","0","ER05AS01","0","22","1","1","3","1","Ich hatte das Gefühl, dass gerade Linien eher etwas negatives bedeuten und geschwungene Linien etwas positives. ","0","1","0","5201.60000002943","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","123262","0.0-6.0-0.0-0.0","bgz1uj2y37","many_one","0","indirect_first","0","ER05AS01","0","22","1","1","3","1","Ich hatte das Gefühl, dass gerade Linien eher etwas negatives bedeuten und geschwungene Linien etwas positives. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9041.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","7","125799","0.0-6.0-0.0-0.1","bgz1uj2y37","many_one","0","indirect_first","0","ER05AS01","0","22","1","1","3","1","Ich hatte das Gefühl, dass gerade Linien eher etwas negatives bedeuten und geschwungene Linien etwas positives. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","8","128319","0.0-6.0-0.0-0.2","bgz1uj2y37","many_one","0","indirect_first","0","ER05AS01","0","22","1","1","3","1","Ich hatte das Gefühl, dass gerade Linien eher etwas negatives bedeuten und geschwungene Linien etwas positives. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9182.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","9","130843","0.0-6.0-0.0-0.3","bgz1uj2y37","many_one","0","indirect_first","0","ER05AS01","0","22","1","1","3","1","Ich hatte das Gefühl, dass gerade Linien eher etwas negatives bedeuten und geschwungene Linien etwas positives. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9000.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS9.png","","","","",""
