"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","258091","0.0-0.0","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","295732","0.0-1.0","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","37560","text/information.html","","","","","","","","","","","","",""
"","external-html","2","304976","0.0-2.0","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","9169","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","346331","0.0-3.0","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","41348","","{""codeword_enter"":""ke08as27""}","","","","","","","","","","","",""
"","survey-html-form","4","373847","0.0-4.0","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","27506","","{""age"":""31"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","384045","0.0-5.0","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","10193","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","388055","0.0-6.0-0.0-0.0","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9342.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","7","390562","0.0-6.0-0.0-0.1","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2205.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","8","393068","0.0-6.0-0.0-0.2","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","9","395573","0.0-6.0-0.0-0.3","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6570.1.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","10","398079","0.0-6.0-0.0-0.4","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","11","400584","0.0-6.0-0.0-0.5","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2058.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","12","403088","0.0-6.0-0.0-0.6","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9220.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","13","405592","0.0-6.0-0.0-0.7","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","14","408097","0.0-6.0-0.0-0.8","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8490.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS1.png","","","","",""
"","html-keyboard-response","15","410601","0.0-6.0-0.0-0.9","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5621.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","16","413105","0.0-6.0-0.0-0.10","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/7325.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","17","415609","0.0-6.0-0.0-0.11","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2900.2.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","18","418112","0.0-6.0-0.0-0.12","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9404.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","19","420616","0.0-6.0-0.0-0.13","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2530.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","20","423120","0.0-6.0-0.0-0.14","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1340.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","21","425624","0.0-6.0-0.0-0.15","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3160.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","22","428128","0.0-6.0-0.0-0.16","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","23","430632","0.0-6.0-0.0-0.17","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2040.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS5.png","","","","",""
"","html-keyboard-response","24","433135","0.0-6.0-0.0-0.18","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2165.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","25","435640","0.0-6.0-0.0-0.19","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS8.png","","","","",""
"","survey-html-form","26","470543","0.0-6.0-1.0","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","34400","","{}","","","","","","","","","","","",""
"","html-keyboard-response","27","474549","0.0-6.0-2.0-0.0","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","28","477052","0.0-6.0-2.0-0.1","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3160.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","29","479557","0.0-6.0-2.0-0.2","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8490.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS1.png","","","","",""
"","html-keyboard-response","30","482060","0.0-6.0-2.0-0.3","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2058.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","31","484564","0.0-6.0-2.0-0.4","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9220.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","32","487067","0.0-6.0-2.0-0.5","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6570.1.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","33","489571","0.0-6.0-2.0-0.6","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2900.2.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","34","492075","0.0-6.0-2.0-0.7","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2205.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","35","494577","0.0-6.0-2.0-0.8","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","36","497082","0.0-6.0-2.0-0.9","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5621.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","37","499585","0.0-6.0-2.0-0.10","bvoueq1d6z","many_one","0","direct_first","1","ke08as27","0","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS3.png","","","","",""
