"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","9461","0.0-0.0","byh3nmyv68","many_one","0","indirect_first","0","hnulnk09","0","24","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","52325","0.0-1.0","byh3nmyv68","many_one","0","indirect_first","0","hnulnk09","0","24","1","1","3","1","","0","1","0","42835.09499998763","text/information.html","","","","","","","","","","","","",""
"","external-html","2","71054","0.0-2.0","byh3nmyv68","many_one","0","indirect_first","0","hnulnk09","0","24","1","1","3","1","","0","1","0","18679.41500013694","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","114224","0.0-3.0","byh3nmyv68","many_one","0","indirect_first","0","hnulnk09","0","24","1","1","3","1","","0","1","0","43164.11999985576","","{""codeword_enter"":""hnulnk09""}","","","","","","","","","","","",""
"","survey-html-form","4","135287","0.0-4.0","byh3nmyv68","many_one","0","indirect_first","0","hnulnk09","0","24","1","1","3","1","","0","1","0","21059.210000094026","","{""age"":""24"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","141178","0.0-5.0","byh3nmyv68","many_one","0","indirect_first","0","hnulnk09","0","24","1","1","3","1","","0","1","0","5889.384999871254","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","145184","0.0-6.0-0.0-0.0","byh3nmyv68","many_one","0","indirect_first","0","hnulnk09","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","7","147689","0.0-6.0-0.0-0.1","byh3nmyv68","many_one","0","indirect_first","0","hnulnk09","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/1280.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","8","150194","0.0-6.0-0.0-0.2","byh3nmyv68","many_one","0","indirect_first","0","hnulnk09","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2040.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","9","152698","0.0-6.0-0.0-0.3","byh3nmyv68","many_one","0","indirect_first","0","hnulnk09","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5621.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
