"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","4476","0.0-0.0","ch9zvf20wz","many_one","0","direct_first","1","id05us15","0","23","1","1","1","1","Ich fand die Teilnahme schwierig, weil es manchmal so willkürlich war. Ich hatte nie richtig das Gefühl, die Zeichen sind wirklich schlecht oder gut, aber ich musste irgendetwas angeben um weiter machen zu können und habe mich wie ein Betrüger gefühlt etwas anzugeben, wovon ich gerade gar keine Ahnung habe...","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","21681","0.0-1.0","ch9zvf20wz","many_one","0","direct_first","1","id05us15","0","23","1","1","1","1","Ich fand die Teilnahme schwierig, weil es manchmal so willkürlich war. Ich hatte nie richtig das Gefühl, die Zeichen sind wirklich schlecht oder gut, aber ich musste irgendetwas angeben um weiter machen zu können und habe mich wie ein Betrüger gefühlt etwas anzugeben, wovon ich gerade gar keine Ahnung habe...","0","1","0","17151.649999897927","text/information.html","","","","","","","","","","","","",""
"","external-html","2","31432","0.0-2.0","ch9zvf20wz","many_one","0","direct_first","1","id05us15","0","23","1","1","1","1","Ich fand die Teilnahme schwierig, weil es manchmal so willkürlich war. Ich hatte nie richtig das Gefühl, die Zeichen sind wirklich schlecht oder gut, aber ich musste irgendetwas angeben um weiter machen zu können und habe mich wie ein Betrüger gefühlt etwas anzugeben, wovon ich gerade gar keine Ahnung habe...","0","1","0","9587.370000081137","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","71718","0.0-3.0","ch9zvf20wz","many_one","0","direct_first","1","id05us15","0","23","1","1","1","1","Ich fand die Teilnahme schwierig, weil es manchmal so willkürlich war. Ich hatte nie richtig das Gefühl, die Zeichen sind wirklich schlecht oder gut, aber ich musste irgendetwas angeben um weiter machen zu können und habe mich wie ein Betrüger gefühlt etwas anzugeben, wovon ich gerade gar keine Ahnung habe...","0","1","0","40271.44000004046","","{""codeword_enter"":""id05us15""}","","","","","","","","","","","",""
"","survey-html-form","4","96256","0.0-4.0","ch9zvf20wz","many_one","0","direct_first","1","id05us15","0","23","1","1","1","1","Ich fand die Teilnahme schwierig, weil es manchmal so willkürlich war. Ich hatte nie richtig das Gefühl, die Zeichen sind wirklich schlecht oder gut, aber ich musste irgendetwas angeben um weiter machen zu können und habe mich wie ein Betrüger gefühlt etwas anzugeben, wovon ich gerade gar keine Ahnung habe...","0","1","0","24528.299999888986","","{""age"":""23"",""education"":""1"",""subject"":""1"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","117302","0.0-5.0","ch9zvf20wz","many_one","0","direct_first","1","id05us15","0","23","1","1","1","1","Ich fand die Teilnahme schwierig, weil es manchmal so willkürlich war. Ich hatte nie richtig das Gefühl, die Zeichen sind wirklich schlecht oder gut, aber ich musste irgendetwas angeben um weiter machen zu können und habe mich wie ein Betrüger gefühlt etwas anzugeben, wovon ich gerade gar keine Ahnung habe...","0","1","0","21034.454999957234","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","121335","0.0-6.0-0.0-0.0","ch9zvf20wz","many_one","0","direct_first","1","id05us15","0","23","1","1","1","1","Ich fand die Teilnahme schwierig, weil es manchmal so willkürlich war. Ich hatte nie richtig das Gefühl, die Zeichen sind wirklich schlecht oder gut, aber ich musste irgendetwas angeben um weiter machen zu können und habe mich wie ein Betrüger gefühlt etwas anzugeben, wovon ich gerade gar keine Ahnung habe...","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9041.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","7","123867","0.0-6.0-0.0-0.1","ch9zvf20wz","many_one","0","direct_first","1","id05us15","0","23","1","1","1","1","Ich fand die Teilnahme schwierig, weil es manchmal so willkürlich war. Ich hatte nie richtig das Gefühl, die Zeichen sind wirklich schlecht oder gut, aber ich musste irgendetwas angeben um weiter machen zu können und habe mich wie ein Betrüger gefühlt etwas anzugeben, wovon ich gerade gar keine Ahnung habe...","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","8","126382","0.0-6.0-0.0-0.2","ch9zvf20wz","many_one","0","direct_first","1","id05us15","0","23","1","1","1","1","Ich fand die Teilnahme schwierig, weil es manchmal so willkürlich war. Ich hatte nie richtig das Gefühl, die Zeichen sind wirklich schlecht oder gut, aber ich musste irgendetwas angeben um weiter machen zu können und habe mich wie ein Betrüger gefühlt etwas anzugeben, wovon ich gerade gar keine Ahnung habe...","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","9","128900","0.0-6.0-0.0-0.3","ch9zvf20wz","many_one","0","direct_first","1","id05us15","0","23","1","1","1","1","Ich fand die Teilnahme schwierig, weil es manchmal so willkürlich war. Ich hatte nie richtig das Gefühl, die Zeichen sind wirklich schlecht oder gut, aber ich musste irgendetwas angeben um weiter machen zu können und habe mich wie ein Betrüger gefühlt etwas anzugeben, wovon ich gerade gar keine Ahnung habe...","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8190.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS2.png","","","","",""
