"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","4314","0.0-0.0","chq2uww95p","many_one","0","direct_first","1","er06er30","0","26","2","1","4","1","","0","0","0","","","","","","","","","","","","","","",""
"","external-html","1","50437","0.0-1.0","chq2uww95p","many_one","0","direct_first","1","er06er30","0","26","2","1","4","1","","0","0","0","46060","text/information.html","","","","","","","","","","","","",""
"","external-html","2","72837","0.0-2.0","chq2uww95p","many_one","0","direct_first","1","er06er30","0","26","2","1","4","1","","0","0","0","22311","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","139947","0.0-3.0","chq2uww95p","many_one","0","direct_first","1","er06er30","0","26","2","1","4","1","","0","0","0","67108","","{""codeword_enter"":""er06er30""}","","","","","","","","","","","",""
"","survey-html-form","4","163810","0.0-4.0","chq2uww95p","many_one","0","direct_first","1","er06er30","0","26","2","1","4","1","","0","0","0","23857","","{""age"":""26"",""education"":""2"",""subject"":""4"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","181823","0.0-5.0","chq2uww95p","many_one","0","direct_first","1","er06er30","0","26","2","1","4","1","","0","0","0","18013","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","185838","0.0-6.0-0.0-0.0","chq2uww95p","many_one","0","direct_first","1","er06er30","0","26","2","1","4","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","7","188378","0.0-6.0-0.0-0.1","chq2uww95p","many_one","0","direct_first","1","er06er30","0","26","2","1","4","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","8","190897","0.0-6.0-0.0-0.2","chq2uww95p","many_one","0","direct_first","1","er06er30","0","26","2","1","4","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","9","193437","0.0-6.0-0.0-0.3","chq2uww95p","many_one","0","direct_first","1","er06er30","0","26","2","1","4","1","","0","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS8.png","","","","",""
