"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","13483","0.0-0.0","ctr6gvbqax","many_one","0","indirect_first","0","ch06rt30","0","26","1","0","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","36799","0.0-1.0","ctr6gvbqax","many_one","0","indirect_first","0","ch06rt30","0","26","1","0","3","1","","0","1","0","23187.50999995973","text/information.html","","","","","","","","","","","","",""
"","external-html","2","45375","0.0-2.0","ctr6gvbqax","many_one","0","indirect_first","0","ch06rt30","0","26","1","0","3","1","","0","1","0","8473.339999909513","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","89206","0.0-3.0","ctr6gvbqax","many_one","0","indirect_first","0","ch06rt30","0","26","1","0","3","1","","0","1","0","43825.09000005666","","{""codeword_enter"":""ch06rt30""}","","","","","","","","","","","",""
"","survey-html-form","4","108335","0.0-4.0","ctr6gvbqax","many_one","0","indirect_first","0","ch06rt30","0","26","1","0","3","1","","0","1","0","19118.714999989606","","{""age"":""26"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""0""}","","","","","","","","","","","",""
"","survey-html-form","5","113935","0.0-5.0","ctr6gvbqax","many_one","0","indirect_first","0","ch06rt30","0","26","1","0","3","1","","0","1","0","5593.190000043251","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","117958","0.0-6.0-0.0-0.0","ctr6gvbqax","many_one","0","indirect_first","0","ch06rt30","0","26","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","7","120478","0.0-6.0-0.0-0.1","ctr6gvbqax","many_one","0","indirect_first","0","ch06rt30","0","26","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6570.1.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","8","123012","0.0-6.0-0.0-0.2","ctr6gvbqax","many_one","0","indirect_first","0","ch06rt30","0","26","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","9","125540","0.0-6.0-0.0-0.3","ctr6gvbqax","many_one","0","indirect_first","0","ch06rt30","0","26","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9560.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","10","128058","0.0-6.0-0.0-0.4","ctr6gvbqax","many_one","0","indirect_first","0","ch06rt30","0","26","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9041.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","11","130591","0.0-6.0-0.0-0.5","ctr6gvbqax","many_one","0","indirect_first","0","ch06rt30","0","26","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9421.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","12","133124","0.0-6.0-0.0-0.6","ctr6gvbqax","many_one","0","indirect_first","0","ch06rt30","0","26","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8350.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","13","135657","0.0-6.0-0.0-0.7","ctr6gvbqax","many_one","0","indirect_first","0","ch06rt30","0","26","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","14","138173","0.0-6.0-0.0-0.8","ctr6gvbqax","many_one","0","indirect_first","0","ch06rt30","0","26","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/7325.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","15","140707","0.0-6.0-0.0-0.9","ctr6gvbqax","many_one","0","indirect_first","0","ch06rt30","0","26","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2900.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","16","143238","0.0-6.0-0.0-0.10","ctr6gvbqax","many_one","0","indirect_first","0","ch06rt30","0","26","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1710.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","17","145757","0.0-6.0-0.0-0.11","ctr6gvbqax","many_one","0","indirect_first","0","ch06rt30","0","26","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9920.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","18","148288","0.0-6.0-0.0-0.12","ctr6gvbqax","many_one","0","indirect_first","0","ch06rt30","0","26","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","19","150812","0.0-6.0-0.0-0.13","ctr6gvbqax","many_one","0","indirect_first","0","ch06rt30","0","26","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8540.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","20","153338","0.0-6.0-0.0-0.14","ctr6gvbqax","many_one","0","indirect_first","0","ch06rt30","0","26","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS8.png","","","","",""
