"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","6800","0.0-0.0","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","32175","0.0-1.0","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","25320.840000000007","text/information.html","","","","","","","","","","","","",""
"","external-html","2","64993","0.0-2.0","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","32746.915000000023","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","112265","0.0-3.0","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","47268.95000000001","","{""codeword_enter"":""ld09er07""}","","","","","","","","","","","",""
"","survey-html-form","4","127762","0.0-4.0","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","15489.895000000019","","{""age"":""21"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","138783","0.0-5.0","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","11017.64499999999","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","142798","0.0-6.0-0.0-0.0","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9560.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","7","145310","0.0-6.0-0.0-0.1","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8190.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","8","147827","0.0-6.0-0.0-0.2","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5621.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS5.png","","","","",""
"","html-keyboard-response","9","150344","0.0-6.0-0.0-0.3","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/7580.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","10","152860","0.0-6.0-0.0-0.4","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","11","155372","0.0-6.0-0.0-0.5","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","12","157888","0.0-6.0-0.0-0.6","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9330.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","13","160405","0.0-6.0-0.0-0.7","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","14","162917","0.0-6.0-0.0-0.8","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6212.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","15","165434","0.0-6.0-0.0-0.9","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8461.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","16","167952","0.0-6.0-0.0-0.10","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2160.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","17","170469","0.0-6.0-0.0-0.11","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","18","172985","0.0-6.0-0.0-0.12","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9584.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","19","175502","0.0-6.0-0.0-0.13","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2341.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","20","178020","0.0-6.0-0.0-0.14","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1710.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","21","180537","0.0-6.0-0.0-0.15","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","22","183055","0.0-6.0-0.0-0.16","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9342.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","23","185572","0.0-6.0-0.0-0.17","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2141.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","24","188090","0.0-6.0-0.0-0.18","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","25","190606","0.0-6.0-0.0-0.19","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS3.png","","","","",""
"","survey-html-form","26","193518","0.0-6.0-1.0","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","2403.314999999973","","{}","","","","","","","","","","","",""
"","html-keyboard-response","27","197530","0.0-6.0-2.0-0.0","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","28","200046","0.0-6.0-2.0-0.1","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9342.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","29","202561","0.0-6.0-2.0-0.2","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","30","205077","0.0-6.0-2.0-0.3","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9584.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","31","207595","0.0-6.0-2.0-0.4","dga6wrnqb5","many_one","0","indirect_first","0","ld09er07","0","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5621.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS5.png","","","","",""
