"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","10007","0.0-0.0","e1t3l4glta","many_one","0","indirect_first","0","nn05en08","1","31","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","154077","0.0-1.0","e1t3l4glta","many_one","0","indirect_first","0","nn05en08","1","31","1","1","3","1","","0","1","0","143936.61500001326","text/information.html","","","","","","","","","","","","",""
"","external-html","2","238615","0.0-2.0","e1t3l4glta","many_one","0","indirect_first","0","nn05en08","1","31","1","1","3","1","","0","1","0","84382.09000002826","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","307874","0.0-3.0","e1t3l4glta","many_one","0","indirect_first","0","nn05en08","1","31","1","1","3","1","","0","1","0","69257.70000001648","","{""codeword_enter"":""nn05en08""}","","","","","","","","","","","",""
"","survey-html-form","4","329530","0.0-4.0","e1t3l4glta","many_one","0","indirect_first","0","nn05en08","1","31","1","1","3","1","","0","1","0","21654.23500002362","","{""age"":""31"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","349251","0.0-5.0","e1t3l4glta","many_one","0","indirect_first","0","nn05en08","1","31","1","1","3","1","","0","1","0","19719.02499999851","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","353269","0.0-6.0-0.0-0.0","e1t3l4glta","many_one","0","indirect_first","0","nn05en08","1","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/7580.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","7","355776","0.0-6.0-0.0-0.1","e1t3l4glta","many_one","0","indirect_first","0","nn05en08","1","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/1280.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","8","358298","0.0-6.0-0.0-0.2","e1t3l4glta","many_one","0","indirect_first","0","nn05en08","1","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8190.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS5.png","","","","",""
"","html-keyboard-response","9","360818","0.0-6.0-0.0-0.3","e1t3l4glta","many_one","0","indirect_first","0","nn05en08","1","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","10","363343","0.0-6.0-0.0-0.4","e1t3l4glta","many_one","0","indirect_first","0","nn05en08","1","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2040.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","11","365866","0.0-6.0-0.0-0.5","e1t3l4glta","many_one","0","indirect_first","0","nn05en08","1","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/7325.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","12","368388","0.0-6.0-0.0-0.6","e1t3l4glta","many_one","0","indirect_first","0","nn05en08","1","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","13","370911","0.0-6.0-0.0-0.7","e1t3l4glta","many_one","0","indirect_first","0","nn05en08","1","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2341.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","14","373428","0.0-6.0-0.0-0.8","e1t3l4glta","many_one","0","indirect_first","0","nn05en08","1","31","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2900.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS2.png","","","","",""
