"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","5824","0.0-0.0","f8o9k5n2ov","one_one","1","direct_first","1","ne06in18","0","23","1","1","3","1","","1","0","0","","","","","","","","","","","","","","",""
"","external-html","1","120483","0.0-1.0","f8o9k5n2ov","one_one","1","direct_first","1","ne06in18","0","23","1","1","3","1","","1","0","0","114602.4299999699","text/information.html","","","","","","","","","","","","",""
"","external-html","2","128696","0.0-2.0","f8o9k5n2ov","one_one","1","direct_first","1","ne06in18","0","23","1","1","3","1","","1","0","0","8126.589999999851","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","184232","0.0-3.0","f8o9k5n2ov","one_one","1","direct_first","1","ne06in18","0","23","1","1","3","1","","1","0","0","55533.13500015065","","{""codeword_enter"":""ne06in18""}","","","","","","","","","","","",""
"","survey-html-form","4","214525","0.0-4.0","f8o9k5n2ov","one_one","1","direct_first","1","ne06in18","0","23","1","1","3","1","","1","0","0","30291.39499971643","","{""age"":""23"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","225779","0.0-5.0","f8o9k5n2ov","one_one","1","direct_first","1","ne06in18","0","23","1","1","3","1","","1","0","0","11251.530000008643","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","229798","0.0-6.0-0.0-0.0","f8o9k5n2ov","one_one","1","direct_first","1","ne06in18","0","23","1","1","3","1","","1","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","7","232316","0.0-6.0-0.0-0.1","f8o9k5n2ov","one_one","1","direct_first","1","ne06in18","0","23","1","1","3","1","","1","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9220.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","8","234838","0.0-6.0-0.0-0.2","f8o9k5n2ov","one_one","1","direct_first","1","ne06in18","0","23","1","1","3","1","","1","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2530.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","9","237367","0.0-6.0-0.0-0.3","f8o9k5n2ov","one_one","1","direct_first","1","ne06in18","0","23","1","1","3","1","","1","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","10","239891","0.0-6.0-0.0-0.4","f8o9k5n2ov","one_one","1","direct_first","1","ne06in18","0","23","1","1","3","1","","1","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2530.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","11","242411","0.0-6.0-0.0-0.5","f8o9k5n2ov","one_one","1","direct_first","1","ne06in18","0","23","1","1","3","1","","1","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9220.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","12","244929","0.0-6.0-0.0-0.6","f8o9k5n2ov","one_one","1","direct_first","1","ne06in18","0","23","1","1","3","1","","1","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","13","247445","0.0-6.0-0.0-0.7","f8o9k5n2ov","one_one","1","direct_first","1","ne06in18","0","23","1","1","3","1","","1","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9220.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","14","249963","0.0-6.0-0.0-0.8","f8o9k5n2ov","one_one","1","direct_first","1","ne06in18","0","23","1","1","3","1","","1","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","15","252476","0.0-6.0-0.0-0.9","f8o9k5n2ov","one_one","1","direct_first","1","ne06in18","0","23","1","1","3","1","","1","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","16","254998","0.0-6.0-0.0-0.10","f8o9k5n2ov","one_one","1","direct_first","1","ne06in18","0","23","1","1","3","1","","1","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9220.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","17","257512","0.0-6.0-0.0-0.11","f8o9k5n2ov","one_one","1","direct_first","1","ne06in18","0","23","1","1","3","1","","1","0","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS8.png","","","","",""
