"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","5812","0.0-0.0","gqu9j3c27l","one_one","1","direct_first","1","konian02","0","23","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","162987","0.0-1.0","gqu9j3c27l","one_one","1","direct_first","1","konian02","0","23","1","1","3","1","","0","1","0","157063","text/information.html","","","","","","","","","","","","",""
"","external-html","2","177465","0.0-2.0","gqu9j3c27l","one_one","1","direct_first","1","konian02","0","23","1","1","3","1","","0","1","0","14321","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","222125","0.0-3.0","gqu9j3c27l","one_one","1","direct_first","1","konian02","0","23","1","1","3","1","","0","1","0","44653","","{""codeword_enter"":""konian02""}","","","","","","","","","","","",""
"","survey-html-form","4","245489","0.0-4.0","gqu9j3c27l","one_one","1","direct_first","1","konian02","0","23","1","1","3","1","","0","1","0","23359","","{""age"":""23"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","261307","0.0-5.0","gqu9j3c27l","one_one","1","direct_first","1","konian02","0","23","1","1","3","1","","0","1","0","15815","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","265343","0.0-6.0-0.0-0.0","gqu9j3c27l","one_one","1","direct_first","1","konian02","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9520.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","7","267872","0.0-6.0-0.0-0.1","gqu9j3c27l","one_one","1","direct_first","1","konian02","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/8485.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","8","270411","0.0-6.0-0.0-0.2","gqu9j3c27l","one_one","1","direct_first","1","konian02","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9520.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","9","272952","0.0-6.0-0.0-0.3","gqu9j3c27l","one_one","1","direct_first","1","konian02","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5621.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS1.png","","","","",""
