"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","26316","0.0-0.0","gyujd0ok02","one_one","1","direct_first","1","ch06in19","1","22","1","1","3","1","Mir viel auf, dass verschiedene Muster in den chinesischen Zeichen negativ oder positiv asoziiert werden sollten, bei mir bspw. kastenformen, diagonale und vertikale striche postitv, unsymmetrische und statisch unsichere Linien dafür negativ. Auch ist mir bei den positiv konotierten Zeichen ein bildlicher Zusammenhang mit den Aufnahmen aufgefallen. Dies beides hat mich in der Bewertung später sehr beeinflusst, da ich vermehrt daran gedacht habe, die Zeichen ""richtig"" zuzuordnen und nicht nach meinem ersten Eindruck.","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","91673","0.0-1.0","gyujd0ok02","one_one","1","direct_first","1","ch06in19","1","22","1","1","3","1","Mir viel auf, dass verschiedene Muster in den chinesischen Zeichen negativ oder positiv asoziiert werden sollten, bei mir bspw. kastenformen, diagonale und vertikale striche postitv, unsymmetrische und statisch unsichere Linien dafür negativ. Auch ist mir bei den positiv konotierten Zeichen ein bildlicher Zusammenhang mit den Aufnahmen aufgefallen. Dies beides hat mich in der Bewertung später sehr beeinflusst, da ich vermehrt daran gedacht habe, die Zeichen ""richtig"" zuzuordnen und nicht nach meinem ersten Eindruck.","0","1","0","65315","text/information.html","","","","","","","","","","","","",""
"","external-html","2","111214","0.0-2.0","gyujd0ok02","one_one","1","direct_first","1","ch06in19","1","22","1","1","3","1","Mir viel auf, dass verschiedene Muster in den chinesischen Zeichen negativ oder positiv asoziiert werden sollten, bei mir bspw. kastenformen, diagonale und vertikale striche postitv, unsymmetrische und statisch unsichere Linien dafür negativ. Auch ist mir bei den positiv konotierten Zeichen ein bildlicher Zusammenhang mit den Aufnahmen aufgefallen. Dies beides hat mich in der Bewertung später sehr beeinflusst, da ich vermehrt daran gedacht habe, die Zeichen ""richtig"" zuzuordnen und nicht nach meinem ersten Eindruck.","0","1","0","19499","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","200779","0.0-3.0","gyujd0ok02","one_one","1","direct_first","1","ch06in19","1","22","1","1","3","1","Mir viel auf, dass verschiedene Muster in den chinesischen Zeichen negativ oder positiv asoziiert werden sollten, bei mir bspw. kastenformen, diagonale und vertikale striche postitv, unsymmetrische und statisch unsichere Linien dafür negativ. Auch ist mir bei den positiv konotierten Zeichen ein bildlicher Zusammenhang mit den Aufnahmen aufgefallen. Dies beides hat mich in der Bewertung später sehr beeinflusst, da ich vermehrt daran gedacht habe, die Zeichen ""richtig"" zuzuordnen und nicht nach meinem ersten Eindruck.","0","1","0","89564","","{""codeword_enter"":""ch06in19""}","","","","","","","","","","","",""
"","survey-html-form","4","230381","0.0-4.0","gyujd0ok02","one_one","1","direct_first","1","ch06in19","1","22","1","1","3","1","Mir viel auf, dass verschiedene Muster in den chinesischen Zeichen negativ oder positiv asoziiert werden sollten, bei mir bspw. kastenformen, diagonale und vertikale striche postitv, unsymmetrische und statisch unsichere Linien dafür negativ. Auch ist mir bei den positiv konotierten Zeichen ein bildlicher Zusammenhang mit den Aufnahmen aufgefallen. Dies beides hat mich in der Bewertung später sehr beeinflusst, da ich vermehrt daran gedacht habe, die Zeichen ""richtig"" zuzuordnen und nicht nach meinem ersten Eindruck.","0","1","0","29599.00000000003","","{""age"":""22"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","246511","0.0-5.0","gyujd0ok02","one_one","1","direct_first","1","ch06in19","1","22","1","1","3","1","Mir viel auf, dass verschiedene Muster in den chinesischen Zeichen negativ oder positiv asoziiert werden sollten, bei mir bspw. kastenformen, diagonale und vertikale striche postitv, unsymmetrische und statisch unsichere Linien dafür negativ. Auch ist mir bei den positiv konotierten Zeichen ein bildlicher Zusammenhang mit den Aufnahmen aufgefallen. Dies beides hat mich in der Bewertung später sehr beeinflusst, da ich vermehrt daran gedacht habe, die Zeichen ""richtig"" zuzuordnen und nicht nach meinem ersten Eindruck.","0","1","0","16129","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","250519","0.0-6.0-0.0-0.0","gyujd0ok02","one_one","1","direct_first","1","ch06in19","1","22","1","1","3","1","Mir viel auf, dass verschiedene Muster in den chinesischen Zeichen negativ oder positiv asoziiert werden sollten, bei mir bspw. kastenformen, diagonale und vertikale striche postitv, unsymmetrische und statisch unsichere Linien dafür negativ. Auch ist mir bei den positiv konotierten Zeichen ein bildlicher Zusammenhang mit den Aufnahmen aufgefallen. Dies beides hat mich in der Bewertung später sehr beeinflusst, da ich vermehrt daran gedacht habe, die Zeichen ""richtig"" zuzuordnen und nicht nach meinem ersten Eindruck.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2040.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","7","253024","0.0-6.0-0.0-0.1","gyujd0ok02","one_one","1","direct_first","1","ch06in19","1","22","1","1","3","1","Mir viel auf, dass verschiedene Muster in den chinesischen Zeichen negativ oder positiv asoziiert werden sollten, bei mir bspw. kastenformen, diagonale und vertikale striche postitv, unsymmetrische und statisch unsichere Linien dafür negativ. Auch ist mir bei den positiv konotierten Zeichen ein bildlicher Zusammenhang mit den Aufnahmen aufgefallen. Dies beides hat mich in der Bewertung später sehr beeinflusst, da ich vermehrt daran gedacht habe, die Zeichen ""richtig"" zuzuordnen und nicht nach meinem ersten Eindruck.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3160.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","8","255530","0.0-6.0-0.0-0.2","gyujd0ok02","one_one","1","direct_first","1","ch06in19","1","22","1","1","3","1","Mir viel auf, dass verschiedene Muster in den chinesischen Zeichen negativ oder positiv asoziiert werden sollten, bei mir bspw. kastenformen, diagonale und vertikale striche postitv, unsymmetrische und statisch unsichere Linien dafür negativ. Auch ist mir bei den positiv konotierten Zeichen ein bildlicher Zusammenhang mit den Aufnahmen aufgefallen. Dies beides hat mich in der Bewertung später sehr beeinflusst, da ich vermehrt daran gedacht habe, die Zeichen ""richtig"" zuzuordnen und nicht nach meinem ersten Eindruck.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8461.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","9","258035","0.0-6.0-0.0-0.3","gyujd0ok02","one_one","1","direct_first","1","ch06in19","1","22","1","1","3","1","Mir viel auf, dass verschiedene Muster in den chinesischen Zeichen negativ oder positiv asoziiert werden sollten, bei mir bspw. kastenformen, diagonale und vertikale striche postitv, unsymmetrische und statisch unsichere Linien dafür negativ. Auch ist mir bei den positiv konotierten Zeichen ein bildlicher Zusammenhang mit den Aufnahmen aufgefallen. Dies beides hat mich in der Bewertung später sehr beeinflusst, da ich vermehrt daran gedacht habe, die Zeichen ""richtig"" zuzuordnen und nicht nach meinem ersten Eindruck.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2040.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
