"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","3610","0.0-0.0","hgvwls3ugt","one_one","1","direct_first","1","ER06RA18","0","21","1","0","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","9686","0.0-1.0","hgvwls3ugt","one_one","1","direct_first","1","ER06RA18","0","21","1","0","3","1","","0","1","0","6041.639999999461","text/information.html","","","","","","","","","","","","",""
"","external-html","2","24088","0.0-2.0","hgvwls3ugt","one_one","1","direct_first","1","ER06RA18","0","21","1","0","3","1","","0","1","0","14363.820000000487","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","57142","0.0-3.0","hgvwls3ugt","one_one","1","direct_first","1","ER06RA18","0","21","1","0","3","1","","0","1","0","33045.95500000141","","{""codeword_enter"":""ER06RA18""}","","","","","","","","","","","",""
"","survey-html-form","4","74905","0.0-4.0","hgvwls3ugt","one_one","1","direct_first","1","ER06RA18","0","21","1","0","3","1","","0","1","0","17756.06499999958","","{""age"":""21"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""0""}","","","","","","","","","","","",""
"","survey-html-form","5","77015","0.0-5.0","hgvwls3ugt","one_one","1","direct_first","1","ER06RA18","0","21","1","0","3","1","","0","1","0","2103.929999999309","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","81024","0.0-6.0-0.0-0.0","hgvwls3ugt","one_one","1","direct_first","1","ER06RA18","0","21","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5831.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","7","83532","0.0-6.0-0.0-0.1","hgvwls3ugt","one_one","1","direct_first","1","ER06RA18","0","21","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","8","86037","0.0-6.0-0.0-0.2","hgvwls3ugt","one_one","1","direct_first","1","ER06RA18","0","21","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","9","88544","0.0-6.0-0.0-0.3","hgvwls3ugt","one_one","1","direct_first","1","ER06RA18","0","21","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5831.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","10","91050","0.0-6.0-0.0-0.4","hgvwls3ugt","one_one","1","direct_first","1","ER06RA18","0","21","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","11","93554","0.0-6.0-0.0-0.5","hgvwls3ugt","one_one","1","direct_first","1","ER06RA18","0","21","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6570.1.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS4.png","","","","",""
