"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","23106","0.0-0.0","j7f9s7u49s","many_one","0","direct_first","1","er06er11","0","22","2","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","63718","0.0-1.0","j7f9s7u49s","many_one","0","direct_first","1","er06er11","0","22","2","1","3","1","","0","1","0","40521","text/information.html","","","","","","","","","","","","",""
"","external-html","2","81306","0.0-2.0","j7f9s7u49s","many_one","0","direct_first","1","er06er11","0","22","2","1","3","1","","0","1","0","17497","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","129059","0.0-3.0","j7f9s7u49s","many_one","0","direct_first","1","er06er11","0","22","2","1","3","1","","0","1","0","47751","","{""codeword_enter"":""er06er11""}","","","","","","","","","","","",""
"","survey-html-form","4","153493","0.0-4.0","j7f9s7u49s","many_one","0","direct_first","1","er06er11","0","22","2","1","3","1","","0","1","0","24431","","{""age"":""22"",""education"":""2"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","169760","0.0-5.0","j7f9s7u49s","many_one","0","direct_first","1","er06er11","0","22","2","1","3","1","","0","1","0","16266","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","173766","0.0-6.0-0.0-0.0","j7f9s7u49s","many_one","0","direct_first","1","er06er11","0","22","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/8485.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","7","176269","0.0-6.0-0.0-0.1","j7f9s7u49s","many_one","0","direct_first","1","er06er11","0","22","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1340.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","8","178773","0.0-6.0-0.0-0.2","j7f9s7u49s","many_one","0","direct_first","1","er06er11","0","22","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/7325.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","9","181274","0.0-6.0-0.0-0.3","j7f9s7u49s","many_one","0","direct_first","1","er06er11","0","22","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","10","183780","0.0-6.0-0.0-0.4","j7f9s7u49s","many_one","0","direct_first","1","er06er11","0","22","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9560.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","11","186281","0.0-6.0-0.0-0.5","j7f9s7u49s","many_one","0","direct_first","1","er06er11","0","22","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9342.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","12","188784","0.0-6.0-0.0-0.6","j7f9s7u49s","many_one","0","direct_first","1","er06er11","0","22","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8461.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","13","191287","0.0-6.0-0.0-0.7","j7f9s7u49s","many_one","0","direct_first","1","er06er11","0","22","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5700.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","14","193789","0.0-6.0-0.0-0.8","j7f9s7u49s","many_one","0","direct_first","1","er06er11","0","22","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2165.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","15","196293","0.0-6.0-0.0-0.9","j7f9s7u49s","many_one","0","direct_first","1","er06er11","0","22","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS2.png","","","","",""
