"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","6128","0.0-0.0","jj140azzth","many_one","0","direct_first","1","er06er12","0","23","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","11344","0.0-1.0","jj140azzth","many_one","0","direct_first","1","er06er12","0","23","1","1","3","1","","0","1","0","5138.610000023618","text/information.html","","","","","","","","","","","","",""
"","external-html","2","32629","0.0-2.0","jj140azzth","many_one","0","direct_first","1","er06er12","0","23","1","1","3","1","","0","1","0","21225.265000015497","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","148127","0.0-3.0","jj140azzth","many_one","0","direct_first","1","er06er12","0","23","1","1","3","1","","0","1","0","115491.85999995098","","{""codeword_enter"":""er06er12""}","","","","","","","","","","","",""
"","survey-html-form","4","168287","0.0-4.0","jj140azzth","many_one","0","direct_first","1","er06er12","0","23","1","1","3","1","","0","1","0","20149.385000113398","","{""age"":""23"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","182733","0.0-5.0","jj140azzth","many_one","0","direct_first","1","er06er12","0","23","1","1","3","1","","0","1","0","14441.490000113845","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","186758","0.0-6.0-0.0-0.0","jj140azzth","many_one","0","direct_first","1","er06er12","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2141.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","7","189474","0.0-6.0-0.0-0.1","jj140azzth","many_one","0","direct_first","1","er06er12","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8190.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","8","192289","0.0-6.0-0.0-0.2","jj140azzth","many_one","0","direct_first","1","er06er12","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/4625.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS3.png","","","","",""
"","html-keyboard-response","9","195047","0.0-6.0-0.0-0.3","jj140azzth","many_one","0","direct_first","1","er06er12","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9220.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","10","197794","0.0-6.0-0.0-0.4","jj140azzth","many_one","0","direct_first","1","er06er12","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/7325.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","11","200508","0.0-6.0-0.0-0.5","jj140azzth","many_one","0","direct_first","1","er06er12","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/7580.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","12","203152","0.0-6.0-0.0-0.6","jj140azzth","many_one","0","direct_first","1","er06er12","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","13","205753","0.0-6.0-0.0-0.7","jj140azzth","many_one","0","direct_first","1","er06er12","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","14","208394","0.0-6.0-0.0-0.8","jj140azzth","many_one","0","direct_first","1","er06er12","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9182.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","15","210973","0.0-6.0-0.0-0.9","jj140azzth","many_one","0","direct_first","1","er06er12","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","16","213517","0.0-6.0-0.0-0.10","jj140azzth","many_one","0","direct_first","1","er06er12","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1710.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS7.png","","","","",""
