"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","4257","0.0-0.0","kk8bumaocj","many_one","0","indirect_first","0","er03an16","1","19","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","71852","0.0-1.0","kk8bumaocj","many_one","0","indirect_first","0","er03an16","1","19","1","1","3","1","","0","1","0","67406.16000024602","text/information.html","","","","","","","","","","","","",""
"","external-html","2","78129","0.0-2.0","kk8bumaocj","many_one","0","indirect_first","0","er03an16","1","19","1","1","3","1","","0","1","0","6096.390000078827","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","121488","0.0-3.0","kk8bumaocj","many_one","0","indirect_first","0","er03an16","1","19","1","1","3","1","","0","1","0","43356.13500000909","","{""codeword_enter"":""er03an16""}","","","","","","","","","","","",""
"","survey-html-form","4","142429","0.0-4.0","kk8bumaocj","many_one","0","indirect_first","0","er03an16","1","19","1","1","3","1","","0","1","0","20935.835000127554","","{""age"":""19"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","145500","0.0-5.0","kk8bumaocj","many_one","0","indirect_first","0","er03an16","1","19","1","1","3","1","","0","1","0","3067.2349999658763","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","149524","0.0-6.0-0.0-0.0","kk8bumaocj","many_one","0","indirect_first","0","er03an16","1","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6838.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","7","152054","0.0-6.0-0.0-0.1","kk8bumaocj","many_one","0","indirect_first","0","er03an16","1","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","8","154558","0.0-6.0-0.0-0.2","kk8bumaocj","many_one","0","indirect_first","0","er03an16","1","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","9","157062","0.0-6.0-0.0-0.3","kk8bumaocj","many_one","0","indirect_first","0","er03an16","1","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
