"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","9720","0.0-0.0","m6y3257hb6","one_one","1","direct_first","1","on03as27","0","26","1","1","2","1","Ton hat nicht funktioniert","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","22024","0.0-1.0","m6y3257hb6","one_one","1","direct_first","1","on03as27","0","26","1","1","2","1","Ton hat nicht funktioniert","0","1","0","12255","text/information.html","","","","","","","","","","","","",""
"","external-html","2","32569","0.0-2.0","m6y3257hb6","one_one","1","direct_first","1","on03as27","0","26","1","1","2","1","Ton hat nicht funktioniert","0","1","0","10433","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","63786","0.0-3.0","m6y3257hb6","one_one","1","direct_first","1","on03as27","0","26","1","1","2","1","Ton hat nicht funktioniert","0","1","0","31213","","{""codeword_enter"":""on03as27""}","","","","","","","","","","","",""
"","survey-html-form","4","84469","0.0-4.0","m6y3257hb6","one_one","1","direct_first","1","on03as27","0","26","1","1","2","1","Ton hat nicht funktioniert","0","1","0","20676","","{""age"":""26"",""education"":""1"",""subject"":""2"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","98969","0.0-5.0","m6y3257hb6","one_one","1","direct_first","1","on03as27","0","26","1","1","2","1","Ton hat nicht funktioniert","0","1","0","14496","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","103000","0.0-6.0-0.0-0.0","m6y3257hb6","one_one","1","direct_first","1","on03as27","0","26","1","1","2","1","Ton hat nicht funktioniert","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9342.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","7","105539","0.0-6.0-0.0-0.1","m6y3257hb6","one_one","1","direct_first","1","on03as27","0","26","1","1","2","1","Ton hat nicht funktioniert","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1440.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","8","108079","0.0-6.0-0.0-0.2","m6y3257hb6","one_one","1","direct_first","1","on03as27","0","26","1","1","2","1","Ton hat nicht funktioniert","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9180.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","9","110619","0.0-6.0-0.0-0.3","m6y3257hb6","one_one","1","direct_first","1","on03as27","0","26","1","1","2","1","Ton hat nicht funktioniert","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1440.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS10.png","","","","",""
