"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","18355","0.0-0.0","mhwuacmfnr","many_one","0","direct_first","1","NZ05EF25","0","38","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","139565","0.0-1.0","mhwuacmfnr","many_one","0","direct_first","1","NZ05EF25","0","38","1","1","3","1","","0","1","0","121121","text/information.html","","","","","","","","","","","","",""
"","external-html","2","149504","0.0-2.0","mhwuacmfnr","many_one","0","direct_first","1","NZ05EF25","0","38","1","1","3","1","","0","1","0","9854","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","206807","0.0-3.0","mhwuacmfnr","many_one","0","direct_first","1","NZ05EF25","0","38","1","1","3","1","","0","1","0","57294","","{""codeword_enter"":""NZ05EF25""}","","","","","","","","","","","",""
"","survey-html-form","4","244527","0.0-4.0","mhwuacmfnr","many_one","0","direct_first","1","NZ05EF25","0","38","1","1","3","1","","0","1","0","37714","","{""age"":""38"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","268201","0.0-5.0","mhwuacmfnr","many_one","0","direct_first","1","NZ05EF25","0","38","1","1","3","1","","0","1","0","23671","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","272219","0.0-6.0-0.0-0.0","mhwuacmfnr","many_one","0","direct_first","1","NZ05EF25","0","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2150.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","7","274738","0.0-6.0-0.0-0.1","mhwuacmfnr","many_one","0","direct_first","1","NZ05EF25","0","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","8","277257","0.0-6.0-0.0-0.2","mhwuacmfnr","many_one","0","direct_first","1","NZ05EF25","0","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9584.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","9","279778","0.0-6.0-0.0-0.3","mhwuacmfnr","many_one","0","direct_first","1","NZ05EF25","0","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9330.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS1.png","","","","",""
"","html-keyboard-response","10","282298","0.0-6.0-0.0-0.4","mhwuacmfnr","many_one","0","direct_first","1","NZ05EF25","0","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9000.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","11","284817","0.0-6.0-0.0-0.5","mhwuacmfnr","many_one","0","direct_first","1","NZ05EF25","0","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/4599.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","12","287337","0.0-6.0-0.0-0.6","mhwuacmfnr","many_one","0","direct_first","1","NZ05EF25","0","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5621.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","13","289857","0.0-6.0-0.0-0.7","mhwuacmfnr","many_one","0","direct_first","1","NZ05EF25","0","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2341.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","14","292377","0.0-6.0-0.0-0.8","mhwuacmfnr","many_one","0","direct_first","1","NZ05EF25","0","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6212.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","15","294897","0.0-6.0-0.0-0.9","mhwuacmfnr","many_one","0","direct_first","1","NZ05EF25","0","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","16","297417","0.0-6.0-0.0-0.10","mhwuacmfnr","many_one","0","direct_first","1","NZ05EF25","0","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5700.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","17","299937","0.0-6.0-0.0-0.11","mhwuacmfnr","many_one","0","direct_first","1","NZ05EF25","0","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9342.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","18","302457","0.0-6.0-0.0-0.12","mhwuacmfnr","many_one","0","direct_first","1","NZ05EF25","0","38","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
