"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","6458930","0.0-0.0","n52fub90as","one_one","1","direct_first","1","CK07ld12","0","24","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","21369043","0.0-1.0","n52fub90as","one_one","1","direct_first","1","CK07ld12","0","24","1","1","3","1","","0","1","0","14924496.290000156","text/information.html","","","","","","","","","","","","",""
"","external-html","2","21446791","0.0-2.0","n52fub90as","one_one","1","direct_first","1","CK07ld12","0","24","1","1","3","1","","0","1","0","77602.67499997467","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","21500110","0.0-3.0","n52fub90as","one_one","1","direct_first","1","CK07ld12","0","24","1","1","3","1","","0","1","0","53306.93000019342","","{""codeword_enter"":""CK07ld12""}","","","","","","","","","","","",""
"","survey-html-form","4","21542930","0.0-4.0","n52fub90as","one_one","1","direct_first","1","CK07ld12","0","24","1","1","3","1","","0","1","0","42792.87999984622","","{""age"":""24"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","21562950","0.0-5.0","n52fub90as","one_one","1","direct_first","1","CK07ld12","0","24","1","1","3","1","","0","1","0","20009.37500014156","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","21566984","0.0-6.0-0.0-0.0","n52fub90as","one_one","1","direct_first","1","CK07ld12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/7580.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","7","21569509","0.0-6.0-0.0-0.1","n52fub90as","one_one","1","direct_first","1","CK07ld12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3300.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","8","21572024","0.0-6.0-0.0-0.2","n52fub90as","one_one","1","direct_first","1","CK07ld12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5831.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","9","21574549","0.0-6.0-0.0-0.3","n52fub90as","one_one","1","direct_first","1","CK07ld12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3300.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","10","21577072","0.0-6.0-0.0-0.4","n52fub90as","one_one","1","direct_first","1","CK07ld12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5831.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","11","21579592","0.0-6.0-0.0-0.5","n52fub90as","one_one","1","direct_first","1","CK07ld12","0","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9560.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS3.png","","","","",""
