"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","4402","0.0-0.0","n5le7pcbkl","one_one","1","indirect_first","0","inhend09","0","19","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","24383","0.0-1.0","n5le7pcbkl","one_one","1","indirect_first","0","inhend09","0","19","1","1","3","1","","0","1","0","19950.550000183284","text/information.html","","","","","","","","","","","","",""
"","external-html","2","40929","0.0-2.0","n5le7pcbkl","one_one","1","indirect_first","0","inhend09","0","19","1","1","3","1","","0","1","0","16498.610000126064","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","63726","0.0-3.0","n5le7pcbkl","one_one","1","indirect_first","0","inhend09","0","19","1","1","3","1","","0","1","0","22793.76499983482","","{""codeword_enter"":""inhend09""}","","","","","","","","","","","",""
"","survey-html-form","4","81805","0.0-4.0","n5le7pcbkl","one_one","1","indirect_first","0","inhend09","0","19","1","1","3","1","","0","1","0","18075.909999897704","","{""age"":""19"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","90767","0.0-5.0","n5le7pcbkl","one_one","1","indirect_first","0","inhend09","0","19","1","1","3","1","","0","1","0","8960.00500000082","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","94773","0.0-6.0-0.0-0.0","n5le7pcbkl","one_one","1","indirect_first","0","inhend09","0","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","7","97277","0.0-6.0-0.0-0.1","n5le7pcbkl","one_one","1","indirect_first","0","inhend09","0","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","8","99780","0.0-6.0-0.0-0.2","n5le7pcbkl","one_one","1","indirect_first","0","inhend09","0","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","9","102284","0.0-6.0-0.0-0.3","n5le7pcbkl","one_one","1","indirect_first","0","inhend09","0","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","10","104787","0.0-6.0-0.0-0.4","n5le7pcbkl","one_one","1","indirect_first","0","inhend09","0","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2150.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","11","107290","0.0-6.0-0.0-0.5","n5le7pcbkl","one_one","1","indirect_first","0","inhend09","0","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
