"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","40392","0.0-0.0","nfytngbctm","one_one","1","direct_first","1","du05en02","0","20","1","1","3","2","","0","NA","0","","","","","","","","","","","","","","",""
"","external-html","1","44499","0.0-1.0","nfytngbctm","one_one","1","direct_first","1","du05en02","0","20","1","1","3","2","","0","NA","0","4057.259999681264","text/information.html","","","","","","","","","","","","",""
"","external-html","2","49589","0.0-2.0","nfytngbctm","one_one","1","direct_first","1","du05en02","0","20","1","1","3","2","","0","NA","0","5061.209999956191","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","90810","0.0-3.0","nfytngbctm","one_one","1","direct_first","1","du05en02","0","20","1","1","3","2","","0","NA","0","41219.02999980375","","{""codeword_enter"":""du05en02""}","","","","","","","","","","","",""
"","survey-html-form","4","108208","0.0-4.0","nfytngbctm","one_one","1","direct_first","1","du05en02","0","20","1","1","3","2","","0","NA","0","17395.190000068396","","{""age"":""20"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""2"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","113258","0.0-5.0","nfytngbctm","one_one","1","direct_first","1","du05en02","0","20","1","1","3","2","","0","NA","0","5048.479999881238","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","117268","0.0-6.0-0.0-0.0","nfytngbctm","one_one","1","direct_first","1","du05en02","0","20","1","1","3","2","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","7","119774","0.0-6.0-0.0-0.1","nfytngbctm","one_one","1","direct_first","1","du05en02","0","20","1","1","3","2","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","8","122279","0.0-6.0-0.0-0.2","nfytngbctm","one_one","1","direct_first","1","du05en02","0","20","1","1","3","2","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2530.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","9","124784","0.0-6.0-0.0-0.3","nfytngbctm","one_one","1","direct_first","1","du05en02","0","20","1","1","3","2","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","10","127290","0.0-6.0-0.0-0.4","nfytngbctm","one_one","1","direct_first","1","du05en02","0","20","1","1","3","2","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9180.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","11","129797","0.0-6.0-0.0-0.5","nfytngbctm","one_one","1","direct_first","1","du05en02","0","20","1","1","3","2","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","12","132301","0.0-6.0-0.0-0.6","nfytngbctm","one_one","1","direct_first","1","du05en02","0","20","1","1","3","2","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9180.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","13","134806","0.0-6.0-0.0-0.7","nfytngbctm","one_one","1","direct_first","1","du05en02","0","20","1","1","3","2","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","14","137311","0.0-6.0-0.0-0.8","nfytngbctm","one_one","1","direct_first","1","du05en02","0","20","1","1","3","2","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2530.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","15","139817","0.0-6.0-0.0-0.9","nfytngbctm","one_one","1","direct_first","1","du05en02","0","20","1","1","3","2","","0","NA","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS3.png","","","","",""
