"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","9328","0.0-0.0","nks3bwqtk8","one_one","1","indirect_first","0","nn04ed24","1","57","2","1","NA","1","ich fand es schwierig, die Schriftzeichen mit einem positiven oder negativen Eindruck zu bewerten. Je komplexer das Zeichen, desto negativer? (weil es dann umso verwirrender wirkt?). Zeichen, die an ein Haus erinnern, wirken eher positiv","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","78101","0.0-1.0","nks3bwqtk8","one_one","1","indirect_first","0","nn04ed24","1","57","2","1","NA","1","ich fand es schwierig, die Schriftzeichen mit einem positiven oder negativen Eindruck zu bewerten. Je komplexer das Zeichen, desto negativer? (weil es dann umso verwirrender wirkt?). Zeichen, die an ein Haus erinnern, wirken eher positiv","0","1","0","68721","text/information.html","","","","","","","","","","","","",""
"","external-html","2","105141","0.0-2.0","nks3bwqtk8","one_one","1","indirect_first","0","nn04ed24","1","57","2","1","NA","1","ich fand es schwierig, die Schriftzeichen mit einem positiven oder negativen Eindruck zu bewerten. Je komplexer das Zeichen, desto negativer? (weil es dann umso verwirrender wirkt?). Zeichen, die an ein Haus erinnern, wirken eher positiv","0","1","0","26946","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","161326","0.0-3.0","nks3bwqtk8","one_one","1","indirect_first","0","nn04ed24","1","57","2","1","NA","1","ich fand es schwierig, die Schriftzeichen mit einem positiven oder negativen Eindruck zu bewerten. Je komplexer das Zeichen, desto negativer? (weil es dann umso verwirrender wirkt?). Zeichen, die an ein Haus erinnern, wirken eher positiv","0","1","0","56181","","{""codeword_enter"":""nn04ed24""}","","","","","","","","","","","",""
"","survey-html-form","4","206344","0.0-4.0","nks3bwqtk8","one_one","1","indirect_first","0","nn04ed24","1","57","2","1","NA","1","ich fand es schwierig, die Schriftzeichen mit einem positiven oder negativen Eindruck zu bewerten. Je komplexer das Zeichen, desto negativer? (weil es dann umso verwirrender wirkt?). Zeichen, die an ein Haus erinnern, wirken eher positiv","0","1","0","45013","","{""age"":""57"",""education"":""2"",""subject"":""NA"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","223476","0.0-5.0","nks3bwqtk8","one_one","1","indirect_first","0","nn04ed24","1","57","2","1","NA","1","ich fand es schwierig, die Schriftzeichen mit einem positiven oder negativen Eindruck zu bewerten. Je komplexer das Zeichen, desto negativer? (weil es dann umso verwirrender wirkt?). Zeichen, die an ein Haus erinnern, wirken eher positiv","0","1","0","17131","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","227490","0.0-6.0-0.0-0.0","nks3bwqtk8","one_one","1","indirect_first","0","nn04ed24","1","57","2","1","NA","1","ich fand es schwierig, die Schriftzeichen mit einem positiven oder negativen Eindruck zu bewerten. Je komplexer das Zeichen, desto negativer? (weil es dann umso verwirrender wirkt?). Zeichen, die an ein Haus erinnern, wirken eher positiv","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9520.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","7","230009","0.0-6.0-0.0-0.1","nks3bwqtk8","one_one","1","indirect_first","0","nn04ed24","1","57","2","1","NA","1","ich fand es schwierig, die Schriftzeichen mit einem positiven oder negativen Eindruck zu bewerten. Je komplexer das Zeichen, desto negativer? (weil es dann umso verwirrender wirkt?). Zeichen, die an ein Haus erinnern, wirken eher positiv","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","8","232531","0.0-6.0-0.0-0.2","nks3bwqtk8","one_one","1","indirect_first","0","nn04ed24","1","57","2","1","NA","1","ich fand es schwierig, die Schriftzeichen mit einem positiven oder negativen Eindruck zu bewerten. Je komplexer das Zeichen, desto negativer? (weil es dann umso verwirrender wirkt?). Zeichen, die an ein Haus erinnern, wirken eher positiv","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","9","235049","0.0-6.0-0.0-0.3","nks3bwqtk8","one_one","1","indirect_first","0","nn04ed24","1","57","2","1","NA","1","ich fand es schwierig, die Schriftzeichen mit einem positiven oder negativen Eindruck zu bewerten. Je komplexer das Zeichen, desto negativer? (weil es dann umso verwirrender wirkt?). Zeichen, die an ein Haus erinnern, wirken eher positiv","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS8.png","","","","",""
