"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","2119","0.0-0.0","nvmpn601oq","many_one","0","indirect_first","0","th07we24","1","20","1","1","3","1","Schriftzeichen, die eigentlich durchweg mit ""positiven"" Bildern dargestellt wurden, waren alle nach außen hin ""abgeschlossen"" durch einen (nahezu) rechtwinkligen Rahmen, der mindestens drei Seiten umschloss, wohingegen Schriftzeichen, die in Verbindung mit ""negativen"" Bildern gezeigt wurden, größtenteils ""offen"" waren und auch chaotischer und weniger aufgeräumt wirkten, da sie durch den fehlenden Rahmen auch loser und freier im Raum schwebten.","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","35256","0.0-1.0","nvmpn601oq","many_one","0","indirect_first","0","th07we24","1","20","1","1","3","1","Schriftzeichen, die eigentlich durchweg mit ""positiven"" Bildern dargestellt wurden, waren alle nach außen hin ""abgeschlossen"" durch einen (nahezu) rechtwinkligen Rahmen, der mindestens drei Seiten umschloss, wohingegen Schriftzeichen, die in Verbindung mit ""negativen"" Bildern gezeigt wurden, größtenteils ""offen"" waren und auch chaotischer und weniger aufgeräumt wirkten, da sie durch den fehlenden Rahmen auch loser und freier im Raum schwebten.","0","1","0","33130.28000004124","text/information.html","","","","","","","","","","","","",""
"","external-html","2","87345","0.0-2.0","nvmpn601oq","many_one","0","indirect_first","0","th07we24","1","20","1","1","3","1","Schriftzeichen, die eigentlich durchweg mit ""positiven"" Bildern dargestellt wurden, waren alle nach außen hin ""abgeschlossen"" durch einen (nahezu) rechtwinkligen Rahmen, der mindestens drei Seiten umschloss, wohingegen Schriftzeichen, die in Verbindung mit ""negativen"" Bildern gezeigt wurden, größtenteils ""offen"" waren und auch chaotischer und weniger aufgeräumt wirkten, da sie durch den fehlenden Rahmen auch loser und freier im Raum schwebten.","0","1","0","52012.54999998491","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","147480","0.0-3.0","nvmpn601oq","many_one","0","indirect_first","0","th07we24","1","20","1","1","3","1","Schriftzeichen, die eigentlich durchweg mit ""positiven"" Bildern dargestellt wurden, waren alle nach außen hin ""abgeschlossen"" durch einen (nahezu) rechtwinkligen Rahmen, der mindestens drei Seiten umschloss, wohingegen Schriftzeichen, die in Verbindung mit ""negativen"" Bildern gezeigt wurden, größtenteils ""offen"" waren und auch chaotischer und weniger aufgeräumt wirkten, da sie durch den fehlenden Rahmen auch loser und freier im Raum schwebten.","0","1","0","60134.57500003278","","{""codeword_enter"":""th07we24""}","","","","","","","","","","","",""
"","survey-html-form","4","168889","0.0-4.0","nvmpn601oq","many_one","0","indirect_first","0","th07we24","1","20","1","1","3","1","Schriftzeichen, die eigentlich durchweg mit ""positiven"" Bildern dargestellt wurden, waren alle nach außen hin ""abgeschlossen"" durch einen (nahezu) rechtwinkligen Rahmen, der mindestens drei Seiten umschloss, wohingegen Schriftzeichen, die in Verbindung mit ""negativen"" Bildern gezeigt wurden, größtenteils ""offen"" waren und auch chaotischer und weniger aufgeräumt wirkten, da sie durch den fehlenden Rahmen auch loser und freier im Raum schwebten.","0","1","0","21407.20500005409","","{""age"":""20"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","177928","0.0-5.0","nvmpn601oq","many_one","0","indirect_first","0","th07we24","1","20","1","1","3","1","Schriftzeichen, die eigentlich durchweg mit ""positiven"" Bildern dargestellt wurden, waren alle nach außen hin ""abgeschlossen"" durch einen (nahezu) rechtwinkligen Rahmen, der mindestens drei Seiten umschloss, wohingegen Schriftzeichen, die in Verbindung mit ""negativen"" Bildern gezeigt wurden, größtenteils ""offen"" waren und auch chaotischer und weniger aufgeräumt wirkten, da sie durch den fehlenden Rahmen auch loser und freier im Raum schwebten.","0","1","0","9038.144999998622","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","181932","0.0-6.0-0.0-0.0","nvmpn601oq","many_one","0","indirect_first","0","th07we24","1","20","1","1","3","1","Schriftzeichen, die eigentlich durchweg mit ""positiven"" Bildern dargestellt wurden, waren alle nach außen hin ""abgeschlossen"" durch einen (nahezu) rechtwinkligen Rahmen, der mindestens drei Seiten umschloss, wohingegen Schriftzeichen, die in Verbindung mit ""negativen"" Bildern gezeigt wurden, größtenteils ""offen"" waren und auch chaotischer und weniger aufgeräumt wirkten, da sie durch den fehlenden Rahmen auch loser und freier im Raum schwebten.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2150.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","7","184435","0.0-6.0-0.0-0.1","nvmpn601oq","many_one","0","indirect_first","0","th07we24","1","20","1","1","3","1","Schriftzeichen, die eigentlich durchweg mit ""positiven"" Bildern dargestellt wurden, waren alle nach außen hin ""abgeschlossen"" durch einen (nahezu) rechtwinkligen Rahmen, der mindestens drei Seiten umschloss, wohingegen Schriftzeichen, die in Verbindung mit ""negativen"" Bildern gezeigt wurden, größtenteils ""offen"" waren und auch chaotischer und weniger aufgeräumt wirkten, da sie durch den fehlenden Rahmen auch loser und freier im Raum schwebten.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/4625.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","8","186937","0.0-6.0-0.0-0.2","nvmpn601oq","many_one","0","indirect_first","0","th07we24","1","20","1","1","3","1","Schriftzeichen, die eigentlich durchweg mit ""positiven"" Bildern dargestellt wurden, waren alle nach außen hin ""abgeschlossen"" durch einen (nahezu) rechtwinkligen Rahmen, der mindestens drei Seiten umschloss, wohingegen Schriftzeichen, die in Verbindung mit ""negativen"" Bildern gezeigt wurden, größtenteils ""offen"" waren und auch chaotischer und weniger aufgeräumt wirkten, da sie durch den fehlenden Rahmen auch loser und freier im Raum schwebten.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5831.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","9","189444","0.0-6.0-0.0-0.3","nvmpn601oq","many_one","0","indirect_first","0","th07we24","1","20","1","1","3","1","Schriftzeichen, die eigentlich durchweg mit ""positiven"" Bildern dargestellt wurden, waren alle nach außen hin ""abgeschlossen"" durch einen (nahezu) rechtwinkligen Rahmen, der mindestens drei Seiten umschloss, wohingegen Schriftzeichen, die in Verbindung mit ""negativen"" Bildern gezeigt wurden, größtenteils ""offen"" waren und auch chaotischer und weniger aufgeräumt wirkten, da sie durch den fehlenden Rahmen auch loser und freier im Raum schwebten.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2900.2.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","10","191973","0.0-6.0-0.0-0.4","nvmpn601oq","many_one","0","indirect_first","0","th07we24","1","20","1","1","3","1","Schriftzeichen, die eigentlich durchweg mit ""positiven"" Bildern dargestellt wurden, waren alle nach außen hin ""abgeschlossen"" durch einen (nahezu) rechtwinkligen Rahmen, der mindestens drei Seiten umschloss, wohingegen Schriftzeichen, die in Verbindung mit ""negativen"" Bildern gezeigt wurden, größtenteils ""offen"" waren und auch chaotischer und weniger aufgeräumt wirkten, da sie durch den fehlenden Rahmen auch loser und freier im Raum schwebten.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","11","194498","0.0-6.0-0.0-0.5","nvmpn601oq","many_one","0","indirect_first","0","th07we24","1","20","1","1","3","1","Schriftzeichen, die eigentlich durchweg mit ""positiven"" Bildern dargestellt wurden, waren alle nach außen hin ""abgeschlossen"" durch einen (nahezu) rechtwinkligen Rahmen, der mindestens drei Seiten umschloss, wohingegen Schriftzeichen, die in Verbindung mit ""negativen"" Bildern gezeigt wurden, größtenteils ""offen"" waren und auch chaotischer und weniger aufgeräumt wirkten, da sie durch den fehlenden Rahmen auch loser und freier im Raum schwebten.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","12","197029","0.0-6.0-0.0-0.6","nvmpn601oq","many_one","0","indirect_first","0","th07we24","1","20","1","1","3","1","Schriftzeichen, die eigentlich durchweg mit ""positiven"" Bildern dargestellt wurden, waren alle nach außen hin ""abgeschlossen"" durch einen (nahezu) rechtwinkligen Rahmen, der mindestens drei Seiten umschloss, wohingegen Schriftzeichen, die in Verbindung mit ""negativen"" Bildern gezeigt wurden, größtenteils ""offen"" waren und auch chaotischer und weniger aufgeräumt wirkten, da sie durch den fehlenden Rahmen auch loser und freier im Raum schwebten.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9220.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
