"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","17174","0.0-0.0","nxdly59zjf","one_one","1","direct_first","1","lf04as02","1","21","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","62727","0.0-1.0","nxdly59zjf","one_one","1","direct_first","1","lf04as02","1","21","1","1","3","1","","0","1","0","45464","text/information.html","","","","","","","","","","","","",""
"","external-html","2","84991","0.0-2.0","nxdly59zjf","one_one","1","direct_first","1","lf04as02","1","21","1","1","3","1","","0","1","0","21387","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","121562","0.0-3.0","nxdly59zjf","one_one","1","direct_first","1","lf04as02","1","21","1","1","3","1","","0","1","0","36569","","{""codeword_enter"":""lf04as02""}","","","","","","","","","","","",""
"","survey-html-form","4","137320","0.0-4.0","nxdly59zjf","one_one","1","direct_first","1","lf04as02","1","21","1","1","3","1","","0","1","0","15756","","{""age"":""21"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","144255","0.0-5.0","nxdly59zjf","one_one","1","direct_first","1","lf04as02","1","21","1","1","3","1","","0","1","0","6933","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","148259","0.0-6.0-0.0-0.0","nxdly59zjf","one_one","1","direct_first","1","lf04as02","1","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2165.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","7","150761","0.0-6.0-0.0-0.1","nxdly59zjf","one_one","1","direct_first","1","lf04as02","1","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","8","153264","0.0-6.0-0.0-0.2","nxdly59zjf","one_one","1","direct_first","1","lf04as02","1","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3300.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","9","155766","0.0-6.0-0.0-0.3","nxdly59zjf","one_one","1","direct_first","1","lf04as02","1","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","10","158268","0.0-6.0-0.0-0.4","nxdly59zjf","one_one","1","direct_first","1","lf04as02","1","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2530.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","11","160770","0.0-6.0-0.0-0.5","nxdly59zjf","one_one","1","direct_first","1","lf04as02","1","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","12","163272","0.0-6.0-0.0-0.6","nxdly59zjf","one_one","1","direct_first","1","lf04as02","1","21","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3300.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS9.png","","","","",""
