"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","10258","0.0-0.0","o90va6hemg","one_one","1","direct_first","1","rt08an17","0","22","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","87231","0.0-1.0","o90va6hemg","one_one","1","direct_first","1","rt08an17","0","22","1","1","3","1","","0","1","0","76825.3800002858","text/information.html","","","","","","","","","","","","",""
"","external-html","2","106495","0.0-2.0","o90va6hemg","one_one","1","direct_first","1","rt08an17","0","22","1","1","3","1","","0","1","0","18837.619999889284","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","195554","0.0-3.0","o90va6hemg","one_one","1","direct_first","1","rt08an17","0","22","1","1","3","1","","0","1","0","88991.26000003889","","{""codeword_enter"":""rt08an17""}","","","","","","","","","","","",""
"","survey-html-form","4","222757","0.0-4.0","o90va6hemg","one_one","1","direct_first","1","rt08an17","0","22","1","1","3","1","","0","1","0","27183.949999976903","","{""age"":""22"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","230548","0.0-5.0","o90va6hemg","one_one","1","direct_first","1","rt08an17","0","22","1","1","3","1","","0","1","0","7784.865000285208","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","234560","0.0-6.0-0.0-0.0","o90va6hemg","one_one","1","direct_first","1","rt08an17","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9421.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","7","237068","0.0-6.0-0.0-0.1","o90va6hemg","one_one","1","direct_first","1","rt08an17","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","8","239576","0.0-6.0-0.0-0.2","o90va6hemg","one_one","1","direct_first","1","rt08an17","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","9","242087","0.0-6.0-0.0-0.3","o90va6hemg","one_one","1","direct_first","1","rt08an17","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9421.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","10","244595","0.0-6.0-0.0-0.4","o90va6hemg","one_one","1","direct_first","1","rt08an17","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2165.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","11","247105","0.0-6.0-0.0-0.5","o90va6hemg","one_one","1","direct_first","1","rt08an17","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9421.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","12","249614","0.0-6.0-0.0-0.6","o90va6hemg","one_one","1","direct_first","1","rt08an17","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2165.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","13","252121","0.0-6.0-0.0-0.7","o90va6hemg","one_one","1","direct_first","1","rt08an17","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9421.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","14","254629","0.0-6.0-0.0-0.8","o90va6hemg","one_one","1","direct_first","1","rt08an17","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","15","257135","0.0-6.0-0.0-0.9","o90va6hemg","one_one","1","direct_first","1","rt08an17","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","16","259644","0.0-6.0-0.0-0.10","o90va6hemg","one_one","1","direct_first","1","rt08an17","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2165.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","17","262150","0.0-6.0-0.0-0.11","o90va6hemg","one_one","1","direct_first","1","rt08an17","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","18","264662","0.0-6.0-0.0-0.12","o90va6hemg","one_one","1","direct_first","1","rt08an17","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","19","267169","0.0-6.0-0.0-0.13","o90va6hemg","one_one","1","direct_first","1","rt08an17","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","20","269679","0.0-6.0-0.0-0.14","o90va6hemg","one_one","1","direct_first","1","rt08an17","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2165.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","21","272184","0.0-6.0-0.0-0.15","o90va6hemg","one_one","1","direct_first","1","rt08an17","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9421.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","22","274692","0.0-6.0-0.0-0.16","o90va6hemg","one_one","1","direct_first","1","rt08an17","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","23","277199","0.0-6.0-0.0-0.17","o90va6hemg","one_one","1","direct_first","1","rt08an17","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
