"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","5862","0.0-0.0","o96sk283ux","many_one","0","direct_first","1","ch06en15","0","28","2","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","49165","0.0-1.0","o96sk283ux","many_one","0","direct_first","1","ch06en15","0","28","2","1","3","1","","0","1","0","43261","text/information.html","","","","","","","","","","","","",""
"","external-html","2","71394","0.0-2.0","o96sk283ux","many_one","0","direct_first","1","ch06en15","0","28","2","1","3","1","","0","1","0","22159","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","140402","0.0-3.0","o96sk283ux","many_one","0","direct_first","1","ch06en15","0","28","2","1","3","1","","0","1","0","69007","","{""codeword_enter"":""ch06en15""}","","","","","","","","","","","",""
"","survey-html-form","4","166092","0.0-4.0","o96sk283ux","many_one","0","direct_first","1","ch06en15","0","28","2","1","3","1","","0","1","0","25688","","{""age"":""28"",""education"":""2"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","184369","0.0-5.0","o96sk283ux","many_one","0","direct_first","1","ch06en15","0","28","2","1","3","1","","0","1","0","18277","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","188377","0.0-6.0-0.0-0.0","o96sk283ux","many_one","0","direct_first","1","ch06en15","0","28","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5830.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","7","190882","0.0-6.0-0.0-0.1","o96sk283ux","many_one","0","direct_first","1","ch06en15","0","28","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9404.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","8","193389","0.0-6.0-0.0-0.2","o96sk283ux","many_one","0","direct_first","1","ch06en15","0","28","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3181.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","9","195896","0.0-6.0-0.0-0.3","o96sk283ux","many_one","0","direct_first","1","ch06en15","0","28","2","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS10.png","","","","",""
