"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","2839","0.0-0.0","p1hk1efaj6","many_one","0","direct_first","1","er09ut07","0","22","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","30953","0.0-1.0","p1hk1efaj6","many_one","0","direct_first","1","er09ut07","0","22","1","1","3","1","","0","1","0","28059","text/information.html","","","","","","","","","","","","",""
"","external-html","2","43692","0.0-2.0","p1hk1efaj6","many_one","0","direct_first","1","er09ut07","0","22","1","1","3","1","","0","1","0","12653","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","116857","0.0-3.0","p1hk1efaj6","many_one","0","direct_first","1","er09ut07","0","22","1","1","3","1","","0","1","0","73161","","{""codeword_enter"":""er09ut07""}","","","","","","","","","","","",""
"","survey-html-form","4","134528","0.0-4.0","p1hk1efaj6","many_one","0","direct_first","1","er09ut07","0","22","1","1","3","1","","0","1","0","17666","","{""age"":""22"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","146699","0.0-5.0","p1hk1efaj6","many_one","0","direct_first","1","er09ut07","0","22","1","1","3","1","","0","1","0","12169","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","150720","0.0-6.0-0.0-0.0","p1hk1efaj6","many_one","0","direct_first","1","er09ut07","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","7","153240","0.0-6.0-0.0-0.1","p1hk1efaj6","many_one","0","direct_first","1","er09ut07","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8540.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","8","155770","0.0-6.0-0.0-0.2","p1hk1efaj6","many_one","0","direct_first","1","er09ut07","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2900.2.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","9","158300","0.0-6.0-0.0-0.3","p1hk1efaj6","many_one","0","direct_first","1","er09ut07","0","22","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS2.png","","","","",""
