"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","5571","0.0-0.0","pne715w5jm","many_one","0","indirect_first","0","ER05LD23","1","26","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","17991","0.0-1.0","pne715w5jm","many_one","0","indirect_first","0","ER05LD23","1","26","1","1","3","1","","0","1","0","12373.494999948889","text/information.html","","","","","","","","","","","","",""
"","external-html","2","51454","0.0-2.0","pne715w5jm","many_one","0","indirect_first","0","ER05LD23","1","26","1","1","3","1","","0","1","0","33387.4450000003","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","89874","0.0-3.0","pne715w5jm","many_one","0","indirect_first","0","ER05LD23","1","26","1","1","3","1","","0","1","0","38418.074999935925","","{""codeword_enter"":""ER05LD23""}","","","","","","","","","","","",""
"","survey-html-form","4","111431","0.0-4.0","pne715w5jm","many_one","0","indirect_first","0","ER05LD23","1","26","1","1","3","1","","0","1","0","21553.749999962747","","{""age"":""26"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","116061","0.0-5.0","pne715w5jm","many_one","0","indirect_first","0","ER05LD23","1","26","1","1","3","1","","0","1","0","4626.879999996163","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","120071","0.0-6.0-0.0-0.0","pne715w5jm","many_one","0","indirect_first","0","ER05LD23","1","26","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/8485.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","7","122579","0.0-6.0-0.0-0.1","pne715w5jm","many_one","0","indirect_first","0","ER05LD23","1","26","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","8","125082","0.0-6.0-0.0-0.2","pne715w5jm","many_one","0","indirect_first","0","ER05LD23","1","26","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/7325.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","9","127593","0.0-6.0-0.0-0.3","pne715w5jm","many_one","0","indirect_first","0","ER05LD23","1","26","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3160.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS1.png","","","","",""
