"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","4459","0.0-0.0","ptkozk10jy","one_one","1","indirect_first","0","el08ng09","0","22","1","1","3","1","Ich empfand die Teilnahme als sehr angenehm. Ich habe versucht mich wirklich sehr auf meine Intuition zu verlassen und ohne groß nachzudenken eine Reaktion auf die gezeigten Zeichen zu finden. Mit chinesischer Schriftsprache kenne ich mich wirklich gar nicht aus. Man hat in den letzte Aufgaben einige Zeichen auch wiedererkannt (z.B. Baby, Astronaut, weinendes Baby). Es fiel mir bei dieser Aufgabe dann schon schwerer rein auf meine Intuition zu hören, da man eben direkt ein Bild zu dem Zeichen vor Augen hatte. Auf jeden Fall war es sehr spannend und hat Spaß gemacht. ","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","8437","0.0-1.0","ptkozk10jy","one_one","1","indirect_first","0","el08ng09","0","22","1","1","3","1","Ich empfand die Teilnahme als sehr angenehm. Ich habe versucht mich wirklich sehr auf meine Intuition zu verlassen und ohne groß nachzudenken eine Reaktion auf die gezeigten Zeichen zu finden. Mit chinesischer Schriftsprache kenne ich mich wirklich gar nicht aus. Man hat in den letzte Aufgaben einige Zeichen auch wiedererkannt (z.B. Baby, Astronaut, weinendes Baby). Es fiel mir bei dieser Aufgabe dann schon schwerer rein auf meine Intuition zu hören, da man eben direkt ein Bild zu dem Zeichen vor Augen hatte. Auf jeden Fall war es sehr spannend und hat Spaß gemacht. ","0","1","0","3927.9350000433624","text/information.html","","","","","","","","","","","","",""
"","external-html","2","15933","0.0-2.0","ptkozk10jy","one_one","1","indirect_first","0","el08ng09","0","22","1","1","3","1","Ich empfand die Teilnahme als sehr angenehm. Ich habe versucht mich wirklich sehr auf meine Intuition zu verlassen und ohne groß nachzudenken eine Reaktion auf die gezeigten Zeichen zu finden. Mit chinesischer Schriftsprache kenne ich mich wirklich gar nicht aus. Man hat in den letzte Aufgaben einige Zeichen auch wiedererkannt (z.B. Baby, Astronaut, weinendes Baby). Es fiel mir bei dieser Aufgabe dann schon schwerer rein auf meine Intuition zu hören, da man eben direkt ein Bild zu dem Zeichen vor Augen hatte. Auf jeden Fall war es sehr spannend und hat Spaß gemacht. ","0","1","0","7469.825000036508","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","55945","0.0-3.0","ptkozk10jy","one_one","1","indirect_first","0","el08ng09","0","22","1","1","3","1","Ich empfand die Teilnahme als sehr angenehm. Ich habe versucht mich wirklich sehr auf meine Intuition zu verlassen und ohne groß nachzudenken eine Reaktion auf die gezeigten Zeichen zu finden. Mit chinesischer Schriftsprache kenne ich mich wirklich gar nicht aus. Man hat in den letzte Aufgaben einige Zeichen auch wiedererkannt (z.B. Baby, Astronaut, weinendes Baby). Es fiel mir bei dieser Aufgabe dann schon schwerer rein auf meine Intuition zu hören, da man eben direkt ein Bild zu dem Zeichen vor Augen hatte. Auf jeden Fall war es sehr spannend und hat Spaß gemacht. ","0","1","0","40009.30000003427","","{""codeword_enter"":""el08ng09""}","","","","","","","","","","","",""
"","survey-html-form","4","76067","0.0-4.0","ptkozk10jy","one_one","1","indirect_first","0","el08ng09","0","22","1","1","3","1","Ich empfand die Teilnahme als sehr angenehm. Ich habe versucht mich wirklich sehr auf meine Intuition zu verlassen und ohne groß nachzudenken eine Reaktion auf die gezeigten Zeichen zu finden. Mit chinesischer Schriftsprache kenne ich mich wirklich gar nicht aus. Man hat in den letzte Aufgaben einige Zeichen auch wiedererkannt (z.B. Baby, Astronaut, weinendes Baby). Es fiel mir bei dieser Aufgabe dann schon schwerer rein auf meine Intuition zu hören, da man eben direkt ein Bild zu dem Zeichen vor Augen hatte. Auf jeden Fall war es sehr spannend und hat Spaß gemacht. ","0","1","0","20119.505000067875","","{""age"":""22"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","77854","0.0-5.0","ptkozk10jy","one_one","1","indirect_first","0","el08ng09","0","22","1","1","3","1","Ich empfand die Teilnahme als sehr angenehm. Ich habe versucht mich wirklich sehr auf meine Intuition zu verlassen und ohne groß nachzudenken eine Reaktion auf die gezeigten Zeichen zu finden. Mit chinesischer Schriftsprache kenne ich mich wirklich gar nicht aus. Man hat in den letzte Aufgaben einige Zeichen auch wiedererkannt (z.B. Baby, Astronaut, weinendes Baby). Es fiel mir bei dieser Aufgabe dann schon schwerer rein auf meine Intuition zu hören, da man eben direkt ein Bild zu dem Zeichen vor Augen hatte. Auf jeden Fall war es sehr spannend und hat Spaß gemacht. ","0","1","0","1785.4950001928955","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","81883","0.0-6.0-0.0-0.0","ptkozk10jy","one_one","1","indirect_first","0","el08ng09","0","22","1","1","3","1","Ich empfand die Teilnahme als sehr angenehm. Ich habe versucht mich wirklich sehr auf meine Intuition zu verlassen und ohne groß nachzudenken eine Reaktion auf die gezeigten Zeichen zu finden. Mit chinesischer Schriftsprache kenne ich mich wirklich gar nicht aus. Man hat in den letzte Aufgaben einige Zeichen auch wiedererkannt (z.B. Baby, Astronaut, weinendes Baby). Es fiel mir bei dieser Aufgabe dann schon schwerer rein auf meine Intuition zu hören, da man eben direkt ein Bild zu dem Zeichen vor Augen hatte. Auf jeden Fall war es sehr spannend und hat Spaß gemacht. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2058.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","7","84401","0.0-6.0-0.0-0.1","ptkozk10jy","one_one","1","indirect_first","0","el08ng09","0","22","1","1","3","1","Ich empfand die Teilnahme als sehr angenehm. Ich habe versucht mich wirklich sehr auf meine Intuition zu verlassen und ohne groß nachzudenken eine Reaktion auf die gezeigten Zeichen zu finden. Mit chinesischer Schriftsprache kenne ich mich wirklich gar nicht aus. Man hat in den letzte Aufgaben einige Zeichen auch wiedererkannt (z.B. Baby, Astronaut, weinendes Baby). Es fiel mir bei dieser Aufgabe dann schon schwerer rein auf meine Intuition zu hören, da man eben direkt ein Bild zu dem Zeichen vor Augen hatte. Auf jeden Fall war es sehr spannend und hat Spaß gemacht. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","8","86916","0.0-6.0-0.0-0.2","ptkozk10jy","one_one","1","indirect_first","0","el08ng09","0","22","1","1","3","1","Ich empfand die Teilnahme als sehr angenehm. Ich habe versucht mich wirklich sehr auf meine Intuition zu verlassen und ohne groß nachzudenken eine Reaktion auf die gezeigten Zeichen zu finden. Mit chinesischer Schriftsprache kenne ich mich wirklich gar nicht aus. Man hat in den letzte Aufgaben einige Zeichen auch wiedererkannt (z.B. Baby, Astronaut, weinendes Baby). Es fiel mir bei dieser Aufgabe dann schon schwerer rein auf meine Intuition zu hören, da man eben direkt ein Bild zu dem Zeichen vor Augen hatte. Auf jeden Fall war es sehr spannend und hat Spaß gemacht. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","9","89435","0.0-6.0-0.0-0.3","ptkozk10jy","one_one","1","indirect_first","0","el08ng09","0","22","1","1","3","1","Ich empfand die Teilnahme als sehr angenehm. Ich habe versucht mich wirklich sehr auf meine Intuition zu verlassen und ohne groß nachzudenken eine Reaktion auf die gezeigten Zeichen zu finden. Mit chinesischer Schriftsprache kenne ich mich wirklich gar nicht aus. Man hat in den letzte Aufgaben einige Zeichen auch wiedererkannt (z.B. Baby, Astronaut, weinendes Baby). Es fiel mir bei dieser Aufgabe dann schon schwerer rein auf meine Intuition zu hören, da man eben direkt ein Bild zu dem Zeichen vor Augen hatte. Auf jeden Fall war es sehr spannend und hat Spaß gemacht. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS2.png","","","","",""
