"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","8718","0.0-0.0","q555ewzrgz","many_one","0","indirect_first","0","er06ph31","0","20","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","98348","0.0-1.0","q555ewzrgz","many_one","0","indirect_first","0","er06ph31","0","20","1","1","3","1","","0","1","0","89601","text/information.html","","","","","","","","","","","","",""
"","external-html","2","120508","0.0-2.0","q555ewzrgz","many_one","0","indirect_first","0","er06ph31","0","20","1","1","3","1","","0","1","0","22085","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","225006","0.0-3.0","q555ewzrgz","many_one","0","indirect_first","0","er06ph31","0","20","1","1","3","1","","0","1","0","104494","","{""codeword_enter"":""er06ph31""}","","","","","","","","","","","",""
"","survey-html-form","4","251110","0.0-4.0","q555ewzrgz","many_one","0","indirect_first","0","er06ph31","0","20","1","1","3","1","","0","1","0","26100","","{""age"":""20"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","271412","0.0-5.0","q555ewzrgz","many_one","0","indirect_first","0","er06ph31","0","20","1","1","3","1","","0","1","0","20300","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","275454","0.0-6.0-0.0-0.0","q555ewzrgz","many_one","0","indirect_first","0","er06ph31","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2900.2.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","7","277994","0.0-6.0-0.0-0.1","q555ewzrgz","many_one","0","indirect_first","0","er06ph31","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3300.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","8","280524","0.0-6.0-0.0-0.2","q555ewzrgz","many_one","0","indirect_first","0","er06ph31","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","9","283063","0.0-6.0-0.0-0.3","q555ewzrgz","many_one","0","indirect_first","0","er06ph31","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1440.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS7.png","","","","",""
