"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","14029","0.0-0.0","qn0rom26n0","many_one","0","indirect_first","0","er06lf04","0","23","1","1","3","1","Die Studie hat Spaß gemacht","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","79029","0.0-1.0","qn0rom26n0","many_one","0","indirect_first","0","er06lf04","0","23","1","1","3","1","Die Studie hat Spaß gemacht","0","1","0","64793","text/information.html","","","","","","","","","","","","",""
"","external-html","2","138221","0.0-2.0","qn0rom26n0","many_one","0","indirect_first","0","er06lf04","0","23","1","1","3","1","Die Studie hat Spaß gemacht","0","1","0","59012","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","206140","0.0-3.0","qn0rom26n0","many_one","0","indirect_first","0","er06lf04","0","23","1","1","3","1","Die Studie hat Spaß gemacht","0","1","0","67902","","{""codeword_enter"":""er06lf04""}","","","","","","","","","","","",""
"","survey-html-form","4","234991","0.0-4.0","qn0rom26n0","many_one","0","indirect_first","0","er06lf04","0","23","1","1","3","1","Die Studie hat Spaß gemacht","0","1","0","28836","","{""age"":""23"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","321243","0.0-5.0","qn0rom26n0","many_one","0","indirect_first","0","er06lf04","0","23","1","1","3","1","Die Studie hat Spaß gemacht","0","1","0","86238","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","325281","0.0-6.0-0.0-0.0","qn0rom26n0","many_one","0","indirect_first","0","er06lf04","0","23","1","1","3","1","Die Studie hat Spaß gemacht","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9220.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","7","327819","0.0-6.0-0.0-0.1","qn0rom26n0","many_one","0","indirect_first","0","er06lf04","0","23","1","1","3","1","Die Studie hat Spaß gemacht","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3300.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","8","330338","0.0-6.0-0.0-0.2","qn0rom26n0","many_one","0","indirect_first","0","er06lf04","0","23","1","1","3","1","Die Studie hat Spaß gemacht","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1710.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","9","332878","0.0-6.0-0.0-0.3","qn0rom26n0","many_one","0","indirect_first","0","er06lf04","0","23","1","1","3","1","Die Studie hat Spaß gemacht","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2141.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS8.png","","","","",""
