"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","6659","0.0-0.0","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","19972","0.0-1.0","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","13246.069999877363","text/information.html","","","","","","","","","","","","",""
"","external-html","2","45112","0.0-2.0","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","25011.24000013806","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","111239","0.0-3.0","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","66122.28500004858","","{""codeword_enter"":""HM05ND30""}","","","","","","","","","","","",""
"","survey-html-form","4","136473","0.0-4.0","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","25226.534999907017","","{""age"":""33"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","826999","0.0-5.0","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","690520.0199999381","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","831020","0.0-6.0-0.0-0.0","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","7","833537","0.0-6.0-0.0-0.1","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2150.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","8","836048","0.0-6.0-0.0-0.2","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9000.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","9","838575","0.0-6.0-0.0-0.3","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","10","841095","0.0-6.0-0.0-0.4","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2150.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","11","843613","0.0-6.0-0.0-0.5","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","12","846131","0.0-6.0-0.0-0.6","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9000.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","13","848648","0.0-6.0-0.0-0.7","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","14","851167","0.0-6.0-0.0-0.8","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2150.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","15","853683","0.0-6.0-0.0-0.9","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9000.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","16","856201","0.0-6.0-0.0-0.10","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","17","858713","0.0-6.0-0.0-0.11","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","18","861230","0.0-6.0-0.0-0.12","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2150.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","19","863746","0.0-6.0-0.0-0.13","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9000.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","20","866278","0.0-6.0-0.0-0.14","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","21","868795","0.0-6.0-0.0-0.15","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2150.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","22","871309","0.0-6.0-0.0-0.16","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","23","873830","0.0-6.0-0.0-0.17","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","24","876353","0.0-6.0-0.0-0.18","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9000.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","25","878867","0.0-6.0-0.0-0.19","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS9.png","","","","",""
"","survey-html-form","26","884511","0.0-6.0-1.0","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","5140.080000041053","","{}","","","","","","","","","","","",""
"","html-keyboard-response","27","888531","0.0-6.0-2.0-0.0","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","28","891053","0.0-6.0-2.0-0.1","sd69585ngp","one_one","1","direct_first","1","HM05ND30","0","33","1","1","3","1","Es war alles einfach zu verstehen.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS9.png","","","","",""
