"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","2303477","0.0-0.0","sokpp702rx","many_one","0","indirect_first","0","ig04er23","0","25","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","2330783","0.0-1.0","sokpp702rx","many_one","0","indirect_first","0","ig04er23","0","25","1","1","3","1","","0","1","0","27247.484999941662","text/information.html","","","","","","","","","","","","",""
"","external-html","2","2350970","0.0-2.0","sokpp702rx","many_one","0","indirect_first","0","ig04er23","0","25","1","1","3","1","","0","1","0","20129.36499994248","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","2392269","0.0-3.0","sokpp702rx","many_one","0","indirect_first","0","ig04er23","0","25","1","1","3","1","","0","1","0","41285.10500001721","","{""codeword_enter"":""ig04er23""}","","","","","","","","","","","",""
"","survey-html-form","4","2416391","0.0-4.0","sokpp702rx","many_one","0","indirect_first","0","ig04er23","0","25","1","1","3","1","","0","1","0","24114.190000109375","","{""age"":""25"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","2418665","0.0-5.0","sokpp702rx","many_one","0","indirect_first","0","ig04er23","0","25","1","1","3","1","","0","1","0","2266.150000039488","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","2422685","0.0-6.0-0.0-0.0","sokpp702rx","many_one","0","indirect_first","0","ig04er23","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9182.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","7","2425199","0.0-6.0-0.0-0.1","sokpp702rx","many_one","0","indirect_first","0","ig04er23","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2900.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","8","2427706","0.0-6.0-0.0-0.2","sokpp702rx","many_one","0","indirect_first","0","ig04er23","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2160.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","9","2430218","0.0-6.0-0.0-0.3","sokpp702rx","many_one","0","indirect_first","0","ig04er23","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","10","2432726","0.0-6.0-0.0-0.4","sokpp702rx","many_one","0","indirect_first","0","ig04er23","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9830.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","11","2435244","0.0-6.0-0.0-0.5","sokpp702rx","many_one","0","indirect_first","0","ig04er23","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","12","2437769","0.0-6.0-0.0-0.6","sokpp702rx","many_one","0","indirect_first","0","ig04er23","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2165.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","13","2440276","0.0-6.0-0.0-0.7","sokpp702rx","many_one","0","indirect_first","0","ig04er23","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","14","2442780","0.0-6.0-0.0-0.8","sokpp702rx","many_one","0","indirect_first","0","ig04er23","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","15","2445296","0.0-6.0-0.0-0.9","sokpp702rx","many_one","0","indirect_first","0","ig04er23","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8190.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","16","2447810","0.0-6.0-0.0-0.10","sokpp702rx","many_one","0","indirect_first","0","ig04er23","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","17","2450318","0.0-6.0-0.0-0.11","sokpp702rx","many_one","0","indirect_first","0","ig04er23","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","18","2452837","0.0-6.0-0.0-0.12","sokpp702rx","many_one","0","indirect_first","0","ig04er23","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8540.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","19","2455358","0.0-6.0-0.0-0.13","sokpp702rx","many_one","0","indirect_first","0","ig04er23","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9584.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","20","2457868","0.0-6.0-0.0-0.14","sokpp702rx","many_one","0","indirect_first","0","ig04er23","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5621.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","21","2460384","0.0-6.0-0.0-0.15","sokpp702rx","many_one","0","indirect_first","0","ig04er23","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS8.png","","","","",""
