"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","7408","0.0-0.0","sxg0rmlh1f","one_one","1","indirect_first","0","NX08US14","0","23","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","29301","0.0-1.0","sxg0rmlh1f","one_one","1","indirect_first","0","NX08US14","0","23","1","1","3","1","","0","1","0","21742.2300002072","text/information.html","","","","","","","","","","","","",""
"","external-html","2","49460","0.0-2.0","sxg0rmlh1f","one_one","1","indirect_first","0","NX08US14","0","23","1","1","3","1","","0","1","0","19961.38500003144","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","99248","0.0-3.0","sxg0rmlh1f","one_one","1","indirect_first","0","NX08US14","0","23","1","1","3","1","","0","1","0","49783.99499994703","","{""codeword_enter"":""NX08US14""}","","","","","","","","","","","",""
"","survey-html-form","4","120605","0.0-4.0","sxg0rmlh1f","one_one","1","indirect_first","0","NX08US14","0","23","1","1","3","1","","0","1","0","21350.20500002429","","{""age"":""23"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","129160","0.0-5.0","sxg0rmlh1f","one_one","1","indirect_first","0","NX08US14","0","23","1","1","3","1","","0","1","0","8553.73500008136","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","133182","0.0-6.0-0.0-0.0","sxg0rmlh1f","one_one","1","indirect_first","0","NX08US14","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/4625.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","7","135700","0.0-6.0-0.0-0.1","sxg0rmlh1f","one_one","1","indirect_first","0","NX08US14","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2530.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","8","138211","0.0-6.0-0.0-0.2","sxg0rmlh1f","one_one","1","indirect_first","0","NX08US14","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3300.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","9","140729","0.0-6.0-0.0-0.3","sxg0rmlh1f","one_one","1","indirect_first","0","NX08US14","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/4625.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","10","143244","0.0-6.0-0.0-0.4","sxg0rmlh1f","one_one","1","indirect_first","0","NX08US14","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2530.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","11","145770","0.0-6.0-0.0-0.5","sxg0rmlh1f","one_one","1","indirect_first","0","NX08US14","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6838.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","12","148297","0.0-6.0-0.0-0.6","sxg0rmlh1f","one_one","1","indirect_first","0","NX08US14","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3300.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","13","150822","0.0-6.0-0.0-0.7","sxg0rmlh1f","one_one","1","indirect_first","0","NX08US14","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2530.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","14","153343","0.0-6.0-0.0-0.8","sxg0rmlh1f","one_one","1","indirect_first","0","NX08US14","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6838.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","15","155861","0.0-6.0-0.0-0.9","sxg0rmlh1f","one_one","1","indirect_first","0","NX08US14","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2530.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","16","158380","0.0-6.0-0.0-0.10","sxg0rmlh1f","one_one","1","indirect_first","0","NX08US14","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/4625.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","17","160905","0.0-6.0-0.0-0.11","sxg0rmlh1f","one_one","1","indirect_first","0","NX08US14","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6838.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","18","163429","0.0-6.0-0.0-0.12","sxg0rmlh1f","one_one","1","indirect_first","0","NX08US14","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3300.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","19","165944","0.0-6.0-0.0-0.13","sxg0rmlh1f","one_one","1","indirect_first","0","NX08US14","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2530.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","20","168459","0.0-6.0-0.0-0.14","sxg0rmlh1f","one_one","1","indirect_first","0","NX08US14","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/4625.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","21","170978","0.0-6.0-0.0-0.15","sxg0rmlh1f","one_one","1","indirect_first","0","NX08US14","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6838.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS6.png","","","","",""
